ticker,asset_class,region,group_tag,currency,benchmark_group,is_core_hedge,candidate_role,candidate_role_reason_ko
005930.KS,kr_stock,KR,semiconductor,KRW,KOSPI200,N,diagnostic_only,장세 해석용 자산으로 기본 헤지 후보에서 제외
000660.KS,kr_stock,KR,semiconductor,KRW,KOSPI200,N,diagnostic_only,장세 해석용 자산으로 기본 헤지 후보에서 제외
005380.KS,kr_stock,KR,large_cap,KRW,KOSPI200,N,diagnostic_only,장세 해석용 자산으로 기본 헤지 후보에서 제외
000270.KS,kr_stock,KR,large_cap,KRW,KOSPI200,N,diagnostic_only,장세 해석용 자산으로 기본 헤지 후보에서 제외
035420.KS,kr_stock,KR,large_cap,KRW,KOSPI200,N,diagnostic_only,장세 해석용 자산으로 기본 헤지 후보에서 제외
035720.KS,kr_stock,KR,large_cap,KRW,KOSPI200,N,diagnostic_only,장세 해석용 자산으로 기본 헤지 후보에서 제외
207940.KS,kr_stock,KR,large_cap,KRW,KOSPI200,N,diagnostic_only,장세 해석용 자산으로 기본 헤지 후보에서 제외
068270.KS,kr_stock,KR,large_cap,KRW,KOSPI200,N,diagnostic_only,장세 해석용 자산으로 기본 헤지 후보에서 제외
051910.KS,kr_stock,KR,large_cap,KRW,KOSPI200,N,diagnostic_only,장세 해석용 자산으로 기본 헤지 후보에서 제외
006400.KS,kr_stock,KR,large_cap,KRW,KOSPI200,N,diagnostic_only,장세 해석용 자산으로 기본 헤지 후보에서 제외
066570.KS,kr_stock,KR,large_cap,KRW,KOSPI200,N,diagnostic_only,장세 해석용 자산으로 기본 헤지 후보에서 제외
105560.KS,kr_stock,KR,financial,KRW,KOSPI200,N,diagnostic_only,장세 해석용 자산으로 기본 헤지 후보에서 제외
055550.KS,kr_stock,KR,financial,KRW,KOSPI200,N,diagnostic_only,장세 해석용 자산으로 기본 헤지 후보에서 제외
005490.KS,kr_stock,KR,materials,KRW,KOSPI200,N,diagnostic_only,장세 해석용 자산으로 기본 헤지 후보에서 제외
032830.KS,kr_stock,KR,financial,KRW,KOSPI200,N,diagnostic_only,장세 해석용 자산으로 기본 헤지 후보에서 제외
034020.KS,kr_stock,KR,industrial,KRW,KOSPI200,N,diagnostic_only,장세 해석용 자산으로 기본 헤지 후보에서 제외
003670.KS,kr_stock,KR,battery_material,KRW,KOSPI200,N,diagnostic_only,장세 해석용 자산으로 기본 헤지 후보에서 제외
011200.KS,kr_stock,KR,shipping,KRW,KOSPI200,N,diagnostic_only,장세 해석용 자산으로 기본 헤지 후보에서 제외
017670.KS,kr_stock,KR,telecom,KRW,KOSPI200,N,diagnostic_only,장세 해석용 자산으로 기본 헤지 후보에서 제외
000810.KS,kr_stock,KR,insurance,KRW,KOSPI200,N,diagnostic_only,장세 해석용 자산으로 기본 헤지 후보에서 제외
AAPL,us_stock,US,large_cap,USD,SP500,N,diagnostic_only,장세 해석용 자산으로 기본 헤지 후보에서 제외
MSFT,us_stock,US,large_cap,USD,SP500,N,diagnostic_only,장세 해석용 자산으로 기본 헤지 후보에서 제외
