ticker,asset_class,currency,factor,factor_label,direction,magnitude,sensitivity_level,raw_value,value_basis,sign_positive_meaning,sign_negative_meaning,structural_tags,evidence_metrics
000270.KS,kr_stock,KRW,market_beta_sp500,S&P500 beta,neutral,0.040102,low,-0.040102,beta_sp500_1y_krw,SPY와 같은 방향,SPY와 반대 방향,geopolitical_proxy|korea_equity_proxy|korea_financial_proxy,beta_sp500_1y_krw=-0.040102
000270.KS,kr_stock,KRW,downside_beta_sp500,S&P500 downside beta,neutral,0.045022,low,-0.045022,downside_beta_sp500_1y_krw,미국 증시 하락일에 함께 하락,미국 증시 하락일에 반대로 움직임,geopolitical_proxy|korea_equity_proxy|korea_financial_proxy,downside_beta_sp500_1y_krw=-0.045022
000270.KS,kr_stock,KRW,corr_sp500_60d,S&P500 60d correlation,neutral,0.023222,low,0.023222,corr_sp500_60d_krw,SPY와 같은 방향,SPY와 반대 방향,geopolitical_proxy|korea_equity_proxy|korea_financial_proxy,corr_sp500_60d_krw=0.023222
000270.KS,kr_stock,KRW,corr_kospi200_60d,KOSPI200 60d correlation,positive,0.779,high,0.779,corr_kospi200_60d_krw,KOSPI200과 같은 방향,KOSPI200과 반대 방향,geopolitical_proxy|korea_equity_proxy|korea_financial_proxy,corr_kospi200_60d_krw=0.779
000270.KS,kr_stock,KRW,stress_response,Stress-period average return,negative,0.002846,medium,-0.002846,avg_stress_ret_krw,위기구간에서 플러스 성과,위기구간에서 마이너스 성과,geopolitical_proxy|korea_equity_proxy|korea_financial_proxy,avg_stress_ret_krw=-0.002846
000660.KS,kr_stock,KRW,market_beta_sp500,S&P500 beta,neutral,0.000128,low,-0.000128,beta_sp500_1y_krw,SPY와 같은 방향,SPY와 반대 방향,ai_capex_proxy|korea_equity_proxy|korea_financial_proxy|semiconductor_proxy,beta_sp500_1y_krw=-0.000128
000660.KS,kr_stock,KRW,downside_beta_sp500,S&P500 downside beta,positive,0.172471,low,0.172471,downside_beta_sp500_1y_krw,미국 증시 하락일에 함께 하락,미국 증시 하락일에 반대로 움직임,ai_capex_proxy|korea_equity_proxy|korea_financial_proxy|semiconductor_proxy,downside_beta_sp500_1y_krw=0.172471
000660.KS,kr_stock,KRW,corr_sp500_60d,S&P500 60d correlation,positive,0.116333,low,0.116333,corr_sp500_60d_krw,SPY와 같은 방향,SPY와 반대 방향,ai_capex_proxy|korea_equity_proxy|korea_financial_proxy|semiconductor_proxy,corr_sp500_60d_krw=0.116333
000660.KS,kr_stock,KRW,corr_kospi200_60d,KOSPI200 60d correlation,positive,0.933042,high,0.933042,corr_kospi200_60d_krw,KOSPI200과 같은 방향,KOSPI200과 반대 방향,ai_capex_proxy|korea_equity_proxy|korea_financial_proxy|semiconductor_proxy,corr_kospi200_60d_krw=0.933042
000660.KS,kr_stock,KRW,stress_response,Stress-period average return,negative,0.005944,high,-0.005944,avg_stress_ret_krw,위기구간에서 플러스 성과,위기구간에서 마이너스 성과,ai_capex_proxy|korea_equity_proxy|korea_financial_proxy|semiconductor_proxy,avg_stress_ret_krw=-0.005944
000810.KS,kr_stock,KRW,market_beta_sp500,S&P500 beta,neutral,0.067268,low,-0.067268,beta_sp500_1y_krw,SPY와 같은 방향,SPY와 반대 방향,korea_equity_proxy|korea_financial_proxy|rate_proxy,beta_sp500_1y_krw=-0.067268
000810.KS,kr_stock,KRW,downside_beta_sp500,S&P500 downside beta,neutral,0.043854,low,-0.043854,downside_beta_sp500_1y_krw,미국 증시 하락일에 함께 하락,미국 증시 하락일에 반대로 움직임,korea_equity_proxy|korea_financial_proxy|rate_proxy,downside_beta_sp500_1y_krw=-0.043854
000810.KS,kr_stock,KRW,corr_sp500_60d,S&P500 60d correlation,neutral,0.091442,low,0.091442,corr_sp500_60d_krw,SPY와 같은 방향,SPY와 반대 방향,korea_equity_proxy|korea_financial_proxy|rate_proxy,corr_sp500_60d_krw=0.091442
000810.KS,kr_stock,KRW,corr_kospi200_60d,KOSPI200 60d correlation,positive,0.435059,medium,0.435059,corr_kospi200_60d_krw,KOSPI200과 같은 방향,KOSPI200과 반대 방향,korea_equity_proxy|korea_financial_proxy|rate_proxy,corr_kospi200_60d_krw=0.435059
000810.KS,kr_stock,KRW,stress_response,Stress-period average return,negative,0.002283,medium,-0.002283,avg_stress_ret_krw,위기구간에서 플러스 성과,위기구간에서 마이너스 성과,korea_equity_proxy|korea_financial_proxy|rate_proxy,avg_stress_ret_krw=-0.002283
003670.KS,kr_stock,KRW,market_beta_sp500,S&P500 beta,neutral,0.098333,low,-0.098333,beta_sp500_1y_krw,SPY와 같은 방향,SPY와 반대 방향,ai_capex_proxy|geopolitical_proxy|korea_equity_proxy|korea_financial_proxy|rate_proxy,beta_sp500_1y_krw=-0.098333
