ticker,asset_class,currency,factor,factor_label,direction,magnitude,sensitivity_level,raw_value,value_basis,sign_positive_meaning,sign_negative_meaning,structural_tags,evidence_metrics
000270.KS,kr_stock,KRW,market_beta_sp500,S&P500 beta,neutral,0.058455,low,0.058455,beta_sp500_1y_krw,SPY와 같은 방향,SPY와 반대 방향,geopolitical_proxy|korea_equity_proxy|korea_financial_proxy,beta_sp500_1y_krw=0.058455
000270.KS,kr_stock,KRW,downside_beta_sp500,S&P500 downside beta,positive,0.105786,low,0.105786,downside_beta_sp500_1y_krw,미국 증시 하락일에 함께 하락,미국 증시 하락일에 반대로 움직임,geopolitical_proxy|korea_equity_proxy|korea_financial_proxy,downside_beta_sp500_1y_krw=0.105786
000270.KS,kr_stock,KRW,corr_sp500_60d,S&P500 60d correlation,neutral,0.062687,low,-0.062687,corr_sp500_60d_krw,SPY와 같은 방향,SPY와 반대 방향,geopolitical_proxy|korea_equity_proxy|korea_financial_proxy,corr_sp500_60d_krw=-0.062687
000270.KS,kr_stock,KRW,corr_kospi200_60d,KOSPI200 60d correlation,positive,0.798984,high,0.798984,corr_kospi200_60d_krw,KOSPI200과 같은 방향,KOSPI200과 반대 방향,geopolitical_proxy|korea_equity_proxy|korea_financial_proxy,corr_kospi200_60d_krw=0.798984
000270.KS,kr_stock,KRW,stress_response,Stress-period average return,negative,0.004996,high,-0.004996,avg_stress_ret_krw,위기구간에서 플러스 성과,위기구간에서 마이너스 성과,geopolitical_proxy|korea_equity_proxy|korea_financial_proxy,avg_stress_ret_krw=-0.004996
000660.KS,kr_stock,KRW,market_beta_sp500,S&P500 beta,positive,0.123121,low,0.123121,beta_sp500_1y_krw,SPY와 같은 방향,SPY와 반대 방향,ai_capex_proxy|korea_equity_proxy|korea_financial_proxy|semiconductor_proxy,beta_sp500_1y_krw=0.123121
000660.KS,kr_stock,KRW,downside_beta_sp500,S&P500 downside beta,positive,0.259261,low,0.259261,downside_beta_sp500_1y_krw,미국 증시 하락일에 함께 하락,미국 증시 하락일에 반대로 움직임,ai_capex_proxy|korea_equity_proxy|korea_financial_proxy|semiconductor_proxy,downside_beta_sp500_1y_krw=0.259261
000660.KS,kr_stock,KRW,corr_sp500_60d,S&P500 60d correlation,neutral,0.034273,low,-0.034273,corr_sp500_60d_krw,SPY와 같은 방향,SPY와 반대 방향,ai_capex_proxy|korea_equity_proxy|korea_financial_proxy|semiconductor_proxy,corr_sp500_60d_krw=-0.034273
000660.KS,kr_stock,KRW,corr_kospi200_60d,KOSPI200 60d correlation,positive,0.93734,high,0.93734,corr_kospi200_60d_krw,KOSPI200과 같은 방향,KOSPI200과 반대 방향,ai_capex_proxy|korea_equity_proxy|korea_financial_proxy|semiconductor_proxy,corr_kospi200_60d_krw=0.93734
000660.KS,kr_stock,KRW,stress_response,Stress-period average return,negative,0.01021,high,-0.01021,avg_stress_ret_krw,위기구간에서 플러스 성과,위기구간에서 마이너스 성과,ai_capex_proxy|korea_equity_proxy|korea_financial_proxy|semiconductor_proxy,avg_stress_ret_krw=-0.01021
000810.KS,kr_stock,KRW,market_beta_sp500,S&P500 beta,neutral,0.013141,low,0.013141,beta_sp500_1y_krw,SPY와 같은 방향,SPY와 반대 방향,korea_equity_proxy|korea_financial_proxy|rate_proxy,beta_sp500_1y_krw=0.013141
000810.KS,kr_stock,KRW,downside_beta_sp500,S&P500 downside beta,positive,0.11556,low,0.11556,downside_beta_sp500_1y_krw,미국 증시 하락일에 함께 하락,미국 증시 하락일에 반대로 움직임,korea_equity_proxy|korea_financial_proxy|rate_proxy,downside_beta_sp500_1y_krw=0.11556
000810.KS,kr_stock,KRW,corr_sp500_60d,S&P500 60d correlation,neutral,0.047424,low,-0.047424,corr_sp500_60d_krw,SPY와 같은 방향,SPY와 반대 방향,korea_equity_proxy|korea_financial_proxy|rate_proxy,corr_sp500_60d_krw=-0.047424
000810.KS,kr_stock,KRW,corr_kospi200_60d,KOSPI200 60d correlation,positive,0.415759,medium,0.415759,corr_kospi200_60d_krw,KOSPI200과 같은 방향,KOSPI200과 반대 방향,korea_equity_proxy|korea_financial_proxy|rate_proxy,corr_kospi200_60d_krw=0.415759
000810.KS,kr_stock,KRW,stress_response,Stress-period average return,negative,0.004478,high,-0.004478,avg_stress_ret_krw,위기구간에서 플러스 성과,위기구간에서 마이너스 성과,korea_equity_proxy|korea_financial_proxy|rate_proxy,avg_stress_ret_krw=-0.004478
003670.KS,kr_stock,KRW,market_beta_sp500,S&P500 beta,neutral,0.005407,low,0.005407,beta_sp500_1y_krw,SPY와 같은 방향,SPY와 반대 방향,ai_capex_proxy|geopolitical_proxy|korea_equity_proxy|korea_financial_proxy|rate_proxy,beta_sp500_1y_krw=0.005407
003670.KS,kr_stock,KRW,downside_beta_sp500,S&P500 downside beta,positive,0.139882,low,0.139882,downside_beta_sp500_1y_krw,미국 증시 하락일에 함께 하락,미국 증시 하락일에 반대로 움직임,ai_capex_proxy|geopolitical_proxy|korea_equity_proxy|korea_financial_proxy|rate_proxy,downside_beta_sp500_1y_krw=0.139882
003670.KS,kr_stock,KRW,corr_sp500_60d,S&P500 60d correlation,negative,0.194159,low,-0.194159,corr_sp500_60d_krw,SPY와 같은 방향,SPY와 반대 방향,ai_capex_proxy|geopolitical_proxy|korea_equity_proxy|korea_financial_proxy|rate_proxy,corr_sp500_60d_krw=-0.194159
003670.KS,kr_stock,KRW,corr_kospi200_60d,KOSPI200 60d correlation,positive,0.541975,medium,0.541975,corr_kospi200_60d_krw,KOSPI200과 같은 방향,KOSPI200과 반대 방향,ai_capex_proxy|geopolitical_proxy|korea_equity_proxy|korea_financial_proxy|rate_proxy,corr_kospi200_60d_krw=0.541975
003670.KS,kr_stock,KRW,stress_response,Stress-period average return,negative,0.005132,high,-0.005132,avg_stress_ret_krw,위기구간에서 플러스 성과,위기구간에서 마이너스 성과,ai_capex_proxy|geopolitical_proxy|korea_equity_proxy|korea_financial_proxy|rate_proxy,avg_stress_ret_krw=-0.005132
005380.KS,kr_stock,KRW,market_beta_sp500,S&P500 beta,neutral,0.046952,low,0.046952,beta_sp500_1y_krw,SPY와 같은 방향,SPY와 반대 방향,geopolitical_proxy|korea_equity_proxy|korea_financial_proxy,beta_sp500_1y_krw=0.046952
