ticker,asset_class,currency,vol_annual,mdd_1y,var_95_1y,cvar_95_1y,beta_sp500_1y,downside_beta_sp500_1y,beta_ks200_1y,downside_beta_ks200_1y,corr_sp500_60d,corr_kospi200_60d,beta_soxx_1y,downside_beta_soxx_1y,corr_soxx_60d,beta_uso_1y,beta_gld_1y,avg_stress_ret,adv_60,vol_annual_krw,mdd_1y_krw,var_95_1y_krw,cvar_95_1y_krw,beta_sp500_1y_krw,downside_beta_sp500_1y_krw,beta_ks200_1y_krw,downside_beta_ks200_1y_krw,corr_sp500_60d_krw,corr_kospi200_60d_krw,beta_soxx_1y_krw,downside_beta_soxx_1y_krw,corr_soxx_60d_krw,beta_usdkrw_1y,beta_uso_1y_krw,beta_gld_1y_krw,beta_kr_financial_basket_1y_krw,avg_stress_ret_krw,return_observation_count,stress_observation_count,sp500_overlap_count,ks200_overlap_count,soxx_overlap_count,usdkrw_overlap_count,uso_overlap_count,gld_overlap_count,kr_financial_overlap_count,annual_return_1y_krw,sharpe_1y_krw_proxy,data_version
000270.KS,kr_stock,KRW,0.387435,-0.264203,-0.036014,-0.062219,0.058455,0.105786,0.969304,1.107378,-0.062687,0.798984,0.039875,0.135965,0.083928,0.019301,-0.080898,-0.004996,223824357527.05417,0.387435,-0.264203,-0.036014,-0.062219,0.058455,0.105786,0.969304,1.107378,-0.062687,0.798984,0.039875,0.135965,0.083928,-0.318334,0.019301,-0.080898,0.516229,-0.004996,4792,266,4632,4736,1184,4204,4632,4632,4792,0.880621,1.747257,20260605
000660.KS,kr_stock,KRW,0.455304,-0.265696,-0.06321,-0.083402,0.123121,0.259261,1.320031,1.246781,-0.034273,0.93734,0.145765,0.14404,0.180685,0.012981,-0.077735,-0.01021,6760609146042.08,0.455304,-0.265696,-0.06321,-0.083402,0.123121,0.259261,1.320031,1.246781,-0.034273,0.93734,0.145765,0.14404,0.180685,-0.414921,0.012981,-0.077735,0.48182,-0.01021,4792,266,4632,4736,1184,4204,4632,4632,4792,10.444407,15.312742,20260605
000810.KS,kr_stock,KRW,0.334487,-0.276984,-0.039655,-0.068847,0.013141,0.11556,0.640282,0.707101,-0.047424,0.415759,-0.024395,0.10691,-0.086796,0.03442,0.004333,-0.004478,83136989403.17448,0.334487,-0.276984,-0.039655,-0.068847,0.013141,0.11556,0.640282,0.707101,-0.047424,0.415759,-0.024395,0.10691,-0.086796,-0.225768,0.03442,0.004333,0.557478,-0.004478,4792,266,4632,4736,1184,4204,4632,4632,4792,1.030053,1.737789,20260605
003670.KS,kr_stock,KRW,0.461392,-0.283503,-0.050515,-0.075623,0.005407,0.139882,0.770918,0.872668,-0.194159,0.541975,-0.000747,0.005247,-0.10899,0.001129,-0.067283,-0.005132,93714732628.07812,0.461392,-0.283503,-0.050515,-0.075623,0.005407,0.139882,0.770918,0.872668,-0.194159,0.541975,-0.000747,0.005247,-0.10899,-0.353188,0.001129,-0.067283,0.260388,-0.005132,4792,266,4632,4736,1184,4204,4632,4632,4792,1.059102,1.559927,20260605
005380.KS,kr_stock,KRW,0.379297,-0.339021,-0.044379,-0.069684,0.046952,0.133293,1.013568,1.038115,-0.026008,0.777292,0.061926,0.158016,0.086488,0.034261,-0.054278,-0.005493,923314562941.3541,0.379297,-0.339021,-0.044379,-0.069684,0.046952,0.133293,1.013568,1.038115,-0.026008,0.777292,0.061926,0.158016,0.086488,-0.302168,0.034261,-0.054278,0.525606,-0.005493,4792,266,4632,4736,1184,4204,4632,4632,4792,2.854817,4.627242,20260605
005490.KS,kr_stock,KRW,0.360658,-0.250857,-0.040315,-0.061316,0.007101,0.101999,0.973433,1.029335,-0.22686,0.5352,-0.020909,-0.04941,-0.220185,0.033656,-0.136889,-0.005251,202782049162.8724,0.360658,-0.250857,-0.040315,-0.061316,0.007101,0.101999,0.973433,1.029335,-0.22686,0.5352,-0.020909,-0.04941,-0.220185,-0.418187,0.033656,-0.136889,0.523741,-0.005251,4792,266,4632,4736,1184,4204,4632,4632,4792,0.731887,1.473464,20260605
005930.KS,kr_stock,KRW,0.310547,-0.23144,-0.043736,-0.068694,0.040335,0.096471,1.098281,0.949289,-0.006385,0.940514,0.071496,0.055124,0.175409,0.025463,-0.046037,-0.005363,6844691396062.763,0.310547,-0.23144,-0.043736,-0.068694,0.040335,0.096471,1.098281,0.949289,-0.006385,0.940514,0.071496,0.055124,0.175409,-0.31444,0.025463,-0.046037,0.414893,-0.005363,4792,266,4632,4736,1184,4204,4632,4632,4792,5.398919,9.935709,20260605
006400.KS,kr_stock,KRW,0.422778,-0.246781,-0.048586,-0.072746,0.042658,0.091891,0.988985,1.031849,-0.119009,0.35888,-0.023088,-0.033529,-0.086941,0.020611,-0.077352,-0.00733,452006067775.0,0.422778,-0.246781,-0.048586,-0.072746,0.042658,0.091891,0.988985,1.031849,-0.119009,0.35888,-0.023088,-0.033529,-0.086941,-0.331533,0.020611,-0.077352,0.392182,-0.00733,4792,266,4632,4736,1184,4204,4632,4632,4792,2.758514,4.321107,20260605
011200.KS,kr_stock,KRW,0.548251,-0.280925,-0.028946,-0.049941,-0.046888,-0.096459,0.775015,0.834739,-0.186211,0.458512,-0.083844,-0.150671,-0.11363,-0.016501,-0.078951,-0.000737,31112268062.333332,0.548251,-0.280925,-0.028946,-0.049941,-0.046888,-0.096459,0.775015,0.834739,-0.186211,0.458512,-0.083844,-0.150671,-0.11363,-0.314222,-0.016501,-0.078951,0.412559,-0.000737,4792,266,4632,4736,1184,4204,4632,4632,4792,-0.084901,-0.305132,20260605
017670.KS,kr_stock,KRW,0.260135,-0.187283,-0.024991,-0.056857,-0.000387,0.036631,0.362046,0.443311,0.111717,0.448865,-0.017804,0.005195,0.298586,0.003962,-0.027509,-0.001759,116274081861.45076,0.260135,-0.187283,-0.024991,-0.056857,-0.000387,0.036631,0.362046,0.443311,0.111717,0.448865,-0.017804,0.005195,0.298586,-0.068619,0.003962,-0.027509,0.217841,-0.001759,4792,266,4632,4736,1184,4204,4632,4632,4792,1.199938,2.656284,20260605
