ticker,asset_class,currency,vol_annual,mdd_1y,var_95_1y,cvar_95_1y,beta_sp500_1y,downside_beta_sp500_1y,beta_ks200_1y,downside_beta_ks200_1y,corr_sp500_60d,corr_kospi200_60d,beta_soxx_1y,downside_beta_soxx_1y,corr_soxx_60d,beta_uso_1y,beta_gld_1y,avg_stress_ret,adv_60,vol_annual_krw,mdd_1y_krw,var_95_1y_krw,cvar_95_1y_krw,beta_sp500_1y_krw,downside_beta_sp500_1y_krw,beta_ks200_1y_krw,downside_beta_ks200_1y_krw,corr_sp500_60d_krw,corr_kospi200_60d_krw,beta_soxx_1y_krw,downside_beta_soxx_1y_krw,corr_soxx_60d_krw,beta_usdkrw_1y,beta_uso_1y_krw,beta_gld_1y_krw,beta_kr_financial_basket_1y_krw,avg_stress_ret_krw,return_observation_count,stress_observation_count,sp500_overlap_count,ks200_overlap_count,soxx_overlap_count,usdkrw_overlap_count,uso_overlap_count,gld_overlap_count,kr_financial_overlap_count,annual_return_1y_krw,sharpe_1y_krw_proxy,data_version
000270.KS,kr_stock,KRW,0.388076,-0.264203,-0.037996,-0.064032,-0.040102,-0.045022,0.795141,0.89975,0.023222,0.779,0.03395,0.14107,0.086867,-0.017068,-0.038349,-0.002846,224307733543.8453,0.388076,-0.264203,-0.037996,-0.064032,-0.040102,-0.045022,0.795141,0.89975,0.023222,0.779,0.03395,0.14107,0.086867,-0.455203,-0.017068,-0.038349,0.517836,-0.002846,4795,65,1185,1224,1185,1078,1185,1185,4795,0.969146,1.889815,20260610
000660.KS,kr_stock,KRW,0.457529,-0.265696,-0.068513,-0.087038,-0.000128,0.172471,1.458015,1.277738,0.116333,0.933042,0.148631,0.20459,0.237312,-0.046433,-0.003574,-0.005944,7141238306135.329,0.457529,-0.265696,-0.068513,-0.087038,-0.000128,0.172471,1.458015,1.277738,0.116333,0.933042,0.148631,0.20459,0.237312,-0.815826,-0.046433,-0.003574,0.485383,-0.005944,4795,65,1185,1224,1185,1078,1185,1185,4795,10.141367,14.252727,20260610
000810.KS,kr_stock,KRW,0.334715,-0.276984,-0.040379,-0.069455,-0.067268,-0.043854,0.5258,0.55879,0.091442,0.435059,-0.017514,0.137836,0.045113,-0.014029,0.07408,-0.002283,89093800974.46875,0.334715,-0.276984,-0.040379,-0.069455,-0.067268,-0.043854,0.5258,0.55879,0.091442,0.435059,-0.017514,0.137836,0.045113,-0.312928,-0.014029,0.07408,0.554578,-0.002283,4795,65,1185,1224,1185,1078,1185,1185,4795,0.795123,1.325348,20260610
003670.KS,kr_stock,KRW,0.462088,-0.365878,-0.055101,-0.079705,-0.098333,-0.123101,0.994922,1.104471,-0.063944,0.57955,-0.000607,0.044156,-0.025307,-0.010356,-0.165405,-0.009102,93609888168.99583,0.462088,-0.365878,-0.055101,-0.079705,-0.098333,-0.123101,0.994922,1.104471,-0.063944,0.57955,-0.000607,0.044156,-0.025307,-0.798195,-0.010356,-0.165405,0.264749,-0.009102,4795,65,1185,1224,1185,1078,1185,1185,4795,0.930381,1.344942,20260610
005380.KS,kr_stock,KRW,0.379715,-0.339021,-0.044897,-0.072938,-0.031956,0.015521,0.895988,0.974958,0.036563,0.761066,0.052358,0.147406,0.074065,8.2e-05,0.046171,-0.004158,932809898482.7802,0.379715,-0.339021,-0.044897,-0.072938,-0.031956,0.015521,0.895988,0.974958,0.036563,0.761066,0.052358,0.147406,0.074065,-0.440116,8.2e-05,0.046171,0.527159,-0.004158,4795,65,1185,1224,1185,1078,1185,1185,4795,2.706676,4.344463,20260610
005490.KS,kr_stock,KRW,0.361093,-0.325959,-0.041873,-0.064211,-0.099984,-0.110214,0.831791,0.941702,-0.126884,0.565331,-0.022875,-0.025065,-0.152975,0.056899,-0.132499,-0.006645,204719153581.51926,0.361093,-0.325959,-0.041873,-0.064211,-0.099984,-0.110214,0.831791,0.941702,-0.126884,0.565331,-0.022875,-0.025065,-0.152975,-0.625093,0.056899,-0.132499,0.524804,-0.006645,4795,65,1185,1224,1185,1078,1185,1185,4795,0.62077,1.220671,20260610
005930.KS,kr_stock,KRW,0.312362,-0.23144,-0.052903,-0.073857,-0.042724,0.025664,1.167844,1.078485,0.122989,0.942671,0.069319,0.096442,0.194763,-0.023952,0.062984,-0.007075,7077121651560.679,0.312362,-0.23144,-0.052903,-0.073857,-0.042724,0.025664,1.167844,1.078485,0.122989,0.942671,0.069319,0.096442,0.194763,-0.626063,-0.023952,0.062984,0.419368,-0.007075,4795,65,1185,1224,1185,1078,1185,1185,4795,5.045743,8.938299,20260610
006400.KS,kr_stock,KRW,0.423767,-0.293539,-0.050876,-0.078908,-0.129588,-0.124996,0.968984,1.087168,0.007901,0.426293,-0.022242,0.013674,-0.001562,0.028686,-0.150978,-0.007502,455003220350.0,0.423767,-0.293539,-0.050876,-0.078908,-0.129588,-0.124996,0.968984,1.087168,0.007901,0.426293,-0.022242,0.013674,-0.001562,-0.635401,0.028686,-0.150978,0.396145,-0.007502,4795,65,1185,1224,1185,1078,1185,1185,4795,2.214732,3.379621,20260610
011200.KS,kr_stock,KRW,0.548185,-0.280925,-0.029269,-0.050874,-0.176856,-0.168001,0.541964,0.586397,-0.118269,0.479321,-0.084505,-0.134025,-0.117952,0.024462,-0.044082,-0.004039,29897702024.833332,0.548185,-0.280925,-0.029269,-0.050874,-0.176856,-0.168001,0.541964,0.586397,-0.118269,0.479321,-0.084505,-0.134025,-0.117952,-0.394502,0.024462,-0.044082,0.412432,-0.004039,4795,65,1185,1224,1185,1078,1185,1185,4795,-0.116417,-0.386103,20260610
017670.KS,kr_stock,KRW,0.260126,-0.187283,-0.024991,-0.056857,-0.094306,0.016271,0.389916,0.417689,0.141237,0.439495,-0.013022,0.018501,0.297243,0.009859,-0.024133,-0.001129,130839665706.17374,0.260126,-0.187283,-0.024991,-0.056857,-0.094306,0.016271,0.389916,0.417689,0.141237,0.439495,-0.013022,0.018501,0.297243,-0.284503,0.009859,-0.024133,0.216108,-0.001129,4795,65,1185,1224,1185,1078,1185,1185,4795,1.218235,2.695045,20260610
