candidate_label,expected_scenario_code,case_count,evaluated_count,improved_count,mixed_count,worsened_count,insufficient_history_count,worsened_rate,avg_cvar_delta,avg_mdd_delta,avg_stress_loss_delta,avg_return_drag,avg_implementation_cost,avg_recurring_rebalance_cost,avg_total_path_cost,avg_net_cvar_delta,avg_net_mdd_delta,avg_net_stress_loss_delta,avg_cost_adjusted_return_drag,cash_beats_count,cash_mixed_count,cash_lags_count,avg_hedge_vs_cash_cvar_delta,avg_hedge_vs_cash_mdd_delta,avg_hedge_vs_cash_stress_loss_delta,metric_worsened_counts,worst_metric,worst_metric_delta,worst_case_name
011200.KS,acute_global_stress_liquidity_crunch,3,3,3,0,0,0,0.0,0.002526,0.009719,-0.008664,-0.066678,0.000128,0.0,0.000128,0.002526,0.009719,-0.008778,-0.067197,0,0,3,-0.002322,-0.014979,-0.016751,net_CVaR=0; net_MDD=1; net_stress_loss=2; cost_adjusted_return_drag=2; cash_net_CVaR=3; cash_net_MDD=2; cash_net_stress_loss=3; CVaR=0; MDD=1; stress_loss=2; return_drag=2,cost_adjusted_return_drag,-0.212275,2023 US Regional Bank / Credit Stress
011200.KS,china_trade_fragmentation_shock,1,1,1,0,0,0,0.0,0.001153,0.00515,-0.10764,-0.045742,0.000128,0.0,0.000128,0.001153,0.00515,-0.10789,-0.045849,0,0,1,-0.000796,-0.004727,-0.019576,net_CVaR=0; net_MDD=0; net_stress_loss=1; cost_adjusted_return_drag=1; cash_net_CVaR=1; cash_net_MDD=1; cash_net_stress_loss=1; CVaR=0; MDD=0; stress_loss=1; return_drag=1,net_stress_loss,-0.10789,China Slowdown / Property Stress
011200.KS,geopolitical_escalation_supply_shock,1,1,1,0,0,0,0.0,0.003677,0.005949,-0.004944,-0.021325,0.000128,0.0,0.000128,0.003677,0.005949,-0.00507,-0.021865,0,0,1,0.001402,-0.001763,-0.00448,net_CVaR=0; net_MDD=0; net_stress_loss=1; cost_adjusted_return_drag=1; cash_net_CVaR=0; cash_net_MDD=1; cash_net_stress_loss=1; CVaR=0; MDD=0; stress_loss=1; return_drag=1,cost_adjusted_return_drag,-0.021865,2024 Middle East / Shipping Supply Shock
011200.KS,higher_for_longer_long_rate_shock,1,1,1,0,0,0,0.0,0.002678,0.026039,0.030404,0.03205,0.000128,0.0,0.000128,0.002678,0.026039,0.030328,0.031969,0,0,1,-0.001196,-0.014885,-0.006787,net_CVaR=0; net_MDD=0; net_stress_loss=0; cost_adjusted_return_drag=0; cash_net_CVaR=1; cash_net_MDD=1; cash_net_stress_loss=1; CVaR=0; MDD=0; stress_loss=0; return_drag=0,cash_net_MDD,-0.014885,2022 Global Rate Shock
011200.KS,semiconductor_ai_cycle_shock,1,1,1,0,0,0,0.0,0.002785,0.008515,0.006292,0.01419,0.000128,0.0,0.000128,0.002785,0.008515,0.006173,0.013921,0,0,1,-0.000729,-0.007119,0.000468,net_CVaR=0; net_MDD=0; net_stress_loss=0; cost_adjusted_return_drag=0; cash_net_CVaR=1; cash_net_MDD=1; cash_net_stress_loss=0; CVaR=0; MDD=0; stress_loss=0; return_drag=0,cash_net_MDD,-0.007119,2024 AI Semiconductor Concentration / Pullback Risk
011200.KS,stagflation_reinflation_energy_shock,1,1,1,0,0,0,0.0,0.003042,0.010629,0.030294,0.037054,0.000128,0.0,0.000128,0.003042,0.010629,0.030204,0.036942,0,0,1,-0.000511,-0.022018,0.003448,net_CVaR=0; net_MDD=0; net_stress_loss=0; cost_adjusted_return_drag=0; cash_net_CVaR=1; cash_net_MDD=1; cash_net_stress_loss=0; CVaR=0; MDD=0; stress_loss=0; return_drag=0,cash_net_MDD,-0.022018,Russia-Ukraine / War-Energy Shock
011200.KS,usd_strength_krw_weakness,1,1,1,0,0,0,0.0,0.000694,0.003404,-0.004508,-0.008245,0.000128,0.0,0.000128,0.000669,0.003404,-0.004614,-0.008439,0,0,1,-0.002752,-0.020738,-0.021782,net_CVaR=0; net_MDD=0; net_stress_loss=1; cost_adjusted_return_drag=1; cash_net_CVaR=1; cash_net_MDD=1; cash_net_stress_loss=1; CVaR=0; MDD=0; stress_loss=1; return_drag=1,cash_net_stress_loss,-0.021888,2022 KRW Weakness / USD Strength
017670.KS,acute_global_stress_liquidity_crunch,3,3,3,0,0,0,0.0,0.003568,0.01929,0.00627,-0.019014,0.000128,0.0,0.000128,0.003568,0.01929,0.006154,-0.019556,0,0,3,-0.00128,-0.005408,-0.001817,net_CVaR=0; net_MDD=0; net_stress_loss=2; cost_adjusted_return_drag=2; cash_net_CVaR=3; cash_net_MDD=2; cash_net_stress_loss=2; CVaR=0; MDD=0; stress_loss=2; return_drag=2,cost_adjusted_return_drag,-0.07789,2023 US Regional Bank / Credit Stress
017670.KS,china_trade_fragmentation_shock,1,1,1,0,0,0,0.0,0.002397,0.018976,-0.055188,-0.023318,0.000128,0.0,0.000128,0.002397,0.018976,-0.055445,-0.023428,1,0,0,0.000448,0.009098,0.032877,net_CVaR=0; net_MDD=0; net_stress_loss=1; cost_adjusted_return_drag=1; cash_net_CVaR=0; cash_net_MDD=0; cash_net_stress_loss=0; CVaR=0; MDD=0; stress_loss=1; return_drag=1,net_stress_loss,-0.055445,China Slowdown / Property Stress
017670.KS,geopolitical_escalation_supply_shock,1,1,1,0,0,0,0.0,0.002163,0.005697,-0.000951,-0.004127,0.000128,0.0,0.000128,0.002163,0.005697,-0.001077,-0.004676,0,0,1,-0.000112,-0.002014,-0.000486,net_CVaR=0; net_MDD=0; net_stress_loss=1; cost_adjusted_return_drag=1; cash_net_CVaR=1; cash_net_MDD=1; cash_net_stress_loss=1; CVaR=0; MDD=0; stress_loss=1; return_drag=1,cost_adjusted_return_drag,-0.004676,2024 Middle East / Shipping Supply Shock
017670.KS,higher_for_longer_long_rate_shock,1,1,1,0,0,0,0.0,0.003227,0.021605,0.018979,0.01998,0.000128,0.0,0.000128,0.003227,0.021536,0.018904,0.019901,0,0,1,-0.000647,-0.019319,-0.018212,net_CVaR=0; net_MDD=0; net_stress_loss=0; cost_adjusted_return_drag=0; cash_net_CVaR=1; cash_net_MDD=1; cash_net_stress_loss=1; CVaR=0; MDD=0; stress_loss=0; return_drag=0,cash_net_MDD,-0.019388,2022 Global Rate Shock
017670.KS,semiconductor_ai_cycle_shock,1,1,1,0,0,0,0.0,0.002793,0.01648,0.011001,0.024905,0.000128,0.0,0.000128,0.002793,0.01648,0.010881,0.024631,1,0,0,-0.000721,0.000846,0.005177,net_CVaR=0; net_MDD=0; net_stress_loss=0; cost_adjusted_return_drag=0; cash_net_CVaR=1; cash_net_MDD=0; cash_net_stress_loss=0; CVaR=0; MDD=0; stress_loss=0; return_drag=0,cash_net_CVaR,-0.000721,2024 AI Semiconductor Concentration / Pullback Risk
017670.KS,stagflation_reinflation_energy_shock,1,1,1,0,0,0,0.0,0.003356,0.023293,0.021004,0.025616,0.000128,0.0,0.000128,0.003356,0.023293,0.020914,0.025505,0,0,1,-0.000196,-0.009354,-0.005843,net_CVaR=0; net_MDD=0; net_stress_loss=0; cost_adjusted_return_drag=0; cash_net_CVaR=1; cash_net_MDD=1; cash_net_stress_loss=1; CVaR=0; MDD=0; stress_loss=0; return_drag=0,cash_net_MDD,-0.009354,Russia-Ukraine / War-Energy Shock
017670.KS,usd_strength_krw_weakness,1,1,1,0,0,0,0.0,0.002818,0.018204,0.009848,0.018293,0.000128,0.0,0.000128,0.002792,0.018204,0.00974,0.01809,0,0,1,-0.000628,-0.005938,-0.007426,net_CVaR=0; net_MDD=0; net_stress_loss=0; cost_adjusted_return_drag=0; cash_net_CVaR=1; cash_net_MDD=1; cash_net_stress_loss=1; CVaR=0; MDD=0; stress_loss=0; return_drag=0,cash_net_stress_loss,-0.007534,2022 KRW Weakness / USD Strength
