candidate_label,expected_scenario_code,case_count,evaluated_count,improved_count,mixed_count,worsened_count,insufficient_history_count,worsened_rate,avg_cvar_delta,avg_mdd_delta,avg_stress_loss_delta,avg_return_drag,avg_implementation_cost,avg_recurring_rebalance_cost,avg_total_path_cost,avg_net_cvar_delta,avg_net_mdd_delta,avg_net_stress_loss_delta,avg_cost_adjusted_return_drag,cash_beats_count,cash_mixed_count,cash_lags_count,avg_hedge_vs_cash_cvar_delta,avg_hedge_vs_cash_mdd_delta,avg_hedge_vs_cash_stress_loss_delta,metric_worsened_counts,worst_metric,worst_metric_delta,worst_case_name
000270.KS,acute_global_stress_liquidity_crunch,3,3,2,0,1,0,0.3333,0.002135,0.01182,-0.002353,-0.031712,0.000136,0.0,0.000136,0.002135,0.01182,-0.002475,-0.032292,1,0,2,-0.003096,-0.014734,-0.011044,net_CVaR=0; net_MDD=1; net_stress_loss=2; cost_adjusted_return_drag=2; cash_net_CVaR=2; cash_net_MDD=2; cash_net_stress_loss=2; CVaR=0; MDD=1; stress_loss=2; return_drag=2,cost_adjusted_return_drag,-0.07747,2023 US Regional Bank / Credit Stress
000270.KS,china_trade_fragmentation_shock,1,1,1,0,0,0,0.0,0.001739,0.005741,-0.082528,-0.034634,0.000136,0.0,0.000136,0.001739,0.005741,-0.082805,-0.034752,0,0,1,-0.000341,-0.004714,0.01585,net_CVaR=0; net_MDD=0; net_stress_loss=1; cost_adjusted_return_drag=1; cash_net_CVaR=1; cash_net_MDD=1; cash_net_stress_loss=0; CVaR=0; MDD=0; stress_loss=1; return_drag=1,net_stress_loss,-0.082805,China Slowdown / Property Stress
000270.KS,geopolitical_escalation_supply_shock,1,1,1,0,0,0,0.0,0.000597,0.010737,-0.00183,-0.008023,0.000136,0.0,0.000136,0.000597,0.010737,-0.001966,-0.008615,0,0,1,-0.001868,0.002401,-0.001021,net_CVaR=0; net_MDD=0; net_stress_loss=1; cost_adjusted_return_drag=1; cash_net_CVaR=1; cash_net_MDD=0; cash_net_stress_loss=1; CVaR=0; MDD=0; stress_loss=1; return_drag=1,cost_adjusted_return_drag,-0.008615,2024 Middle East / Shipping Supply Shock
000270.KS,higher_for_longer_long_rate_shock,1,1,1,0,0,0,0.0,0.003519,0.033606,0.027564,0.029126,0.000136,0.0,0.000136,0.003519,0.033606,0.027482,0.029039,0,0,1,-0.000591,-0.010513,-0.012531,net_CVaR=0; net_MDD=0; net_stress_loss=0; cost_adjusted_return_drag=0; cash_net_CVaR=1; cash_net_MDD=1; cash_net_stress_loss=1; CVaR=0; MDD=0; stress_loss=0; return_drag=0,cash_net_stress_loss,-0.012613,2022 Global Rate Shock
000270.KS,semiconductor_ai_cycle_shock,1,1,1,0,0,0,0.0,0.001766,0.003936,0.00076,0.001714,0.000136,0.0,0.000136,0.001766,0.003936,0.000633,0.001427,0,0,1,-0.002026,-0.01285,-0.005209,net_CVaR=0; net_MDD=0; net_stress_loss=0; cost_adjusted_return_drag=0; cash_net_CVaR=1; cash_net_MDD=1; cash_net_stress_loss=1; CVaR=0; MDD=0; stress_loss=0; return_drag=0,cash_net_MDD,-0.01285,2024 AI Semiconductor Concentration / Pullback Risk
000270.KS,stagflation_reinflation_energy_shock,1,1,1,0,0,0,0.0,0.002982,0.029466,0.016383,0.019946,0.000136,0.0,0.000136,0.002982,0.029466,0.016287,0.019829,0,0,1,-0.000864,-0.005959,-0.012848,net_CVaR=0; net_MDD=0; net_stress_loss=0; cost_adjusted_return_drag=0; cash_net_CVaR=1; cash_net_MDD=1; cash_net_stress_loss=1; CVaR=0; MDD=0; stress_loss=0; return_drag=0,cash_net_stress_loss,-0.012944,Russia-Ukraine / War-Energy Shock
000270.KS,usd_strength_krw_weakness,1,1,1,0,0,0,0.0,0.002578,0.015203,0.00575,0.010633,0.000136,0.0,0.000136,0.002551,0.015203,0.005635,0.010419,0,0,1,-0.001145,-0.010708,-0.012731,net_CVaR=0; net_MDD=0; net_stress_loss=0; cost_adjusted_return_drag=0; cash_net_CVaR=1; cash_net_MDD=1; cash_net_stress_loss=1; CVaR=0; MDD=0; stress_loss=0; return_drag=0,cash_net_stress_loss,-0.012847,2022 KRW Weakness / USD Strength
017670.KS,acute_global_stress_liquidity_crunch,3,3,3,0,0,0,0.0,0.003864,0.020827,0.00676,-0.021715,0.000136,0.0,0.000136,0.003864,0.020827,0.006636,-0.022301,0,0,3,-0.001367,-0.005726,-0.001932,net_CVaR=0; net_MDD=0; net_stress_loss=2; cost_adjusted_return_drag=2; cash_net_CVaR=3; cash_net_MDD=2; cash_net_stress_loss=2; CVaR=0; MDD=0; stress_loss=2; return_drag=2,cost_adjusted_return_drag,-0.088033,2023 US Regional Bank / Credit Stress
017670.KS,china_trade_fragmentation_shock,1,1,1,0,0,0,0.0,0.002556,0.019971,-0.063465,-0.02658,0.000136,0.0,0.000136,0.002556,0.019971,-0.063745,-0.026698,1,0,0,0.000477,0.009515,0.034913,net_CVaR=0; net_MDD=0; net_stress_loss=1; cost_adjusted_return_drag=1; cash_net_CVaR=0; cash_net_MDD=0; cash_net_stress_loss=0; CVaR=0; MDD=0; stress_loss=1; return_drag=1,net_stress_loss,-0.063745,China Slowdown / Property Stress
017670.KS,geopolitical_escalation_supply_shock,1,1,1,0,0,0,0.0,0.002347,0.006198,-0.001326,-0.005816,0.000136,0.0,0.000136,0.002347,0.006198,-0.001461,-0.006411,0,0,1,-0.000119,-0.002139,-0.000516,net_CVaR=0; net_MDD=0; net_stress_loss=1; cost_adjusted_return_drag=1; cash_net_CVaR=1; cash_net_MDD=1; cash_net_stress_loss=1; CVaR=0; MDD=0; stress_loss=1; return_drag=1,cost_adjusted_return_drag,-0.006411,2024 Middle East / Shipping Supply Shock
017670.KS,higher_for_longer_long_rate_shock,1,1,1,0,0,0,0.0,0.003433,0.024215,0.021445,0.022644,0.000136,0.0,0.000136,0.003433,0.02414,0.021364,0.022558,0,0,1,-0.000677,-0.019904,-0.01865,net_CVaR=0; net_MDD=0; net_stress_loss=0; cost_adjusted_return_drag=0; cash_net_CVaR=1; cash_net_MDD=1; cash_net_stress_loss=1; CVaR=0; MDD=0; stress_loss=0; return_drag=0,cash_net_MDD,-0.019979,2022 Global Rate Shock
017670.KS,semiconductor_ai_cycle_shock,1,1,1,0,0,0,0.0,0.002992,0.017681,0.011467,0.026088,0.000136,0.0,0.000136,0.002992,0.017681,0.011338,0.025793,1,0,0,-0.0008,0.000895,0.005498,net_CVaR=0; net_MDD=0; net_stress_loss=0; cost_adjusted_return_drag=0; cash_net_CVaR=1; cash_net_MDD=0; cash_net_stress_loss=0; CVaR=0; MDD=0; stress_loss=0; return_drag=0,cash_net_CVaR,-0.0008,2024 AI Semiconductor Concentration / Pullback Risk
017670.KS,stagflation_reinflation_energy_shock,1,1,1,0,0,0,0.0,0.003644,0.025572,0.023074,0.028151,0.000136,0.0,0.000136,0.003644,0.025572,0.022977,0.028033,0,0,1,-0.000202,-0.009853,-0.006157,net_CVaR=0; net_MDD=0; net_stress_loss=0; cost_adjusted_return_drag=0; cash_net_CVaR=1; cash_net_MDD=1; cash_net_stress_loss=1; CVaR=0; MDD=0; stress_loss=0; return_drag=0,cash_net_MDD,-0.009853,Russia-Ukraine / War-Energy Shock
017670.KS,usd_strength_krw_weakness,1,1,1,0,0,0,0.0,0.003055,0.019611,0.010595,0.019696,0.000136,0.0,0.000136,0.003028,0.019611,0.010479,0.019478,0,0,1,-0.000668,-0.0063,-0.007886,net_CVaR=0; net_MDD=0; net_stress_loss=0; cost_adjusted_return_drag=0; cash_net_CVaR=1; cash_net_MDD=1; cash_net_stress_loss=1; CVaR=0; MDD=0; stress_loss=0; return_drag=0,cash_net_stress_loss,-0.008002,2022 KRW Weakness / USD Strength
055550.KS,acute_global_stress_liquidity_crunch,3,3,2,0,1,0,0.3333,0.00161,0.003597,-0.013308,-0.064484,0.000136,0.0,0.000136,0.00161,0.003597,-0.013429,-0.065047,0,0,3,-0.003621,-0.022956,-0.022,net_CVaR=0; net_MDD=1; net_stress_loss=3; cost_adjusted_return_drag=3; cash_net_CVaR=3; cash_net_MDD=3; cash_net_stress_loss=3; CVaR=0; MDD=1; stress_loss=3; return_drag=3,cost_adjusted_return_drag,-0.16085,2023 US Regional Bank / Credit Stress
055550.KS,china_trade_fragmentation_shock,1,1,1,0,0,0,0.0,0.002063,0.019551,-0.072762,-0.030504,0.000136,0.0,0.000136,0.002063,0.019551,-0.073041,-0.030622,1,0,0,-1.7e-05,0.009096,0.025616,net_CVaR=0; net_MDD=0; net_stress_loss=1; cost_adjusted_return_drag=1; cash_net_CVaR=1; cash_net_MDD=0; cash_net_stress_loss=0; CVaR=0; MDD=0; stress_loss=1; return_drag=1,net_stress_loss,-0.073041,China Slowdown / Property Stress
