candidate_source,candidate_name,recommendation_status,backtest_gate_status,formal_gate_blockers,formal_gate_blocker_count,target_evaluated_count,target_improved_count,target_worsened_count,target_insufficient_history_count,target_lags_cash_count,target_bootstrap_robust_count,target_bootstrap_count,target_bootstrap_min_p_improve,target_bootstrap_avg_p_improve,target_cash_bootstrap_robust_count,target_cash_bootstrap_count,target_cash_bootstrap_min_p_improve,target_cash_bootstrap_avg_p_improve,target_avg_cash_net_stress_delta,target_min_cash_net_stress_delta,target_avg_cash_net_mdd_delta,target_min_cash_net_mdd_delta,target_avg_cash_net_cvar_delta,target_min_cash_net_cvar_delta,target_max_turnover,combo_min_adv_60,liquidity_order_notional_krw,liquidity_adv_usage_pct,liquidity_capacity_status,formal_readiness_score,backtest_reason,reference_reason,gate_fail_reasons
one_to_one,IAU,REFERENCE_ONLY,VALIDATION_THIN,validation_thin|bootstrap_not_robust|cash_bootstrap_not_robust|return_drag_reference|reference_only,5,1,1,0,0,0,0,1,0.065,0.065,0,1,0.85,0.85,0.018689,0.018689,0.00281,0.00281,0.000208,0.000208,0.085056,1134612250694.8743,128957.67,0.0,ORDER_SIZE_ADV_USAGE_OK,71.3,target-scenario backtest has only 1 evaluated stress case; 표본 부족,annual return drag soft warning; IAU: 범용 방어 benchmark입니다,
one_to_one,FXE,REFERENCE_ONLY,VALIDATION_THIN,validation_thin|cash_baseline_lag|bootstrap_not_robust|cash_bootstrap_not_robust|return_drag_reference|reference_only,6,1,1,0,0,1,0,1,0.875,0.875,0,1,0.135,0.135,-0.004014,-0.004014,-0.003244,-0.003244,-0.000435,-0.000435,0.085056,36392128387.57818,163951.29,0.0005,ORDER_SIZE_ADV_USAGE_OK,52.7,target-scenario backtest has only 1 evaluated stress case; 표본 부족,annual return drag soft warning,
one_to_one,FXY,REFERENCE_ONLY,VALIDATION_THIN,validation_thin|cash_baseline_lag|bootstrap_not_robust|cash_bootstrap_not_robust|return_drag_reference|reference_only,6,1,1,0,0,1,0,1,0.825,0.825,0,1,0.055,0.055,-0.006928,-0.006928,-0.006499,-0.006499,-0.000253,-0.000253,0.085056,16328772448.794792,175503.61,0.0011,ORDER_SIZE_ADV_USAGE_OK,51.1,target-scenario backtest has only 1 evaluated stress case; 표본 부족,annual return drag soft warning,
one_to_one,017670.KS,REFERENCE_ONLY,VALIDATION_INSUFFICIENT,validation_insufficient|reference_only,2,0,0,0,0,0,0,0,,,0,0,,,,,,,,,,116274081861.45076,217800.0,0.0002,ORDER_SIZE_ADV_USAGE_OK,40.0,target-scenario historical validation has insufficient history; 검증 부족,017670.KS: 장세 해석용 자산으로 기본 헤지 후보에서 제외,
one_to_one,055550.KS,REFERENCE_ONLY,VALIDATION_INSUFFICIENT,validation_insufficient|reference_only,2,0,0,0,0,0,0,0,,,0,0,,,,,,,,,,128405150654.80463,200200.0,0.0002,ORDER_SIZE_ADV_USAGE_OK,40.0,target-scenario historical validation has insufficient history; 검증 부족,055550.KS: 장세 해석용 자산으로 기본 헤지 후보에서 제외,
one_to_one,068270.KS,REFERENCE_ONLY,VALIDATION_INSUFFICIENT,validation_insufficient|reference_only,2,0,0,0,0,0,0,0,,,0,0,,,,,,,,,,111929123781.6099,176500.0,0.0002,ORDER_SIZE_ADV_USAGE_OK,40.0,target-scenario historical validation has insufficient history; 검증 부족,068270.KS: 장세 해석용 자산으로 기본 헤지 후보에서 제외,
one_to_one,011200.KS,REFERENCE_ONLY,VALIDATION_INSUFFICIENT,validation_insufficient|return_drag_reference|reference_only,3,0,0,0,0,0,0,0,,,0,0,,,,,,,,,,31112268062.333332,215820.0,0.0007,ORDER_SIZE_ADV_USAGE_OK,40.0,target-scenario historical validation has insufficient history; 검증 부족,Sharpe soft warning; annual return drag soft warning; 011200.KS: 장세 해석용 자산으로 기본 헤지 후보에서 제외,
one_to_one,105560.KS,REFERENCE_ONLY,VALIDATION_INSUFFICIENT,validation_insufficient|return_drag_reference|reference_only,3,0,0,0,0,0,0,0,,,0,0,,,,,,,,,,184587524517.78204,164200.0,0.0001,ORDER_SIZE_ADV_USAGE_OK,40.0,target-scenario historical validation has insufficient history; 검증 부족,annual return drag soft warning; 105560.KS: 장세 해석용 자산으로 기본 헤지 후보에서 제외,
one_to_one,114800.KS,REFERENCE_ONLY,VALIDATION_INSUFFICIENT,validation_insufficient|return_drag_reference|reference_only,3,0,0,0,0,0,0,0,,,0,0,,,,,,,,,,593222364572.8167,229604.0,0.0,ORDER_SIZE_ADV_USAGE_OK,40.0,target-scenario historical validation has insufficient history; 검증 부족,annual return drag soft warning; 114800.KS: 리서치 전용 후보,
one_to_one,FXF,REFERENCE_ONLY,VALIDATION_INSUFFICIENT,validation_insufficient|return_drag_reference|reference_only,3,0,0,0,0,0,0,0,,,0,0,,,,,,,,,,12866218139.544548,170943.89,0.0013,ORDER_SIZE_ADV_USAGE_OK,40.0,target-scenario historical validation has insufficient history; 검증 부족,annual return drag soft warning,
one_to_one,PSQ,REFERENCE_ONLY,VALIDATION_INSUFFICIENT,validation_insufficient|return_drag_reference|reference_only,3,0,0,0,0,0,0,0,,,0,0,,,,,,,,,,414894808396.4836,193023.37,0.0,ORDER_SIZE_ADV_USAGE_OK,40.0,target-scenario historical validation has insufficient history; 검증 부족,annual return drag soft warning; PSQ: 리서치 전용 후보,
one_to_one,SH,REFERENCE_ONLY,VALIDATION_INSUFFICIENT,validation_insufficient|return_drag_reference|reference_only,3,0,0,0,0,0,0,0,,,0,0,,,,,,,,,,605942164175.5148,201117.66,0.0,ORDER_SIZE_ADV_USAGE_OK,40.0,target-scenario historical validation has insufficient history; 검증 부족,annual return drag soft warning; SH: 리서치 전용 후보,
one_to_one,XLP,REFERENCE_ONLY,VALIDATION_SKIPPED,validation_skipped|return_drag_reference|reference_only,3,0,0,0,0,0,0,0,,,0,0,,,,,,,,,,1684081186691.8875,125530.22,0.0,ORDER_SIZE_ADV_USAGE_OK,40.0,candidate was skipped by the bounded scenario backtest run; full validation required before formal use,annual return drag soft warning,
multi,132030.KS + SPLV,FAIL_GATE,VALIDATION_NOT_ELIGIBLE,fail_gate|validation_not_eligible,2,0,0,0,0,0,0,0,,,0,0,,,,,,,,,,5987808271.5,211790.56,0.0035,ORDER_SIZE_ADV_USAGE_OK,30.0,candidate was not eligible for the bounded scenario backtest run,,Stress 개선 미달; beta/corr 감소 미달; downside beta 증가 하드 게이트
multi,153130.KS + SPLV,FAIL_GATE,VALIDATION_NOT_ELIGIBLE,fail_gate|validation_not_eligible,2,0,0,0,0,0,0,0,,,0,0,,,,,,,,,,4021733917.271337,224115.56,0.0056,ORDER_SIZE_ADV_USAGE_OK,30.0,candidate was not eligible for the bounded scenario backtest run,,Stress 개선 미달; beta/corr 감소 미달; downside beta 증가 하드 게이트
multi,261240.KS + BTAL,FAIL_GATE,VALIDATION_NOT_ELIGIBLE,fail_gate|validation_not_eligible,2,0,0,0,0,0,0,0,,,0,0,,,,,,,,,,1934901095.5,215464.4,0.0111,ORDER_SIZE_ADV_USAGE_OK,30.0,candidate was not eligible for the bounded scenario backtest run,,Stress 개선 미달; beta/corr 감소 미달
multi,261240.KS + FXY,FAIL_GATE,VALIDATION_NOT_ELIGIBLE,fail_gate|validation_not_eligible,2,0,0,0,0,0,0,0,,,0,0,,,,,,,,,,1934901095.5,197546.81,0.0102,ORDER_SIZE_ADV_USAGE_OK,30.0,candidate was not eligible for the bounded scenario backtest run,,Stress 개선 미달; beta/corr 감소 미달
multi,261240.KS + SPLV,FAIL_GATE,VALIDATION_NOT_ELIGIBLE,fail_gate|validation_not_eligible,2,0,0,0,0,0,0,0,,,0,0,,,,,,,,,,1934901095.5,220605.56,0.0114,ORDER_SIZE_ADV_USAGE_OK,30.0,candidate was not eligible for the bounded scenario backtest run,,Stress 개선 미달; beta/corr 감소 미달; downside beta 증가 하드 게이트
multi,BTAL + 132030.KS,FAIL_GATE,VALIDATION_NOT_ELIGIBLE,fail_gate|validation_not_eligible,2,0,0,0,0,0,0,0,,,0,0,,,,,,,,,,5987808271.5,206649.4,0.0035,ORDER_SIZE_ADV_USAGE_OK,30.0,candidate was not eligible for the bounded scenario backtest run,,Stress 개선 미달
multi,BTAL + 153130.KS,FAIL_GATE,VALIDATION_NOT_ELIGIBLE,fail_gate|validation_not_eligible,2,0,0,0,0,0,0,0,,,0,0,,,,,,,,,,4021733917.271337,218974.4,0.0054,ORDER_SIZE_ADV_USAGE_OK,30.0,candidate was not eligible for the bounded scenario backtest run,,Stress 개선 미달
multi,FXY + 132030.KS,FAIL_GATE,VALIDATION_NOT_ELIGIBLE,fail_gate|validation_not_eligible,2,0,0,0,0,0,0,0,,,0,0,,,,,,,,,,5987808271.5,188731.81,0.0032,ORDER_SIZE_ADV_USAGE_OK,30.0,candidate was not eligible for the bounded scenario backtest run,,Stress 개선 미달; beta/corr 감소 미달; downside beta 증가 하드 게이트
multi,FXY + 153130.KS,FAIL_GATE,VALIDATION_NOT_ELIGIBLE,fail_gate|validation_not_eligible,2,0,0,0,0,0,0,0,,,0,0,,,,,,,,,,4021733917.271337,201056.81,0.005,ORDER_SIZE_ADV_USAGE_OK,30.0,candidate was not eligible for the bounded scenario backtest run,,Stress 개선 미달; beta/corr 감소 미달; downside beta 증가 하드 게이트
multi,FXY + BTAL,FAIL_GATE,VALIDATION_NOT_ELIGIBLE,fail_gate|validation_not_eligible,2,0,0,0,0,0,0,0,,,0,0,,,,,,,,,,16328772448.794792,193421.2,0.0012,ORDER_SIZE_ADV_USAGE_OK,30.0,candidate was not eligible for the bounded scenario backtest run,,Stress 개선 미달
