candidate_source,candidate_name,recommendation_status,backtest_gate_status,formal_gate_blockers,formal_gate_blocker_count,target_evaluated_count,target_improved_count,target_worsened_count,target_insufficient_history_count,target_lags_cash_count,target_bootstrap_robust_count,target_bootstrap_count,target_bootstrap_min_p_improve,target_bootstrap_avg_p_improve,target_cash_bootstrap_robust_count,target_cash_bootstrap_count,target_cash_bootstrap_min_p_improve,target_cash_bootstrap_avg_p_improve,target_avg_cash_net_stress_delta,target_min_cash_net_stress_delta,target_avg_cash_net_mdd_delta,target_min_cash_net_mdd_delta,target_avg_cash_net_cvar_delta,target_min_cash_net_cvar_delta,target_max_turnover,combo_min_adv_60,liquidity_order_notional_krw,liquidity_adv_usage_pct,liquidity_capacity_status,formal_readiness_score,backtest_reason,reference_reason,gate_fail_reasons
one_to_one,261240.KS,REFERENCE_ONLY,VALIDATION_THIN,validation_thin|bootstrap_not_robust|cash_bootstrap_not_robust|return_drag_reference|reference_only,5,1,1,0,0,0,0,1,0.95,0.95,0,1,0.97,0.97,0.010173,0.010173,0.008268,0.008268,0.001342,0.001342,0.090993,1950302285.583333,217140.0,0.0111,ORDER_SIZE_ADV_USAGE_OK,89.0,target-scenario backtest has only 1 evaluated stress case; 표본 부족,annual return drag soft warning,
multi,261240.KS + 017670.KS,REFERENCE_ONLY,VALIDATION_THIN,validation_thin|bootstrap_not_robust|cash_bootstrap_not_robust|return_drag_reference|reference_only,5,1,1,0,0,0,0,1,0.95,0.95,0,1,0.605,0.605,0.001086,0.001086,0.001013,0.001013,0.00033,0.00033,0.090993,1950302285.583333,216670.0,0.0111,ORDER_SIZE_ADV_USAGE_OK,82.1,target-scenario backtest has only 1 evaluated stress case; 표본 부족,annual return drag soft warning; 261240.KS: 핵심 취약점 직접 완화 후보 | 017670.KS: 장세 해석용 자산으로 기본 헤지 후보에서 제외,
one_to_one,000270.KS,REFERENCE_ONLY,VALIDATION_INSUFFICIENT,validation_insufficient|reference_only,2,0,0,0,0,0,0,0,,,0,0,,,,,,,,,,224307733543.8453,164300.0,0.0001,ORDER_SIZE_ADV_USAGE_OK,40.0,target-scenario historical validation has insufficient history; 검증 부족,000270.KS: 장세 해석용 자산으로 기본 헤지 후보에서 제외,
one_to_one,017670.KS,REFERENCE_ONLY,VALIDATION_INSUFFICIENT,validation_insufficient|reference_only,2,0,0,0,0,0,0,0,,,0,0,,,,,,,,,,130839665706.17374,216200.0,0.0002,ORDER_SIZE_ADV_USAGE_OK,40.0,target-scenario historical validation has insufficient history; 검증 부족,017670.KS: 장세 해석용 자산으로 기본 헤지 후보에서 제외,
one_to_one,055550.KS,REFERENCE_ONLY,VALIDATION_INSUFFICIENT,validation_insufficient|reference_only,2,0,0,0,0,0,0,0,,,0,0,,,,,,,,,,132577137687.57205,202400.0,0.0002,ORDER_SIZE_ADV_USAGE_OK,40.0,target-scenario historical validation has insufficient history; 검증 부족,055550.KS: 장세 해석용 자산으로 기본 헤지 후보에서 제외,
one_to_one,105560.KS,REFERENCE_ONLY,VALIDATION_INSUFFICIENT,validation_insufficient|reference_only,2,0,0,0,0,0,0,0,,,0,0,,,,,,,,,,193215012553.61093,154800.0,0.0001,ORDER_SIZE_ADV_USAGE_OK,40.0,target-scenario historical validation has insufficient history; 검증 부족,105560.KS: 장세 해석용 자산으로 기본 헤지 후보에서 제외,
multi,132030.KS + 017670.KS,REFERENCE_ONLY,VALIDATION_INSUFFICIENT,validation_insufficient|return_drag_reference|reference_only,3,0,0,0,0,0,0,0,,,0,0,,,,,,,,,,5701084328.5,206200.0,0.0036,ORDER_SIZE_ADV_USAGE_OK,40.0,target-scenario historical validation has insufficient history; 검증 부족,Sharpe soft warning; annual return drag soft warning; 132030.KS: 범용 방어 benchmark입니다 | 017670.KS: 장세 해석용 자산으로 기본 헤지 후보에서 제외,
multi,153130.KS + 017670.KS,REFERENCE_ONLY,VALIDATION_INSUFFICIENT,validation_insufficient|return_drag_reference|reference_only,3,0,0,0,0,0,0,0,,,0,0,,,,,,,,,,3888598162.863109,221395.0,0.0057,ORDER_SIZE_ADV_USAGE_OK,40.0,target-scenario historical validation has insufficient history; 검증 부족,Sharpe soft warning; annual return drag soft warning; 153130.KS: 범용 방어 benchmark입니다 | 017670.KS: 장세 해석용 자산으로 기본 헤지 후보에서 제외,
one_to_one,132030.KS,REFERENCE_ONLY,VALIDATION_INSUFFICIENT,validation_insufficient|return_drag_reference|reference_only,3,0,0,0,0,0,0,0,,,0,0,,,,,,,,,,5701084328.5,220725.0,0.0039,ORDER_SIZE_ADV_USAGE_OK,40.0,target-scenario historical validation has insufficient history; 검증 부족,Sharpe soft warning; annual return drag soft warning; 132030.KS: 범용 방어 benchmark입니다,
one_to_one,153130.KS,REFERENCE_ONLY,VALIDATION_INSUFFICIENT,validation_insufficient|return_drag_reference|reference_only,3,0,0,0,0,0,0,0,,,0,0,,,,,,,,,,3888598162.863109,226590.0,0.0058,ORDER_SIZE_ADV_USAGE_OK,40.0,target-scenario historical validation has insufficient history; 검증 부족,Sharpe soft warning; annual return drag soft warning; 153130.KS: 범용 방어 benchmark입니다,
