candidate_source,candidate_name,recommendation_status,backtest_gate_status,formal_gate_blockers,formal_gate_blocker_count,target_evaluated_count,target_improved_count,target_worsened_count,target_insufficient_history_count,target_lags_cash_count,target_bootstrap_robust_count,target_bootstrap_count,target_bootstrap_min_p_improve,target_bootstrap_avg_p_improve,target_cash_bootstrap_robust_count,target_cash_bootstrap_count,target_cash_bootstrap_min_p_improve,target_cash_bootstrap_avg_p_improve,target_avg_cash_net_stress_delta,target_min_cash_net_stress_delta,target_avg_cash_net_mdd_delta,target_min_cash_net_mdd_delta,target_avg_cash_net_cvar_delta,target_min_cash_net_cvar_delta,target_max_turnover,combo_min_adv_60,liquidity_order_notional_krw,liquidity_adv_usage_pct,liquidity_capacity_status,formal_readiness_score,backtest_reason,reference_reason,gate_fail_reasons
one_to_one,017670.KS,FAIL_GATE,VALIDATION_NOT_ELIGIBLE,fail_gate|validation_not_eligible|return_drag_reference,3,0,0,0,0,0,0,0,,,0,0,,,,,,,,,,130839665706.17374,108100.0,0.0001,ORDER_SIZE_ADV_USAGE_OK,30.0,candidate was not eligible for the bounded scenario backtest run,annual return drag soft warning,MDD 개선 미달; Stress 개선 미달; Sharpe 악화 하드 게이트; active adverse scenario 민감도 증가
one_to_one,055550.KS,FAIL_GATE,VALIDATION_NOT_ELIGIBLE,fail_gate|validation_not_eligible|return_drag_reference,3,0,0,0,0,0,0,0,,,0,0,,,,,,,,,,132577137687.57205,101200.0,0.0001,ORDER_SIZE_ADV_USAGE_OK,30.0,candidate was not eligible for the bounded scenario backtest run,annual return drag soft warning,MDD 개선 미달; Stress 개선 미달; Sharpe 악화 하드 게이트; active adverse scenario 민감도 증가
one_to_one,105560.KS,FAIL_GATE,VALIDATION_NOT_ELIGIBLE,fail_gate|validation_not_eligible|return_drag_reference,3,0,0,0,0,0,0,0,,,0,0,,,,,,,,,,193215012553.61093,154800.0,0.0001,ORDER_SIZE_ADV_USAGE_OK,30.0,candidate was not eligible for the bounded scenario backtest run,Sharpe soft warning; annual return drag soft warning,MDD 개선 미달; Stress 개선 미달; active adverse scenario 민감도 증가
one_to_one,114800.KS,FAIL_GATE,VALIDATION_NOT_ELIGIBLE,fail_gate|validation_not_eligible|return_drag_reference,3,0,0,0,0,0,0,0,,,0,0,,,,,,,,,,607349902480.3167,166260.0,0.0,ORDER_SIZE_ADV_USAGE_OK,30.0,candidate was not eligible for the bounded scenario backtest run,annual return drag soft warning,MDD 개선 미달; Sharpe 악화 하드 게이트; active adverse scenario 민감도 증가
one_to_one,132030.KS,FAIL_GATE,VALIDATION_NOT_ELIGIBLE,fail_gate|validation_not_eligible|return_drag_reference,3,0,0,0,0,0,0,0,,,0,0,,,,,,,,,,5701084328.5,147150.0,0.0026,ORDER_SIZE_ADV_USAGE_OK,30.0,candidate was not eligible for the bounded scenario backtest run,Sharpe soft warning; annual return drag soft warning,MDD 개선 미달; Stress 개선 미달; active adverse scenario 민감도 증가
one_to_one,153130.KS,FAIL_GATE,VALIDATION_NOT_ELIGIBLE,fail_gate|validation_not_eligible|return_drag_reference,3,0,0,0,0,0,0,0,,,0,0,,,,,,,,,,3888598162.863109,113295.0,0.0029,ORDER_SIZE_ADV_USAGE_OK,30.0,candidate was not eligible for the bounded scenario backtest run,Sharpe soft warning; annual return drag soft warning,MDD 개선 미달; Stress 개선 미달; active adverse scenario 민감도 증가
one_to_one,261240.KS,FAIL_GATE,VALIDATION_NOT_ELIGIBLE,fail_gate|validation_not_eligible|return_drag_reference,3,0,0,0,0,0,0,0,,,0,0,,,,,,,,,,1950302285.583333,155100.0,0.008,ORDER_SIZE_ADV_USAGE_OK,30.0,candidate was not eligible for the bounded scenario backtest run,Sharpe soft warning; annual return drag soft warning,MDD 개선 미달; active adverse scenario 민감도 증가
multi,114800.KS + 000810.KS,FAIL_GATE,VALIDATION_NOT_ELIGIBLE,fail_gate|validation_not_eligible|liquidity_below_formal,3,0,0,0,0,0,0,0,,,0,0,,,,,,,,,,,167099.0,,MISSING_ADV,10.0,candidate was not eligible for the bounded scenario backtest run,,FAIL: 예산 부족 - 000810.KS 1주 매수 불가
multi,114800.KS + 005930.KS,FAIL_GATE,VALIDATION_NOT_ELIGIBLE,fail_gate|validation_not_eligible|liquidity_below_formal,3,0,0,0,0,0,0,0,,,0,0,,,,,,,,,,,167099.0,,MISSING_ADV,10.0,candidate was not eligible for the bounded scenario backtest run,,FAIL: 예산 부족 - 005930.KS 1주 매수 불가
multi,114800.KS + 017670.KS,FAIL_GATE,VALIDATION_NOT_ELIGIBLE,fail_gate|validation_not_eligible|liquidity_below_formal,3,0,0,0,0,0,0,0,,,0,0,,,,,,,,,,,167099.0,,MISSING_ADV,10.0,candidate was not eligible for the bounded scenario backtest run,,FAIL: 예산 부족 - 017670.KS 1주 매수 불가
multi,114800.KS + 032830.KS,FAIL_GATE,VALIDATION_NOT_ELIGIBLE,fail_gate|validation_not_eligible|liquidity_below_formal,3,0,0,0,0,0,0,0,,,0,0,,,,,,,,,,,167099.0,,MISSING_ADV,10.0,candidate was not eligible for the bounded scenario backtest run,,FAIL: 예산 부족 - 032830.KS 1주 매수 불가
multi,114800.KS + 105560.KS,FAIL_GATE,VALIDATION_NOT_ELIGIBLE,fail_gate|validation_not_eligible|liquidity_below_formal,3,0,0,0,0,0,0,0,,,0,0,,,,,,,,,,,167099.0,,MISSING_ADV,10.0,candidate was not eligible for the bounded scenario backtest run,,FAIL: 예산 부족 - 105560.KS 1주 매수 불가
multi,132030.KS + 000810.KS,FAIL_GATE,VALIDATION_NOT_ELIGIBLE,fail_gate|validation_not_eligible|liquidity_below_formal,3,0,0,0,0,0,0,0,,,0,0,,,,,,,,,,,167099.0,,MISSING_ADV,10.0,candidate was not eligible for the bounded scenario backtest run,,FAIL: 예산 부족 - 000810.KS 1주 매수 불가
multi,132030.KS + 005930.KS,FAIL_GATE,VALIDATION_NOT_ELIGIBLE,fail_gate|validation_not_eligible|liquidity_below_formal,3,0,0,0,0,0,0,0,,,0,0,,,,,,,,,,,167099.0,,MISSING_ADV,10.0,candidate was not eligible for the bounded scenario backtest run,,FAIL: 예산 부족 - 005930.KS 1주 매수 불가
multi,132030.KS + 017670.KS,FAIL_GATE,VALIDATION_NOT_ELIGIBLE,fail_gate|validation_not_eligible|liquidity_below_formal,3,0,0,0,0,0,0,0,,,0,0,,,,,,,,,,,167099.0,,MISSING_ADV,10.0,candidate was not eligible for the bounded scenario backtest run,,FAIL: 예산 부족 - 017670.KS 1주 매수 불가
multi,132030.KS + 032830.KS,FAIL_GATE,VALIDATION_NOT_ELIGIBLE,fail_gate|validation_not_eligible|liquidity_below_formal,3,0,0,0,0,0,0,0,,,0,0,,,,,,,,,,,167099.0,,MISSING_ADV,10.0,candidate was not eligible for the bounded scenario backtest run,,FAIL: 예산 부족 - 032830.KS 1주 매수 불가
multi,132030.KS + 105560.KS,FAIL_GATE,VALIDATION_NOT_ELIGIBLE,fail_gate|validation_not_eligible|liquidity_below_formal,3,0,0,0,0,0,0,0,,,0,0,,,,,,,,,,,167099.0,,MISSING_ADV,10.0,candidate was not eligible for the bounded scenario backtest run,,FAIL: 예산 부족 - 105560.KS 1주 매수 불가
multi,153130.KS + 000810.KS,FAIL_GATE,VALIDATION_NOT_ELIGIBLE,fail_gate|validation_not_eligible|liquidity_below_formal,3,0,0,0,0,0,0,0,,,0,0,,,,,,,,,,,167099.0,,MISSING_ADV,10.0,candidate was not eligible for the bounded scenario backtest run,,FAIL: 예산 부족 - 153130.KS 1주 매수 불가
multi,153130.KS + 005930.KS,FAIL_GATE,VALIDATION_NOT_ELIGIBLE,fail_gate|validation_not_eligible|liquidity_below_formal,3,0,0,0,0,0,0,0,,,0,0,,,,,,,,,,,167099.0,,MISSING_ADV,10.0,candidate was not eligible for the bounded scenario backtest run,,FAIL: 예산 부족 - 153130.KS 1주 매수 불가
multi,153130.KS + 017670.KS,FAIL_GATE,VALIDATION_NOT_ELIGIBLE,fail_gate|validation_not_eligible|liquidity_below_formal,3,0,0,0,0,0,0,0,,,0,0,,,,,,,,,,,167099.0,,MISSING_ADV,10.0,candidate was not eligible for the bounded scenario backtest run,,FAIL: 예산 부족 - 153130.KS 1주 매수 불가
multi,153130.KS + 032830.KS,FAIL_GATE,VALIDATION_NOT_ELIGIBLE,fail_gate|validation_not_eligible|liquidity_below_formal,3,0,0,0,0,0,0,0,,,0,0,,,,,,,,,,,167099.0,,MISSING_ADV,10.0,candidate was not eligible for the bounded scenario backtest run,,FAIL: 예산 부족 - 153130.KS 1주 매수 불가
multi,153130.KS + 105560.KS,FAIL_GATE,VALIDATION_NOT_ELIGIBLE,fail_gate|validation_not_eligible|liquidity_below_formal,3,0,0,0,0,0,0,0,,,0,0,,,,,,,,,,,167099.0,,MISSING_ADV,10.0,candidate was not eligible for the bounded scenario backtest run,,FAIL: 예산 부족 - 153130.KS 1주 매수 불가
one_to_one,000810.KS,FAIL_GATE,VALIDATION_NOT_ELIGIBLE,fail_gate|validation_not_eligible|liquidity_below_formal,3,0,0,0,0,0,0,0,,,0,0,,,,,,,,,,,167099.0,,MISSING_ADV,10.0,candidate was not eligible for the bounded scenario backtest run,,FAIL: 예산 부족 - 000810.KS 1주 매수 불가
one_to_one,005930.KS,FAIL_GATE,VALIDATION_NOT_ELIGIBLE,fail_gate|validation_not_eligible|liquidity_below_formal,3,0,0,0,0,0,0,0,,,0,0,,,,,,,,,,,167099.0,,MISSING_ADV,10.0,candidate was not eligible for the bounded scenario backtest run,,FAIL: 예산 부족 - 005930.KS 1주 매수 불가
one_to_one,032830.KS,FAIL_GATE,VALIDATION_NOT_ELIGIBLE,fail_gate|validation_not_eligible|liquidity_below_formal,3,0,0,0,0,0,0,0,,,0,0,,,,,,,,,,,167099.0,,MISSING_ADV,10.0,candidate was not eligible for the bounded scenario backtest run,,FAIL: 예산 부족 - 032830.KS 1주 매수 불가
one_to_one,035420.KS,FAIL_GATE,VALIDATION_NOT_ELIGIBLE,fail_gate|validation_not_eligible|liquidity_below_formal,3,0,0,0,0,0,0,0,,,0,0,,,,,,,,,,,167099.0,,MISSING_ADV,10.0,candidate was not eligible for the bounded scenario backtest run,,FAIL: 예산 부족 - 035420.KS 1주 매수 불가
one_to_one,068270.KS,FAIL_GATE,VALIDATION_NOT_ELIGIBLE,fail_gate|validation_not_eligible|liquidity_below_formal,3,0,0,0,0,0,0,0,,,0,0,,,,,,,,,,,167099.0,,MISSING_ADV,10.0,candidate was not eligible for the bounded scenario backtest run,,FAIL: 예산 부족 - 068270.KS 1주 매수 불가
