candidate_source,candidate_name,recommendation_status,backtest_gate_status,formal_gate_blockers,formal_gate_blocker_count,target_evaluated_count,target_improved_count,target_worsened_count,target_insufficient_history_count,target_lags_cash_count,target_bootstrap_robust_count,target_bootstrap_count,target_bootstrap_min_p_improve,target_bootstrap_avg_p_improve,target_cash_bootstrap_robust_count,target_cash_bootstrap_count,target_cash_bootstrap_min_p_improve,target_cash_bootstrap_avg_p_improve,target_avg_cash_net_stress_delta,target_min_cash_net_stress_delta,target_avg_cash_net_mdd_delta,target_min_cash_net_mdd_delta,target_avg_cash_net_cvar_delta,target_min_cash_net_cvar_delta,target_max_turnover,combo_min_adv_60,liquidity_order_notional_krw,liquidity_adv_usage_pct,liquidity_capacity_status,formal_readiness_score,backtest_reason,reference_reason,gate_fail_reasons
one_to_one,GLD,REFERENCE_ONLY,VALIDATION_THIN,validation_thin|bootstrap_not_robust|cash_bootstrap_not_robust|return_drag_reference|reference_only,5,1,1,0,0,0,0,1,0.17,0.17,0,1,0.93,0.93,0.078126,0.078126,0.011565,0.011565,0.000614,0.000614,0.199999,5833496547834.815,,,OK_ADV_FLOOR_NO_ORDER_SIZE,73.4,target-scenario backtest has only 1 evaluated stress case; 표본 부족,annual return drag soft warning; GLD: 범용 방어 benchmark입니다,
one_to_one,GLD,REFERENCE_ONLY,VALIDATION_THIN,validation_thin|bootstrap_not_robust|cash_bootstrap_not_robust|reference_only,4,1,1,0,0,0,0,1,0.145,0.145,0,1,0.865,0.865,0.039051,0.039051,0.005679,0.005679,0.000344,0.000344,0.1,5833496547834.815,,,OK_ADV_FLOOR_NO_ORDER_SIZE,72.9,target-scenario backtest has only 1 evaluated stress case; 표본 부족,GLD: 범용 방어 benchmark입니다,
one_to_one,IAU,REFERENCE_ONLY,VALIDATION_THIN,validation_thin|bootstrap_not_robust|cash_bootstrap_not_robust|reference_only,4,1,1,0,0,0,0,1,0.125,0.125,0,1,0.91,0.91,0.03947,0.03947,0.005741,0.005741,0.000354,0.000354,0.1,1134612250656.9558,,,OK_ADV_FLOOR_NO_ORDER_SIZE,72.5,target-scenario backtest has only 1 evaluated stress case; 표본 부족,IAU: 범용 방어 benchmark입니다,
one_to_one,IAU,REFERENCE_ONLY,VALIDATION_THIN,validation_thin|bootstrap_not_robust|cash_bootstrap_not_robust|return_drag_reference|reference_only,5,1,1,0,0,0,0,1,0.115,0.115,0,1,0.885,0.885,0.078963,0.078963,0.01169,0.01169,0.000635,0.000635,0.199999,1134612250656.9558,,,OK_ADV_FLOOR_NO_ORDER_SIZE,72.3,target-scenario backtest has only 1 evaluated stress case; 표본 부족,annual return drag soft warning; IAU: 범용 방어 benchmark입니다,
one_to_one,261240.KS,REFERENCE_ONLY,VALIDATION_THIN,validation_thin|bootstrap_not_robust|liquidity_below_formal|reference_only,4,1,1,0,0,0,0,1,0.955,0.955,1,1,0.995,0.995,0.023889,0.023889,0.01932,0.01932,0.002591,0.002591,0.199999,1934901095.5,,,BELOW_FORMAL_ADV_FLOOR_NO_ORDER_SIZE,69.1,target-scenario backtest has only 1 evaluated stress case; 표본 부족,target-scenario backtest has only 1 evaluated stress case; 표본 부족,
multi,261240.KS + FXF,REFERENCE_ONLY,VALIDATION_THIN,validation_thin|bootstrap_not_robust|cash_bootstrap_not_robust|liquidity_below_formal|reference_only,5,1,1,0,0,0,0,1,0.94,0.94,0,1,0.95,0.95,0.018612,0.018612,0.014043,0.014043,0.001927,0.001927,0.199999,1934901095.5,,,BELOW_FORMAL_ADV_FLOOR_NO_ORDER_SIZE,68.8,target-scenario backtest has only 1 evaluated stress case; 표본 부족,target-scenario backtest has only 1 evaluated stress case; 표본 부족,
multi,261240.KS + FXF,REFERENCE_ONLY,VALIDATION_THIN,validation_thin|bootstrap_not_robust|cash_bootstrap_not_robust|liquidity_below_formal|reference_only,5,1,1,0,0,0,0,1,0.94,0.94,0,1,0.94,0.94,0.018515,0.018515,0.011441,0.011441,0.001396,0.001396,0.299999,1934901095.5,,,BELOW_FORMAL_ADV_FLOOR_NO_ORDER_SIZE,68.8,target-scenario backtest has only 1 evaluated stress case; 표본 부족,target-scenario backtest has only 1 evaluated stress case; 표본 부족,
multi,261240.KS + FXE,REFERENCE_ONLY,VALIDATION_THIN,validation_thin|bootstrap_not_robust|cash_bootstrap_not_robust|liquidity_below_formal|reference_only,5,1,1,0,0,0,0,1,0.94,0.94,0,1,0.91,0.91,0.016744,0.016744,0.01353,0.01353,0.001915,0.001915,0.199999,1934901095.5,,,BELOW_FORMAL_ADV_FLOOR_NO_ORDER_SIZE,68.2,target-scenario backtest has only 1 evaluated stress case; 표본 부족,target-scenario backtest has only 1 evaluated stress case; 표본 부족,
multi,261240.KS + FXY,REFERENCE_ONLY,VALIDATION_THIN,validation_thin|bootstrap_not_robust|cash_bootstrap_not_robust|liquidity_below_formal|reference_only,5,1,1,0,0,0,0,1,0.9,0.9,0,1,0.885,0.885,0.015116,0.015116,0.011593,0.011593,0.001972,0.001972,0.199999,1934901095.5,,,BELOW_FORMAL_ADV_FLOOR_NO_ORDER_SIZE,67.7,target-scenario backtest has only 1 evaluated stress case; 표본 부족,target-scenario backtest has only 1 evaluated stress case; 표본 부족,
multi,261240.KS + FXE,REFERENCE_ONLY,VALIDATION_THIN,validation_thin|bootstrap_not_robust|cash_bootstrap_not_robust|liquidity_below_formal|reference_only,5,1,1,0,0,0,0,1,0.91,0.91,0,1,0.79,0.79,0.012911,0.012911,0.010085,0.010085,0.0013,0.0013,0.299999,1934901095.5,,,BELOW_FORMAL_ADV_FLOOR_NO_ORDER_SIZE,65.8,target-scenario backtest has only 1 evaluated stress case; 표본 부족,target-scenario backtest has only 1 evaluated stress case; 표본 부족,
