ticker,asset_class,hedge_bucket,candidate_role,candidate_role_reason_ko,risk_bucket_match,hes_score,component_corr_improve,component_cvar_improve,component_stress_defense,component_sharpe_quality,component_liquidity_penalty,corr_sp500_60d_krw,cvar_95_1y_krw,avg_stress_ret_krw,sharpe_1y_krw_proxy,adv_60
SH,inverse_etf,inverse_etf,research_only,리서치 전용 후보,metadata_direct_match,0.427981,0.930722,0.735127,0.667177,0.187221,1.0,-0.192165,-0.022208,0.001278,-0.714819,605942164175.5148
PSQ,inverse_etf,inverse_etf,research_only,리서치 전용 후보,metadata_direct_match,0.427462,1.0,0.680829,0.659138,0.169514,1.0,-0.278081,-0.026728,0.00114,-1.063986,414894808396.4836
BTC-USD,crypto,crypto,conditional_candidate,위험자산 성격이 강해 all 모드에서만 비교합니다,metadata_direct_match,0.394017,0.457671,0.314566,0.875974,0.17175,0.0,0.394495,-0.057217,0.004874,-1.019899,3.8844455092468813e+18
261240.KS,kr_etf,kr_etf,hedge_candidate,핵심 취약점 직접 완화 후보,usd_strength_krw_weakness,0.382551,0.608903,0.81719,0.66888,0.281677,1.0,0.206942,-0.015377,0.001308,1.147799,1934901095.5
153130.KS,kr_etf,kr_etf,benchmark_candidate,범용 방어 benchmark입니다,metadata_direct_match,0.374464,0.619022,1.0,0.598541,0.0,1.0,0.194394,-0.000159,9.6e-05,-4.406719,4021733917.271337
BTAL,equity_etf,equity_etf,hedge_candidate,핵심 취약점 직접 완화 후보,metadata_direct_match,0.366677,0.861773,0.61072,0.626614,0.154874,1.0,-0.106657,-0.032564,0.00058,-1.35268,17558403987.69938
132030.KS,kr_etf,kr_etf,benchmark_candidate,범용 방어 benchmark입니다,metadata_direct_match,0.326804,0.793787,0.43617,0.646228,0.267128,1.0,-0.022343,-0.047094,0.000918,0.860907,5987808271.5
011200.KS,kr_stock,kr_stock,diagnostic_only,장세 해석용 자산으로 기본 헤지 후보에서 제외,metadata_direct_match,0.323196,0.925921,0.401967,0.550121,0.207997,1.0,-0.186211,-0.049941,-0.000737,-0.305132,31112268062.333332
068270.KS,kr_stock,kr_stock,diagnostic_only,장세 해석용 자산으로 기본 헤지 후보에서 제외,metadata_direct_match,0.315648,0.944845,0.401802,0.46155,0.244508,1.0,-0.20968,-0.049955,-0.002263,0.414855,111929123781.6099
BIL,bond_etf,bond,benchmark_candidate,범용 방어 benchmark입니다,usd_strength_krw_weakness,0.31274,0.370215,0.839601,0.585413,0.288024,1.0,0.502955,-0.013511,-0.00013,1.272952,1594057706356.1475
