candidate_ticker,candidate_bucket,risk_bucket_match,input_aware_score,status,message,hedge_weight_pct,hedge_budget_pct,hedge_budget_krw,hedge_invested_krw,hedge_cash_left_krw,hedge_share_counts,combo_size,allocation_method,allocation_weights,allocation_objective_reason,base_vol_annual,proposed_vol_annual,base_mdd,proposed_mdd,base_cvar_95,proposed_cvar_95,base_annual_return_krw,proposed_annual_return_krw,base_sharpe_krw_proxy,proposed_sharpe_krw_proxy,base_stress_avg_ret_krw,proposed_stress_avg_ret_krw,base_corr_sp500_krw,proposed_corr_sp500_krw,base_beta_sp500_krw,proposed_beta_sp500_krw,base_downside_beta_sp500_krw,proposed_downside_beta_sp500_krw,base_corr_kospi200_krw,proposed_corr_kospi200_krw,vol_improve_pct,mdd_improve_pct,cvar_improve_pct,stress_improve,corr_improve,beta_improve,exposure_improve,sharpe_improve,sharpe_improve_pct,annual_return_improve,annual_return_improve_pct,downside_beta_improve,kospi_corr_improve,combo_min_adv_60,score_component_cvar,score_component_mdd,score_component_stress,score_component_exposure,score_component_sharpe,score_component_liquidity,score_component_scenario,score_component_concentration,recommendation_status,gate_fail_reasons,reference_reason,dq_warning_reasons,dq_blocking_reasons,dq_penalty,concentration_warning,recommendation_confidence_score,base_scenario_vulnerability,proposed_scenario_vulnerability,base_gate_vulnerability,proposed_gate_vulnerability,scenario_vulnerability_delta,gate_vulnerability_delta,scenario_score_component,scenario_vulnerability_reduction,adverse_scenario_penalty,factor_concentration_penalty,direct_vulnerability_match_score,portfolio_vulnerability_tags,candidate_vulnerability_tags,generic_safe_asset_flag,cash_like_flag,benchmark_role_default,max_grade_without_direct_match,recommended_role,candidate_role,candidate_role_reason_ko,scenario_reason_ko,final_score,recommendation_reason,weights_snapshot
261240.KS,kr_etf,usd_strength_krw_weakness,0.796397,FAIL,FAIL: Stress 개선 미달; beta/corr 감소 미달,9.296263,9.296263,230332.0,219590.0,10742.0,"{""261240.KS"": 14}",1,exact_single_asset,"{""261240.KS"": 9.29626252427244}",single candidate allocation,0.241037,0.219492,-0.46851,-0.425526,-0.03285,-0.029118,0.281841,0.333892,1.044824,1.384527,-0.004145,-0.004498,0.140141,0.147537,0.38676,0.430111,0.43176,0.477329,0.870224,0.864099,8.938686,9.174614,11.361297,-0.000354,-0.007397,-0.04335,-0.007397,0.339703,32.512988,0.052051,18.468101,-0.045569,0.006125,1934901095.5,0.447983,0.796298,0.551762,0.246611,1.0,0.0,0.52364,1.0,FAIL_GATE,Stress 개선 미달; beta/corr 감소 미달,,DQ WARN non-blocking - 261240.KS: calendar_coverage_warn,,0.1,집중위험 완화 중 - 005930.KS 39.84% -> 36.45% (기준 20.0% 초과); 집중위험 완화 중 - 035420.KS 20.62% -> 18.87% (기준 20.0% 초과); 집중위험 완화 중 - NVDA 26.54% -> 24.29% (기준 20.0% 초과),0.9,0.532551,0.508911,0.587345,0.57067,-0.02364,-0.016675,0.52364,0.02364,0.0,0.0,1.0,growth_beta|korea_domestic_credit|korea_equity|krw_exposure|usdkrw_fx_korea|semiconductor_ai_cycle,korea_domestic_credit|krw_weakness|usd_hedge|usdkrw_fx_korea,N,N,N,C,scenario_vulnerability_reducer,hedge_candidate,261240.KS: 핵심 취약점 직접 완화 후보,"달러강세/원화약세장, 중국·무역분절 충격장, 장기금리 부담장 기준 취약도를 낮추는 후보입니다.",0.739371,"핵심 취약점 직접 완화, Sharpe 개선, factor 집중 완화 / 달러강세/원화약세장, 중국·무역분절 충격장, 장기금리 부담장 기준 취약도를 낮추는 후보입니다.","{""NVDA"": 24.2866, ""005930.KS"": 36.4473, ""035420.KS"": 18.8699, ""035720.KS"": 11.8906, ""261240.KS"": 8.1089, ""__CASH__"": 0.3967}"
FXY,fx_etf,usd_strength_krw_weakness,0.789873,PASS,PASS,9.296263,9.296263,230332.0,175503.61061,54828.38939,"{""FXY"": 2}",1,exact_single_asset,"{""FXY"": 9.29626252427244}",single candidate allocation,0.241037,0.219485,-0.46851,-0.441868,-0.03285,-0.02983,0.281841,0.262765,1.044824,1.060504,-0.004145,-0.003782,0.140141,0.15421,0.38676,0.36003,0.43176,0.399972,0.870224,0.867436,8.941446,5.686442,9.194509,0.000363,-0.01407,0.026731,0.026731,0.01568,1.500753,-0.019077,-6.76859,0.031788,0.002788,16328772448.794792,0.322059,0.481167,0.946593,0.570449,0.183049,0.00276,0.534578,1.0,REFERENCE_ONLY,,annual return drag soft warning,DQ WARN non-blocking - FXY: fx_missing_warn,,0.1,집중위험 완화 중 - 005930.KS 39.84% -> 36.45% (기준 20.0% 초과); 집중위험 완화 중 - 035420.KS 20.62% -> 18.87% (기준 20.0% 초과); 집중위험 완화 중 - NVDA 26.54% -> 24.29% (기준 20.0% 초과),0.9,0.532551,0.497972,0.587345,0.548493,-0.034578,-0.038852,0.534578,0.034578,0.0,0.0,1.0,growth_beta|korea_domestic_credit|korea_equity|krw_exposure|usdkrw_fx_korea|semiconductor_ai_cycle,fx_hedge|usdkrw_fx_korea|yen,N,N,N,C,scenario_vulnerability_reducer,hedge_candidate,FXY: 핵심 취약점 직접 완화 후보,"달러강세/원화약세장, 중국·무역분절 충격장, 장기금리 부담장 기준 취약도를 낮추는 후보입니다.",0.744984,"핵심 취약점 직접 완화, factor 집중 완화, Stress 방어 / 달러강세/원화약세장, 중국·무역분절 충격장, 장기금리 부담장 기준 취약도를 낮추는 후보입니다.","{""NVDA"": 24.2866, ""005930.KS"": 36.4473, ""035420.KS"": 18.8699, ""035720.KS"": 11.8906, ""FXY"": 6.4809, ""__CASH__"": 2.0247}"
BTAL,equity_etf,metadata_direct_match,0.780977,FAIL,FAIL: Stress 개선 미달,9.296263,9.296263,230332.0,228950.361608,1381.638392,"{""BTAL"": 13}",1,exact_single_asset,"{""BTAL"": 9.29626252427244}",single candidate allocation,0.241037,0.205618,-0.46851,-0.42009,-0.03285,-0.027244,0.281841,0.303797,1.044824,1.331585,-0.004145,-0.005055,0.140141,0.136687,0.38676,0.376752,0.43176,0.467256,0.870224,0.862259,14.694642,10.334818,17.065181,-0.00091,0.003454,0.010009,0.010009,0.286761,27.445861,0.021956,7.790163,-0.035496,0.007965,17558403987.69938,0.779467,0.901114,0.245363,0.411774,0.866517,0.002996,0.528939,1.0,FAIL_GATE,Stress 개선 미달,,DQ WARN non-blocking - BTAL: extreme_return_outlier_warn,,0.1,집중위험 완화 중 - 005930.KS 39.84% -> 36.45% (기준 20.0% 초과); 집중위험 완화 중 - 035420.KS 20.62% -> 18.87% (기준 20.0% 초과); 집중위험 완화 중 - NVDA 26.54% -> 24.29% (기준 20.0% 초과),0.9,0.532551,0.503612,0.587345,0.546363,-0.028939,-0.040981,0.528939,0.028939,0.0,0.0,1.0,growth_beta|korea_domestic_credit|korea_equity|krw_exposure|usdkrw_fx_korea|semiconductor_ai_cycle,growth_beta_offset|low_beta|market_neutral|rate_shock_growth_duration|recession_liquidity_stress|semiconductor_ai_cycle,N,N,N,C,scenario_vulnerability_reducer,hedge_candidate,BTAL: 핵심 취약점 직접 완화 후보,"달러강세/원화약세장, 중국·무역분절 충격장, 장기금리 부담장 기준 취약도를 낮추는 후보입니다.",0.699206,"핵심 취약점 직접 완화, factor 집중 완화, MDD 개선 / 달러강세/원화약세장, 중국·무역분절 충격장, 장기금리 부담장 기준 취약도를 낮추는 후보입니다.","{""NVDA"": 24.2866, ""005930.KS"": 36.4473, ""035420.KS"": 18.8699, ""035720.KS"": 11.8906, ""BTAL"": 8.4545, ""__CASH__"": 0.051}"
FXF,fx_etf,metadata_direct_match,0.773622,PASS,PASS,9.296263,9.296263,230332.0,170943.889392,59388.110608,"{""FXF"": 1}",1,exact_single_asset,"{""FXF"": 9.29626252427244}",single candidate allocation,0.241037,0.220357,-0.46851,-0.435363,-0.03285,-0.030021,0.281841,0.263202,1.044824,1.058291,-0.004145,-0.00386,0.140141,0.153847,0.38676,0.367184,0.43176,0.407151,0.870224,0.868242,8.5798,7.074886,8.611569,0.000284,-0.013706,0.019577,0.019577,0.013467,1.288937,-0.01864,-6.61362,0.024609,0.001981,12866218139.544548,0.288181,0.606603,0.903339,0.502567,0.177469,0.002096,0.532237,1.0,REFERENCE_ONLY,,annual return drag soft warning,DQ WARN non-blocking - FXF: fx_missing_warn,,0.1,집중위험 완화 중 - 005930.KS 39.84% -> 36.45% (기준 20.0% 초과); 집중위험 완화 중 - 035420.KS 20.62% -> 18.87% (기준 20.0% 초과); 집중위험 완화 중 - NVDA 26.54% -> 24.29% (기준 20.0% 초과),0.9,0.532551,0.500313,0.587345,0.549437,-0.032237,-0.037908,0.532237,0.032237,0.0,0.0,1.0,growth_beta|korea_domestic_credit|korea_equity|krw_exposure|usdkrw_fx_korea|semiconductor_ai_cycle,fx_hedge|swiss_franc|usdkrw_fx_korea,N,N,N,C,scenario_vulnerability_reducer,hedge_candidate,FXF: 핵심 취약점 직접 완화 후보,"달러강세/원화약세장, 중국·무역분절 충격장, 장기금리 부담장 기준 취약도를 낮추는 후보입니다.",0.742934,"핵심 취약점 직접 완화, factor 집중 완화, Stress 방어 / 달러강세/원화약세장, 중국·무역분절 충격장, 장기금리 부담장 기준 취약도를 낮추는 후보입니다.","{""NVDA"": 24.2866, ""005930.KS"": 36.4473, ""035420.KS"": 18.8699, ""035720.KS"": 11.8906, ""FXF"": 6.3125, ""__CASH__"": 2.193}"
FXE,fx_etf,usd_strength_krw_weakness,0.764307,PASS,PASS,9.296263,9.296263,230332.0,163951.287228,66380.712772,"{""FXE"": 1}",1,exact_single_asset,"{""FXE"": 9.29626252427244}",single candidate allocation,0.241037,0.22068,-0.46851,-0.438994,-0.03285,-0.030088,0.281841,0.260783,1.044824,1.045783,-0.004145,-0.00384,0.140141,0.153346,0.38676,0.371428,0.43176,0.411048,0.870224,0.867579,8.445688,6.299897,8.407049,0.000305,-0.013205,0.015332,0.015332,0.000959,0.091749,-0.021058,-7.471646,0.020712,0.002645,36392128387.57818,0.276295,0.536588,0.91476,0.46229,0.145932,0.006608,0.53011,1.0,REFERENCE_ONLY,,annual return drag soft warning,DQ WARN non-blocking - FXE: fx_missing_warn,,0.1,집중위험 완화 중 - 005930.KS 39.84% -> 36.45% (기준 20.0% 초과); 집중위험 완화 중 - 035420.KS 20.62% -> 18.87% (기준 20.0% 초과); 집중위험 완화 중 - NVDA 26.54% -> 24.29% (기준 20.0% 초과),0.9,0.532551,0.502441,0.587345,0.550892,-0.03011,-0.036453,0.53011,0.03011,0.0,0.0,1.0,growth_beta|korea_domestic_credit|korea_equity|krw_exposure|usdkrw_fx_korea|semiconductor_ai_cycle,euro|fx_hedge|usdkrw_fx_korea,N,N,N,C,scenario_vulnerability_reducer,hedge_candidate,FXE: 핵심 취약점 직접 완화 후보,"달러강세/원화약세장, 중국·무역분절 충격장, 장기금리 부담장 기준 취약도를 낮추는 후보입니다.",0.73751,"핵심 취약점 직접 완화, factor 집중 완화, Stress 방어 / 달러강세/원화약세장, 중국·무역분절 충격장, 장기금리 부담장 기준 취약도를 낮추는 후보입니다.","{""NVDA"": 24.2866, ""005930.KS"": 36.4473, ""035420.KS"": 18.8699, ""035720.KS"": 11.8906, ""FXE"": 6.0543, ""__CASH__"": 2.4513}"
153130.KS,kr_etf,metadata_direct_match,0.743387,FAIL,FAIL: Stress 개선 미달; beta/corr 감소 미달; downside beta 증가 하드 게이트,9.296263,9.296263,230332.0,226610.0,3722.0,"{""153130.KS"": 2}",1,exact_single_asset,"{""153130.KS"": 9.29626252427244}",single candidate allocation,0.241037,0.208311,-0.46851,-0.434516,-0.03285,-0.027683,0.281841,0.293112,1.044824,1.263073,-0.004145,-0.005217,0.140141,0.140221,0.38676,0.393622,0.43176,0.486495,0.870224,0.870243,13.57733,7.255756,15.728494,-0.001072,-8.1e-05,-0.006862,-8.1e-05,0.218249,20.888618,0.01127,3.998821,-0.054736,-1.9e-05,4021733917.271337,0.701785,0.622943,0.156105,0.316035,0.693781,0.0004,0.517097,1.0,FAIL_GATE,Stress 개선 미달; beta/corr 감소 미달; downside beta 증가 하드 게이트,,DQ WARN non-blocking - 153130.KS: calendar_coverage_warn,,0.1,집중위험 완화 중 - 005930.KS 39.84% -> 36.45% (기준 20.0% 초과); 집중위험 완화 중 - 035420.KS 20.62% -> 18.87% (기준 20.0% 초과); 집중위험 완화 중 - NVDA 26.54% -> 24.29% (기준 20.0% 초과),0.9,0.532551,0.515454,0.587345,0.573448,-0.017097,-0.013897,0.517097,0.017097,0.0,0.0,1.0,growth_beta|korea_domestic_credit|korea_equity|krw_exposure|usdkrw_fx_korea|semiconductor_ai_cycle,cash_like|korea_domestic_credit|kr_short_bond|rate_shock_growth_duration|usdkrw_fx_korea,Y,Y,Y,D,scenario_vulnerability_reducer,benchmark_candidate,153130.KS: 범용 방어 benchmark입니다,"달러강세/원화약세장, 중국·무역분절 충격장, 장기금리 부담장 기준 취약도를 낮추는 후보입니다.",0.645916,"핵심 취약점 직접 완화, factor 집중 완화, CVaR 개선 / 달러강세/원화약세장, 중국·무역분절 충격장, 장기금리 부담장 기준 취약도를 낮추는 후보입니다.","{""NVDA"": 24.2866, ""005930.KS"": 36.4473, ""035420.KS"": 18.8699, ""035720.KS"": 11.8906, ""153130.KS"": 8.3681, ""__CASH__"": 0.1374}"
132030.KS,kr_etf,metadata_direct_match,0.736332,FAIL,FAIL: Stress 개선 미달; downside beta 증가 하드 게이트,9.296263,9.296263,230332.0,227205.0,3127.0,"{""132030.KS"": 9}",1,exact_single_asset,"{""132030.KS"": 9.29626252427244}",single candidate allocation,0.241037,0.210598,-0.46851,-0.440343,-0.03285,-0.027925,0.281841,0.303078,1.044824,1.29668,-0.004145,-0.004393,0.140141,0.133851,0.38676,0.386054,0.43176,0.483865,0.870224,0.875891,12.628592,6.011913,14.992391,-0.000248,0.00629,0.000707,0.00629,0.251856,24.105113,0.021236,7.534818,-0.052105,-0.005667,5987808271.5,0.659006,0.510571,0.610128,0.376487,0.778513,0.000777,0.521668,1.0,FAIL_GATE,Stress 개선 미달; downside beta 증가 하드 게이트,,DQ WARN non-blocking - 132030.KS: calendar_coverage_warn,,0.1,집중위험 완화 중 - 005930.KS 39.84% -> 36.45% (기준 20.0% 초과); 집중위험 완화 중 - 035420.KS 20.62% -> 18.87% (기준 20.0% 초과); 집중위험 완화 중 - NVDA 26.54% -> 24.29% (기준 20.0% 초과),0.9,0.532551,0.510882,0.587345,0.580788,-0.021668,-0.006557,0.521668,0.021668,0.0,0.0,1.0,growth_beta|korea_domestic_credit|korea_equity|krw_exposure|usdkrw_fx_korea|semiconductor_ai_cycle,geopolitical_supply_chain|gold|inflation_energy_shock|korea_domestic_credit|kr_listed|usdkrw_fx_korea,Y,N,Y,D,scenario_vulnerability_reducer,benchmark_candidate,132030.KS: 범용 방어 benchmark입니다,"달러강세/원화약세장, 중국·무역분절 충격장, 장기금리 부담장 기준 취약도를 낮추는 후보입니다.",0.73062,"핵심 취약점 직접 완화, factor 집중 완화, Sharpe 개선 / 달러강세/원화약세장, 중국·무역분절 충격장, 장기금리 부담장 기준 취약도를 낮추는 후보입니다.","{""NVDA"": 24.2866, ""005930.KS"": 36.4473, ""035420.KS"": 18.8699, ""035720.KS"": 11.8906, ""132030.KS"": 8.3901, ""__CASH__"": 0.1155}"
SPLV,equity_etf,metadata_direct_match,0.696275,FAIL,FAIL: Stress 개선 미달; beta/corr 감소 미달; downside beta 증가 하드 게이트,9.296263,9.296263,230332.0,221621.124624,8710.875376,"{""SPLV"": 2}",1,exact_single_asset,"{""SPLV"": 9.29626252427244}",single candidate allocation,0.241037,0.211894,-0.46851,-0.437084,-0.03285,-0.028308,0.281841,0.300425,1.044824,1.27623,-0.004145,-0.00464,0.140141,0.160357,0.38676,0.450406,0.43176,0.550181,0.870224,0.865969,12.090796,6.707609,13.825436,-0.000496,-0.020217,-0.063645,-0.020217,0.231406,22.147881,0.018584,6.593764,-0.118421,0.004254,287491210111.256,0.591188,0.573422,0.473699,0.124965,0.726953,0.05476,0.514733,1.0,FAIL_GATE,Stress 개선 미달; beta/corr 감소 미달; downside beta 증가 하드 게이트,,,,0.0,집중위험 완화 중 - 005930.KS 39.84% -> 36.45% (기준 20.0% 초과); 집중위험 완화 중 - 035420.KS 20.62% -> 18.87% (기준 20.0% 초과); 집중위험 완화 중 - NVDA 26.54% -> 24.29% (기준 20.0% 초과),1.0,0.532551,0.517818,0.587345,0.554609,-0.014733,-0.032735,0.514733,0.014733,0.0,0.0,1.0,growth_beta|korea_domestic_credit|korea_equity|krw_exposure|usdkrw_fx_korea|semiconductor_ai_cycle,defensive_equity|growth_beta_offset|low_volatility|rate_shock_growth_duration|recession_liquidity_stress|semiconductor_ai_cycle,N,N,N,C,scenario_vulnerability_reducer,hedge_candidate,SPLV: 핵심 취약점 직접 완화 후보,"달러강세/원화약세장, 중국·무역분절 충격장, 장기금리 부담장 기준 취약도를 낮추는 후보입니다.",0.735327,"핵심 취약점 직접 완화, factor 집중 완화, DQ confidence / 달러강세/원화약세장, 중국·무역분절 충격장, 장기금리 부담장 기준 취약도를 낮추는 후보입니다.","{""NVDA"": 24.2866, ""005930.KS"": 36.4473, ""035420.KS"": 18.8699, ""035720.KS"": 11.8906, ""SPLV"": 8.1839, ""__CASH__"": 0.3217}"
USMV,equity_etf,usd_strength_krw_weakness,0.693301,FAIL,FAIL: Stress 개선 미달; beta/corr 감소 미달; downside beta 증가 하드 게이트,9.296263,9.296263,230332.0,147900.436754,82431.563246,"{""USMV"": 1}",1,exact_single_asset,"{""USMV"": 9.29626252427244}",single candidate allocation,0.241037,0.210344,-0.46851,-0.439116,-0.03285,-0.028052,0.281841,0.302818,1.044824,1.297009,-0.004145,-0.005409,0.140141,0.156246,0.38676,0.430735,0.43176,0.525413,0.870224,0.866093,12.733652,6.273805,14.60687,-0.001265,-0.016106,-0.043975,-0.016106,0.252185,24.136558,0.020977,7.442832,-0.093653,0.00413,334602387752.4615,0.636601,0.534231,0.050049,0.163971,0.779341,0.063795,0.509694,1.0,FAIL_GATE,Stress 개선 미달; beta/corr 감소 미달; downside beta 증가 하드 게이트,,,,0.0,집중위험 완화 중 - 005930.KS 39.84% -> 36.45% (기준 20.0% 초과); 집중위험 완화 중 - 035420.KS 20.62% -> 18.87% (기준 20.0% 초과); 집중위험 완화 중 - NVDA 26.54% -> 24.29% (기준 20.0% 초과),1.0,0.532551,0.522857,0.587345,0.565066,-0.009694,-0.022279,0.509694,0.009694,0.0,0.0,1.0,growth_beta|korea_domestic_credit|korea_equity|krw_exposure|usdkrw_fx_korea|semiconductor_ai_cycle,defensive_equity|growth_beta_offset|low_volatility|rate_shock_growth_duration|recession_liquidity_stress|semiconductor_ai_cycle,N,N,N,C,scenario_vulnerability_reducer,hedge_candidate,USMV: 핵심 취약점 직접 완화 후보,"달러강세/원화약세장, 중국·무역분절 충격장, 장기금리 부담장 기준 취약도를 낮추는 후보입니다.",0.652878,"핵심 취약점 직접 완화, factor 집중 완화, DQ confidence / 달러강세/원화약세장, 중국·무역분절 충격장, 장기금리 부담장 기준 취약도를 낮추는 후보입니다.","{""NVDA"": 24.2866, ""005930.KS"": 36.4473, ""035420.KS"": 18.8699, ""035720.KS"": 11.8906, ""USMV"": 5.4616, ""__CASH__"": 3.044}"
068270.KS,kr_stock,metadata_direct_match,0.692843,PASS,PASS,9.296263,9.296263,230332.0,176500.0,53832.0,"{""068270.KS"": 1}",1,exact_single_asset,"{""068270.KS"": 9.29626252427244}",single candidate allocation,0.241037,0.229637,-0.46851,-0.442241,-0.03285,-0.031624,0.281841,0.281923,1.044824,1.097051,-0.004145,-0.003902,0.140141,0.122801,0.38676,0.351159,0.43176,0.39494,0.870224,0.880616,4.729732,5.606917,3.733929,0.000242,0.017339,0.035601,0.035601,0.052227,4.998686,8.2e-05,0.029066,0.036819,-0.010393,111929123781.6099,0.004714,0.473982,0.880279,0.654622,0.275195,0.021093,0.509128,0.849654,REFERENCE_ONLY,,068270.KS: 장세 해석용 자산으로 기본 헤지 후보에서 제외,DQ WARN non-blocking - 068270.KS: calendar_coverage_warn,,0.1,집중위험 완화 중 - 005930.KS 39.84% -> 36.45% (기준 20.0% 초과); 집중위험 완화 중 - 035420.KS 20.62% -> 18.87% (기준 20.0% 초과); 집중위험 완화 중 - NVDA 26.54% -> 24.29% (기준 20.0% 초과),0.9,0.532551,0.523422,0.587345,0.583014,-0.009128,-0.00433,0.509128,0.009128,0.0,0.002699,1.0,growth_beta|korea_domestic_credit|korea_equity|krw_exposure|usdkrw_fx_korea|semiconductor_ai_cycle,korea_domestic_credit|korea_equity|quality_growth|rate_shock_growth_duration|usdkrw_fx_korea,N,N,N,C,scenario_vulnerability_reducer,diagnostic_only,068270.KS: 장세 해석용 자산으로 기본 헤지 후보에서 제외,"달러강세/원화약세장, 중국·무역분절 충격장, 장기금리 부담장 기준 취약도를 낮추는 후보입니다.",0.708406,"핵심 취약점 직접 완화, Stress 방어, factor 집중 완화 / 달러강세/원화약세장, 중국·무역분절 충격장, 장기금리 부담장 기준 취약도를 낮추는 후보입니다.","{""NVDA"": 24.2866, ""005930.KS"": 36.4473, ""035420.KS"": 18.8699, ""035720.KS"": 11.8906, ""068270.KS"": 6.5177, ""__CASH__"": 1.9879}"
