candidate_ticker,candidate_bucket,risk_bucket_match,input_aware_score,status,message,hedge_weight_pct,hedge_budget_pct,hedge_budget_krw,hedge_invested_krw,hedge_cash_left_krw,hedge_share_counts,combo_size,allocation_method,allocation_weights,allocation_objective_reason,base_vol_annual,proposed_vol_annual,base_mdd,proposed_mdd,base_cvar_95,proposed_cvar_95,base_annual_return_krw,proposed_annual_return_krw,base_sharpe_krw_proxy,proposed_sharpe_krw_proxy,base_stress_avg_ret_krw,proposed_stress_avg_ret_krw,base_corr_sp500_krw,proposed_corr_sp500_krw,base_beta_sp500_krw,proposed_beta_sp500_krw,base_downside_beta_sp500_krw,proposed_downside_beta_sp500_krw,base_corr_kospi200_krw,proposed_corr_kospi200_krw,vol_improve_pct,mdd_improve_pct,cvar_improve_pct,stress_improve,corr_improve,beta_improve,exposure_improve,sharpe_improve,sharpe_improve_pct,annual_return_improve,annual_return_improve_pct,downside_beta_improve,kospi_corr_improve,combo_min_adv_60,score_component_cvar,score_component_mdd,score_component_stress,score_component_exposure,score_component_sharpe,score_component_liquidity,score_component_scenario,score_component_concentration,recommendation_status,gate_fail_reasons,reference_reason,dq_warning_reasons,dq_blocking_reasons,dq_penalty,concentration_warning,recommendation_confidence_score,base_scenario_vulnerability,proposed_scenario_vulnerability,base_gate_vulnerability,proposed_gate_vulnerability,scenario_vulnerability_delta,gate_vulnerability_delta,scenario_score_component,scenario_vulnerability_reduction,adverse_scenario_penalty,factor_concentration_penalty,direct_vulnerability_match_score,portfolio_vulnerability_tags,candidate_vulnerability_tags,generic_safe_asset_flag,cash_like_flag,benchmark_role_default,max_grade_without_direct_match,recommended_role,candidate_role,candidate_role_reason_ko,scenario_reason_ko,final_score,recommendation_reason,weights_snapshot,backtest_gate_status,backtest_total_evaluated_count,backtest_total_worsened_count,backtest_target_evaluated_count,backtest_target_improved_count,backtest_target_mixed_count,backtest_target_worsened_count,backtest_target_insufficient_history_count,backtest_target_beats_cash_count,backtest_target_mixed_cash_count,backtest_target_lags_cash_count,backtest_target_bootstrap_count,backtest_target_bootstrap_robust_count,backtest_target_bootstrap_uncertain_count,backtest_target_bootstrap_min_p_improve,backtest_target_bootstrap_avg_p_improve,backtest_target_cash_bootstrap_count,backtest_target_cash_bootstrap_robust_count,backtest_target_cash_bootstrap_uncertain_count,backtest_target_cash_bootstrap_min_p_improve,backtest_target_cash_bootstrap_avg_p_improve,backtest_target_avg_cash_net_stress_delta,backtest_target_min_cash_net_stress_delta,backtest_target_avg_cash_net_mdd_delta,backtest_target_min_cash_net_mdd_delta,backtest_target_avg_cash_net_cvar_delta,backtest_target_min_cash_net_cvar_delta,backtest_target_max_turnover,backtest_context_worsened_count,backtest_evaluated_count,backtest_improved_count,backtest_mixed_count,backtest_worsened_count,backtest_insufficient_history_count,backtest_reason,liquidity_order_notional_krw,liquidity_adv_usage_pct,liquidity_capacity_status,formal_gate_blockers,formal_gate_blocker_count,formal_gate_blocker_summary,user_recommendation_label,active_adverse_scenarios
153130.KS,kr_etf,metadata_direct_match,0.778904,FAIL,FAIL: MDD 개선 미달; Stress 개선 미달; active adverse scenario 민감도 증가,2.906201,2.906201,167099.0,113295.0,53804.0,"{""153130.KS"": 1}",1,exact_single_asset,"{""153130.KS"": 2.9062009417396166}",single candidate allocation,0.176348,0.172008,-0.183873,-0.220329,-0.024836,-0.024153,0.261439,0.236558,1.3124,1.200862,0.000526,0.000422,0.772782,0.795382,0.782536,0.76022,0.810069,0.7833,0.07906,0.079096,2.460727,-19.826713,2.749442,-0.000104,-0.022599,0.022316,0.022316,-0.111538,-8.498803,-0.024881,-9.516793,0.026768,-3.5e-05,3888598162.863109,0.308376,0.169966,0.269518,0.523747,0.741724,0.003202,0.498409,0.5,FAIL_GATE,MDD 개선 미달; Stress 개선 미달; active adverse scenario 민감도 증가,Sharpe soft warning; annual return drag soft warning,DQ WARN non-blocking - 153130.KS: calendar_coverage_warn,,0.1,집중위험 완화 중 - AAPL 38.29% -> 37.21% (기준 20.0% 초과); 집중위험 완화 중 - GLD 40.35% -> 39.21% (기준 20.0% 초과); 집중위험 완화 중 - MSFT 21.35% -> 20.75% (기준 20.0% 초과),0.9,0.175074,0.176664,0.205034,0.207187,0.001591,0.002153,0.498409,-0.001591,0.002153,0.0,1.0,growth_beta|rate_shock_growth_duration|recession_liquidity_stress|usd_exposure|geopolitical_supply_chain|gold,cash_like|korea_domestic_credit|kr_short_bond|rate_shock_growth_duration|usdkrw_fx_korea,Y,Y,Y,D,adverse_scenario_sensitive,benchmark_candidate,153130.KS: 범용 방어 benchmark입니다,"달러강세/원화약세장, 중국·무역분절 충격장, 급성 리스크오프/유동성 경색장 기준 취약도를 늘릴 수 있어 감점됩니다.",0.593082,"핵심 취약점 직접 완화, Sharpe 개선, Return drag control / 달러강세/원화약세장, 중국·무역분절 충격장, 급성 리스크오프/유동성 경색장 기준 취약도를 늘릴 수 있어 감점됩니다.","{""AAPL"": 37.2118, ""MSFT"": 20.7511, ""GLD"": 39.213, ""153130.KS"": 1.9148, ""__CASH__"": 0.9093}",VALIDATION_NOT_ELIGIBLE,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,,,,,,,,,,0,0,0,0,0,0,candidate was not eligible for the bounded scenario backtest run,113295.0,0.0029,ORDER_SIZE_ADV_USAGE_OK,fail_gate|validation_not_eligible|return_drag_reference,3,하드 게이트 실패 - Do not promote until the failing gate is resolved.; validation not eligible - Keep blocked or rebuild the candidate with valid backtest inputs.; 수익률 훼손 검토 필요 - Confirm risk reduction compensates for return drag before promotion.,기준 미통과,metadata_direct_match
132030.KS,kr_etf,metadata_direct_match,0.764433,FAIL,FAIL: MDD 개선 미달; Stress 개선 미달; active adverse scenario 민감도 증가,2.906201,2.906201,167099.0,147150.0,19949.0,"{""132030.KS"": 6}",1,exact_single_asset,"{""132030.KS"": 2.9062009417396166}",single candidate allocation,0.176348,0.172097,-0.183873,-0.220404,-0.024836,-0.024116,0.261439,0.23982,1.3124,1.219194,0.000526,0.000402,0.772782,0.789643,0.782536,0.757613,0.810069,0.779358,0.07906,0.104422,2.410306,-19.867357,2.898602,-0.000124,-0.01686,0.024923,0.024923,-0.093207,-7.101992,-0.021619,-8.269229,0.030711,-0.025362,5701084328.5,0.420825,0.13942,0.192485,1.0,1.0,0.006196,0.497782,0.5,FAIL_GATE,MDD 개선 미달; Stress 개선 미달; active adverse scenario 민감도 증가,Sharpe soft warning; annual return drag soft warning,DQ WARN non-blocking - 132030.KS: calendar_coverage_warn,,0.1,집중위험 완화 중 - AAPL 38.29% -> 37.21% (기준 20.0% 초과); 집중위험 완화 중 - GLD 40.35% -> 39.21% (기준 20.0% 초과); 집중위험 완화 중 - MSFT 21.35% -> 20.75% (기준 20.0% 초과),0.9,0.175074,0.177292,0.205034,0.206599,0.002218,0.001565,0.497782,-0.002218,0.001565,0.0,1.0,growth_beta|rate_shock_growth_duration|recession_liquidity_stress|usd_exposure|geopolitical_supply_chain|gold,geopolitical_supply_chain|gold|inflation_energy_shock|korea_domestic_credit|kr_listed|usdkrw_fx_korea,Y,N,Y,D,adverse_scenario_sensitive,benchmark_candidate,132030.KS: 범용 방어 benchmark입니다,"달러강세/원화약세장, 중국·무역분절 충격장, 급성 리스크오프/유동성 경색장 기준 취약도를 늘릴 수 있어 감점됩니다.",0.597167,"핵심 취약점 직접 완화, 노출(beta/corr) 감소, Sharpe 개선 / 달러강세/원화약세장, 중국·무역분절 충격장, 급성 리스크오프/유동성 경색장 기준 취약도를 늘릴 수 있어 감점됩니다.","{""AAPL"": 37.2118, ""MSFT"": 20.7511, ""GLD"": 39.213, ""132030.KS"": 2.487, ""__CASH__"": 0.3372}",VALIDATION_NOT_ELIGIBLE,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,,,,,,,,,,0,0,0,0,0,0,candidate was not eligible for the bounded scenario backtest run,147150.0,0.0026,ORDER_SIZE_ADV_USAGE_OK,fail_gate|validation_not_eligible|return_drag_reference,3,하드 게이트 실패 - Do not promote until the failing gate is resolved.; validation not eligible - Keep blocked or rebuild the candidate with valid backtest inputs.; 수익률 훼손 검토 필요 - Confirm risk reduction compensates for return drag before promotion.,기준 미통과,metadata_direct_match
114800.KS,kr_etf,metadata_direct_match,0.745276,FAIL,FAIL: MDD 개선 미달; Sharpe 악화 하드 게이트; active adverse scenario 민감도 증가,2.906201,2.906201,167099.0,166260.0,839.0,"{""114800.KS"": 170}",1,exact_single_asset,"{""114800.KS"": 2.9062009417396166}",single candidate allocation,0.176348,0.172375,-0.183873,-0.218298,-0.024836,-0.024255,0.261439,0.227924,1.3124,1.148216,0.000526,0.000613,0.772782,0.784537,0.782536,0.761535,0.810069,0.783016,0.07906,-0.009939,2.252631,-18.722308,2.340389,8.7e-05,-0.011754,0.021001,0.021001,-0.164184,-12.51021,-0.033515,-12.819339,0.027053,0.069121,607349902480.3167,0.0,1.0,1.0,0.283544,0.0,1.0,0.495536,0.5,FAIL_GATE,MDD 개선 미달; Sharpe 악화 하드 게이트; active adverse scenario 민감도 증가,annual return drag soft warning,DQ WARN non-blocking - 114800.KS: calendar_coverage_warn,,0.1,집중위험 완화 중 - AAPL 38.29% -> 37.21% (기준 20.0% 초과); 집중위험 완화 중 - GLD 40.35% -> 39.21% (기준 20.0% 초과); 집중위험 완화 중 - MSFT 21.35% -> 20.75% (기준 20.0% 초과),0.9,0.175074,0.179538,0.205034,0.210979,0.004464,0.005945,0.495536,-0.004464,0.005945,0.0,1.0,growth_beta|rate_shock_growth_duration|recession_liquidity_stress|usd_exposure|geopolitical_supply_chain|gold,inverse_korea|korea_beta_offset|korea_domestic_credit|rate_shock_growth_duration|recession_liquidity_stress|semiconductor_ai_cycle|usdkrw_fx_korea,N,N,N,C,adverse_scenario_sensitive,research_only,114800.KS: 리서치 전용 후보,"달러강세/원화약세장, 중국·무역분절 충격장, 급성 리스크오프/유동성 경색장 기준 취약도를 늘릴 수 있어 감점됩니다.",0.774554,"핵심 취약점 직접 완화, MDD 개선, Stress 방어 / 달러강세/원화약세장, 중국·무역분절 충격장, 급성 리스크오프/유동성 경색장 기준 취약도를 늘릴 수 있어 감점됩니다.","{""AAPL"": 37.2118, ""MSFT"": 20.7511, ""GLD"": 39.213, ""114800.KS"": 2.8099, ""__CASH__"": 0.0142}",VALIDATION_NOT_ELIGIBLE,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,,,,,,,,,,0,0,0,0,0,0,candidate was not eligible for the bounded scenario backtest run,166260.0,0.0,ORDER_SIZE_ADV_USAGE_OK,fail_gate|validation_not_eligible|return_drag_reference,3,하드 게이트 실패 - Do not promote until the failing gate is resolved.; validation not eligible - Keep blocked or rebuild the candidate with valid backtest inputs.; 수익률 훼손 검토 필요 - Confirm risk reduction compensates for return drag before promotion.,기준 미통과,metadata_direct_match
017670.KS,kr_stock,metadata_direct_match,0.727122,FAIL,FAIL: MDD 개선 미달; Stress 개선 미달; Sharpe 악화 하드 게이트; active adverse scenario 민감도 증가,2.906201,2.906201,167099.0,108100.0,58999.0,"{""017670.KS"": 1}",1,exact_single_asset,"{""017670.KS"": 2.9062009417396166}",single candidate allocation,0.176348,0.170916,-0.183873,-0.220671,-0.024836,-0.023987,0.261439,0.22892,1.3124,1.163845,0.000526,0.000424,0.772782,0.797199,0.782536,0.75905,0.810069,0.786049,0.07906,0.104353,3.080176,-20.012507,3.420031,-0.000102,-0.024416,0.023487,0.023487,-0.148555,-11.31936,-0.032519,-12.438547,0.02402,-0.025293,130839665706.17374,0.813918,0.03033,0.277055,0.737627,0.220193,0.2129,0.499089,0.5,FAIL_GATE,MDD 개선 미달; Stress 개선 미달; Sharpe 악화 하드 게이트; active adverse scenario 민감도 증가,annual return drag soft warning,DQ WARN non-blocking - 017670.KS: calendar_coverage_warn,,0.1,집중위험 완화 중 - AAPL 38.29% -> 37.21% (기준 20.0% 초과); 집중위험 완화 중 - GLD 40.35% -> 39.21% (기준 20.0% 초과); 집중위험 완화 중 - MSFT 21.35% -> 20.75% (기준 20.0% 초과),0.9,0.175074,0.175985,0.205034,0.205861,0.000911,0.000827,0.499089,-0.000911,0.000827,0.0,1.0,growth_beta|rate_shock_growth_duration|recession_liquidity_stress|usd_exposure|geopolitical_supply_chain|gold,defensive_equity|korea_domestic_credit|korea_equity|recession_liquidity_stress|usdkrw_fx_korea,N,N,N,C,adverse_scenario_sensitive,diagnostic_only,017670.KS: 장세 해석용 자산으로 기본 헤지 후보에서 제외,"달러강세/원화약세장, 중국·무역분절 충격장, 급성 리스크오프/유동성 경색장 기준 취약도를 늘릴 수 있어 감점됩니다.",0.599999,"핵심 취약점 직접 완화, CVaR 개선, 노출(beta/corr) 감소 / 달러강세/원화약세장, 중국·무역분절 충격장, 급성 리스크오프/유동성 경색장 기준 취약도를 늘릴 수 있어 감점됩니다.","{""AAPL"": 37.2118, ""MSFT"": 20.7511, ""GLD"": 39.213, ""017670.KS"": 1.827, ""__CASH__"": 0.9971}",VALIDATION_NOT_ELIGIBLE,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,,,,,,,,,,0,0,0,0,0,0,candidate was not eligible for the bounded scenario backtest run,108100.0,0.0001,ORDER_SIZE_ADV_USAGE_OK,fail_gate|validation_not_eligible|return_drag_reference,3,하드 게이트 실패 - Do not promote until the failing gate is resolved.; validation not eligible - Keep blocked or rebuild the candidate with valid backtest inputs.; 수익률 훼손 검토 필요 - Confirm risk reduction compensates for return drag before promotion.,기준 미통과,metadata_direct_match
005930.KS,kr_stock,metadata_direct_match,0.725105,FAIL,FAIL: 예산 부족 - 005930.KS 1주 매수 불가,2.906201,2.906201,167099.0,,,,1,exact_single_asset,"{""005930.KS"": 2.9062009417396166}",single candidate allocation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FAIL_GATE,FAIL: 예산 부족 - 005930.KS 1주 매수 불가,,,,0.0,집중위험 완화 중 - AAPL 38.29% -> 0.00% (기준 20.0% 초과); 집중위험 완화 중 - GLD 40.35% -> 0.00% (기준 20.0% 초과); 집중위험 완화 중 - MSFT 21.35% -> 0.00% (기준 20.0% 초과),1.0,,,,,,,,,,,,,,,,,,,,,,0.2,"DQ confidence, 핵심 취약점 직접 완화",{},VALIDATION_NOT_ELIGIBLE,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,,,,,,,,,,0,0,0,0,0,0,candidate was not eligible for the bounded scenario backtest run,167099.0,,MISSING_ADV,fail_gate|validation_not_eligible|liquidity_below_formal,3,하드 게이트 실패 - Do not promote until the failing gate is resolved.; validation not eligible - Keep blocked or rebuild the candidate with valid backtest inputs.; 유동성 기준 미달 - Refresh ADV evidence or exclude the candidate from formal recommendations.,기준 미통과,metadata_direct_match
105560.KS,kr_stock,metadata_direct_match,0.722556,FAIL,FAIL: MDD 개선 미달; Stress 개선 미달; active adverse scenario 민감도 증가,2.906201,2.906201,167099.0,154800.0,12299.0,"{""105560.KS"": 1}",1,exact_single_asset,"{""105560.KS"": 2.9062009417396166}",single candidate allocation,0.176348,0.170995,-0.183873,-0.2203,-0.024836,-0.023926,0.261439,0.234994,1.3124,1.198826,0.000526,0.000351,0.772782,0.79016,0.782536,0.759109,0.810069,0.783361,0.07906,0.109949,3.035065,-19.810958,3.666863,-0.000175,-0.017377,0.023427,0.023427,-0.113574,-8.653898,-0.026445,-10.115147,0.026708,-0.030889,193215012553.61093,1.0,0.181807,0.0,0.726811,0.713047,0.315931,0.493807,0.5,FAIL_GATE,MDD 개선 미달; Stress 개선 미달; active adverse scenario 민감도 증가,Sharpe soft warning; annual return drag soft warning,DQ WARN non-blocking - 105560.KS: calendar_coverage_warn,,0.1,집중위험 완화 중 - AAPL 38.29% -> 37.21% (기준 20.0% 초과); 집중위험 완화 중 - GLD 40.35% -> 39.21% (기준 20.0% 초과); 집중위험 완화 중 - MSFT 21.35% -> 20.75% (기준 20.0% 초과),0.9,0.175074,0.181267,0.205034,0.211098,0.006193,0.006064,0.493807,-0.006193,0.006064,0.0,1.0,growth_beta|rate_shock_growth_duration|recession_liquidity_stress|usd_exposure|geopolitical_supply_chain|gold,credit_cycle|korea_domestic_credit|korea_financial|rate_shock_growth_duration|usdkrw_fx_korea,N,N,N,C,adverse_scenario_sensitive,diagnostic_only,105560.KS: 장세 해석용 자산으로 기본 헤지 후보에서 제외,"달러강세/원화약세장, 중국·무역분절 충격장, 급성 리스크오프/유동성 경색장 기준 취약도를 늘릴 수 있어 감점됩니다.",0.597898,"핵심 취약점 직접 완화, CVaR 개선, 노출(beta/corr) 감소 / 달러강세/원화약세장, 중국·무역분절 충격장, 급성 리스크오프/유동성 경색장 기준 취약도를 늘릴 수 있어 감점됩니다.","{""AAPL"": 37.2118, ""MSFT"": 20.7511, ""GLD"": 39.213, ""105560.KS"": 2.6163, ""__CASH__"": 0.2079}",VALIDATION_NOT_ELIGIBLE,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,,,,,,,,,,0,0,0,0,0,0,candidate was not eligible for the bounded scenario backtest run,154800.0,0.0001,ORDER_SIZE_ADV_USAGE_OK,fail_gate|validation_not_eligible|return_drag_reference,3,하드 게이트 실패 - Do not promote until the failing gate is resolved.; validation not eligible - Keep blocked or rebuild the candidate with valid backtest inputs.; 수익률 훼손 검토 필요 - Confirm risk reduction compensates for return drag before promotion.,기준 미통과,metadata_direct_match
000810.KS,kr_stock,metadata_direct_match,0.722229,FAIL,FAIL: 예산 부족 - 000810.KS 1주 매수 불가,2.906201,2.906201,167099.0,,,,1,exact_single_asset,"{""000810.KS"": 2.9062009417396166}",single candidate allocation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FAIL_GATE,FAIL: 예산 부족 - 000810.KS 1주 매수 불가,,,,0.0,집중위험 완화 중 - AAPL 38.29% -> 0.00% (기준 20.0% 초과); 집중위험 완화 중 - GLD 40.35% -> 0.00% (기준 20.0% 초과); 집중위험 완화 중 - MSFT 21.35% -> 0.00% (기준 20.0% 초과),1.0,,,,,,,,,,,,,,,,,,,,,,0.2,"DQ confidence, 핵심 취약점 직접 완화",{},VALIDATION_NOT_ELIGIBLE,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,,,,,,,,,,0,0,0,0,0,0,candidate was not eligible for the bounded scenario backtest run,167099.0,,MISSING_ADV,fail_gate|validation_not_eligible|liquidity_below_formal,3,하드 게이트 실패 - Do not promote until the failing gate is resolved.; validation not eligible - Keep blocked or rebuild the candidate with valid backtest inputs.; 유동성 기준 미달 - Refresh ADV evidence or exclude the candidate from formal recommendations.,기준 미통과,metadata_direct_match
032830.KS,kr_stock,metadata_direct_match,0.72187,FAIL,FAIL: 예산 부족 - 032830.KS 1주 매수 불가,2.906201,2.906201,167099.0,,,,1,exact_single_asset,"{""032830.KS"": 2.9062009417396166}",single candidate allocation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FAIL_GATE,FAIL: 예산 부족 - 032830.KS 1주 매수 불가,,,,0.0,집중위험 완화 중 - AAPL 38.29% -> 0.00% (기준 20.0% 초과); 집중위험 완화 중 - GLD 40.35% -> 0.00% (기준 20.0% 초과); 집중위험 완화 중 - MSFT 21.35% -> 0.00% (기준 20.0% 초과),1.0,,,,,,,,,,,,,,,,,,,,,,0.2,"DQ confidence, 핵심 취약점 직접 완화",{},VALIDATION_NOT_ELIGIBLE,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,,,,,,,,,,0,0,0,0,0,0,candidate was not eligible for the bounded scenario backtest run,167099.0,,MISSING_ADV,fail_gate|validation_not_eligible|liquidity_below_formal,3,하드 게이트 실패 - Do not promote until the failing gate is resolved.; validation not eligible - Keep blocked or rebuild the candidate with valid backtest inputs.; 유동성 기준 미달 - Refresh ADV evidence or exclude the candidate from formal recommendations.,기준 미통과,metadata_direct_match
055550.KS,kr_stock,metadata_direct_match,0.721485,FAIL,FAIL: MDD 개선 미달; Stress 개선 미달; Sharpe 악화 하드 게이트; active adverse scenario 민감도 증가,2.906201,2.906201,167099.0,101200.0,65899.0,"{""055550.KS"": 1}",1,exact_single_asset,"{""055550.KS"": 2.9062009417396166}",single candidate allocation,0.176348,0.170954,-0.183873,-0.219832,-0.024836,-0.023971,0.261439,0.230759,1.3124,1.174348,0.000526,0.000371,0.772782,0.791122,0.782536,0.75939,0.810069,0.783241,0.07906,0.094781,3.058863,-19.556656,3.485234,-0.000156,-0.018339,0.023147,0.023147,-0.138052,-10.51904,-0.03068,-11.735003,0.026828,-0.01572,132577137687.57205,0.863073,0.372932,0.073665,0.675515,0.368175,0.21577,0.495894,0.5,FAIL_GATE,MDD 개선 미달; Stress 개선 미달; Sharpe 악화 하드 게이트; active adverse scenario 민감도 증가,annual return drag soft warning,DQ WARN non-blocking - 055550.KS: calendar_coverage_warn,,0.1,집중위험 완화 중 - AAPL 38.29% -> 37.21% (기준 20.0% 초과); 집중위험 완화 중 - GLD 40.35% -> 39.21% (기준 20.0% 초과); 집중위험 완화 중 - MSFT 21.35% -> 20.75% (기준 20.0% 초과),0.9,0.175074,0.17918,0.205034,0.209084,0.004106,0.00405,0.495894,-0.004106,0.00405,0.0,1.0,growth_beta|rate_shock_growth_duration|recession_liquidity_stress|usd_exposure|geopolitical_supply_chain|gold,credit_cycle|korea_domestic_credit|korea_financial|rate_shock_growth_duration|usdkrw_fx_korea,N,N,N,C,adverse_scenario_sensitive,diagnostic_only,055550.KS: 장세 해석용 자산으로 기본 헤지 후보에서 제외,"달러강세/원화약세장, 중국·무역분절 충격장, 급성 리스크오프/유동성 경색장 기준 취약도를 늘릴 수 있어 감점됩니다.",0.596044,"핵심 취약점 직접 완화, CVaR 개선, 노출(beta/corr) 감소 / 달러강세/원화약세장, 중국·무역분절 충격장, 급성 리스크오프/유동성 경색장 기준 취약도를 늘릴 수 있어 감점됩니다.","{""AAPL"": 37.2118, ""MSFT"": 20.7511, ""GLD"": 39.213, ""055550.KS"": 1.7104, ""__CASH__"": 1.1138}",VALIDATION_NOT_ELIGIBLE,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,,,,,,,,,,0,0,0,0,0,0,candidate was not eligible for the bounded scenario backtest run,101200.0,0.0001,ORDER_SIZE_ADV_USAGE_OK,fail_gate|validation_not_eligible|return_drag_reference,3,하드 게이트 실패 - Do not promote until the failing gate is resolved.; validation not eligible - Keep blocked or rebuild the candidate with valid backtest inputs.; 수익률 훼손 검토 필요 - Confirm risk reduction compensates for return drag before promotion.,기준 미통과,metadata_direct_match
035420.KS,kr_stock,metadata_direct_match,0.718784,FAIL,FAIL: 예산 부족 - 035420.KS 1주 매수 불가,2.906201,2.906201,167099.0,,,,1,exact_single_asset,"{""035420.KS"": 2.9062009417396166}",single candidate allocation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FAIL_GATE,FAIL: 예산 부족 - 035420.KS 1주 매수 불가,,,,0.0,집중위험 완화 중 - AAPL 38.29% -> 0.00% (기준 20.0% 초과); 집중위험 완화 중 - GLD 40.35% -> 0.00% (기준 20.0% 초과); 집중위험 완화 중 - MSFT 21.35% -> 0.00% (기준 20.0% 초과),1.0,,,,,,,,,,,,,,,,,,,,,,0.2,"DQ confidence, 핵심 취약점 직접 완화",{},VALIDATION_NOT_ELIGIBLE,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,,,,,,,,,,0,0,0,0,0,0,candidate was not eligible for the bounded scenario backtest run,167099.0,,MISSING_ADV,fail_gate|validation_not_eligible|liquidity_below_formal,3,하드 게이트 실패 - Do not promote until the failing gate is resolved.; validation not eligible - Keep blocked or rebuild the candidate with valid backtest inputs.; 유동성 기준 미달 - Refresh ADV evidence or exclude the candidate from formal recommendations.,기준 미통과,metadata_direct_match
