candidate_ticker,candidate_bucket,risk_bucket_match,input_aware_score,status,message,hedge_weight_pct,hedge_budget_pct,hedge_budget_krw,hedge_invested_krw,hedge_cash_left_krw,hedge_share_counts,combo_size,allocation_method,allocation_weights,allocation_objective_reason,base_vol_annual,proposed_vol_annual,base_mdd,proposed_mdd,base_cvar_95,proposed_cvar_95,base_annual_return_krw,proposed_annual_return_krw,base_sharpe_krw_proxy,proposed_sharpe_krw_proxy,base_stress_avg_ret_krw,proposed_stress_avg_ret_krw,base_corr_sp500_krw,proposed_corr_sp500_krw,base_beta_sp500_krw,proposed_beta_sp500_krw,base_downside_beta_sp500_krw,proposed_downside_beta_sp500_krw,base_corr_kospi200_krw,proposed_corr_kospi200_krw,vol_improve_pct,mdd_improve_pct,cvar_improve_pct,stress_improve,corr_improve,beta_improve,exposure_improve,sharpe_improve,sharpe_improve_pct,annual_return_improve,annual_return_improve_pct,downside_beta_improve,kospi_corr_improve,combo_min_adv_60,score_component_cvar,score_component_mdd,score_component_stress,score_component_exposure,score_component_sharpe,score_component_liquidity,score_component_scenario,score_component_concentration,recommendation_status,gate_fail_reasons,reference_reason,dq_warning_reasons,dq_blocking_reasons,dq_penalty,concentration_warning,recommendation_confidence_score,base_scenario_vulnerability,proposed_scenario_vulnerability,base_gate_vulnerability,proposed_gate_vulnerability,scenario_vulnerability_delta,gate_vulnerability_delta,scenario_score_component,scenario_vulnerability_reduction,adverse_scenario_penalty,factor_concentration_penalty,direct_vulnerability_match_score,portfolio_vulnerability_tags,candidate_vulnerability_tags,generic_safe_asset_flag,cash_like_flag,benchmark_role_default,max_grade_without_direct_match,recommended_role,candidate_role,candidate_role_reason_ko,scenario_reason_ko,final_score,recommendation_reason,weights_snapshot
261240.KS,kr_etf,usd_strength_krw_weakness,0.799416,FAIL,FAIL: Stress 개선 미달; beta/corr 감소 미달,10.0,10.0,,,,,1,single_asset_budget,"{""261240.KS"": 10.0}",single candidate allocation,0.241523,0.216842,-0.470443,-0.416937,-0.032992,-0.028805,0.28602,0.340798,1.060023,1.433297,-0.004119,-0.004322,0.149971,0.159629,0.412686,0.450127,0.453714,0.493873,0.872503,0.864757,10.219199,11.373643,12.691926,-0.000203,-0.009658,-0.037441,-0.009658,0.373275,35.213828,0.054778,19.151875,-0.040159,0.007746,1934901095.5,0.316845,0.489989,0.360433,0.351549,0.695609,0.0,0.529336,1.0,FAIL_GATE,Stress 개선 미달; beta/corr 감소 미달,,DQ WARN non-blocking - 261240.KS: calendar_coverage_warn,,0.1,집중위험 완화 중 - 005930.KS 39.88% -> 35.89% (기준 20.0% 초과); 집중위험 완화 중 - NVDA 28.23% -> 25.41% (기준 20.0% 초과),0.9,0.535533,0.506197,0.583,0.562952,-0.029336,-0.020047,0.529336,0.029336,0.0,0.0,1.0,growth_beta|korea_domestic_credit|korea_equity|krw_exposure|usdkrw_fx_korea|semiconductor_ai_cycle,korea_domestic_credit|krw_weakness|usd_hedge|usdkrw_fx_korea,N,N,N,C,scenario_vulnerability_reducer,hedge_candidate,261240.KS: 핵심 취약점 직접 완화 후보,"달러강세/원화약세장, 중국·무역분절 충격장, 장기금리 부담장 기준 취약도를 낮추는 후보입니다.",0.651799,"핵심 취약점 직접 완화, factor 집중 완화, Sharpe 개선 / 달러강세/원화약세장, 중국·무역분절 충격장, 장기금리 부담장 기준 취약도를 낮추는 후보입니다.","{""NVDA"": 25.4106, ""005930.KS"": 35.8918, ""035420.KS"": 16.0577, ""035720.KS"": 12.64, ""261240.KS"": 10.0}"
FXY,fx_etf,usd_strength_krw_weakness,0.792893,PASS,PASS,10.0,10.0,,,,,1,single_asset_budget,"{""FXY"": 10.0}",single candidate allocation,0.241523,0.215863,-0.470443,-0.43743,-0.032992,-0.029369,0.28602,0.263806,1.060023,1.083124,-0.004119,-0.003691,0.149971,0.172382,0.412686,0.381291,0.453714,0.415277,0.872503,0.867793,10.624544,7.01746,10.98195,0.000428,-0.022411,0.031395,0.031395,0.023101,2.179267,-0.022214,-7.766723,0.038437,0.00471,16328772448.012259,0.269589,0.380009,0.568597,0.483393,0.287747,0.0,0.552572,1.0,REFERENCE_ONLY,,annual return drag soft warning,DQ WARN non-blocking - FXY: fx_missing_warn,,0.1,집중위험 완화 중 - 005930.KS 39.88% -> 35.89% (기준 20.0% 초과); 집중위험 완화 중 - NVDA 28.23% -> 25.41% (기준 20.0% 초과),0.9,0.535533,0.482961,0.583,0.5247,-0.052572,-0.0583,0.552572,0.052572,0.0,0.0,1.0,growth_beta|korea_domestic_credit|korea_equity|krw_exposure|usdkrw_fx_korea|semiconductor_ai_cycle,fx_hedge|usdkrw_fx_korea|yen,N,N,N,C,scenario_vulnerability_reducer,hedge_candidate,FXY: 핵심 취약점 직접 완화 후보,"달러강세/원화약세장, 중국·무역분절 충격장, 장기금리 부담장 기준 취약도를 낮추는 후보입니다.",0.665042,"핵심 취약점 직접 완화, factor 집중 완화, Stress 방어 / 달러강세/원화약세장, 중국·무역분절 충격장, 장기금리 부담장 기준 취약도를 낮추는 후보입니다.","{""NVDA"": 25.4106, ""005930.KS"": 35.8918, ""035420.KS"": 16.0577, ""035720.KS"": 12.64, ""FXY"": 10.0}"
BTAL,equity_etf,metadata_direct_match,0.783996,FAIL,FAIL: Stress 개선 미달,10.0,10.0,,,,,1,single_asset_budget,"{""BTAL"": 10.0}",single candidate allocation,0.241523,0.202004,-0.470443,-0.40984,-0.032992,-0.026832,0.28602,0.305611,1.060023,1.364379,-0.004119,-0.004928,0.149971,0.145874,0.412686,0.393045,0.453714,0.478996,0.872503,0.862824,16.362333,12.882184,18.670645,-0.000809,0.004097,0.019641,0.019641,0.304356,28.712237,0.01959,6.849321,-0.025283,0.009679,17558403987.19082,0.48207,0.528075,0.160514,0.445645,0.615337,0.0,0.534509,1.0,FAIL_GATE,Stress 개선 미달,,DQ WARN non-blocking - BTAL: extreme_return_outlier_warn,,0.1,집중위험 완화 중 - 005930.KS 39.88% -> 35.89% (기준 20.0% 초과); 집중위험 완화 중 - NVDA 28.23% -> 25.41% (기준 20.0% 초과),0.9,0.535533,0.501024,0.583,0.534986,-0.034509,-0.048013,0.534509,0.034509,0.0,0.0,1.0,growth_beta|korea_domestic_credit|korea_equity|krw_exposure|usdkrw_fx_korea|semiconductor_ai_cycle,growth_beta_offset|low_beta|market_neutral|rate_shock_growth_duration|recession_liquidity_stress|semiconductor_ai_cycle,N,N,N,C,scenario_vulnerability_reducer,hedge_candidate,BTAL: 핵심 취약점 직접 완화 후보,"달러강세/원화약세장, 중국·무역분절 충격장, 장기금리 부담장 기준 취약도를 낮추는 후보입니다.",0.621587,"핵심 취약점 직접 완화, factor 집중 완화, Sharpe 개선 / 달러강세/원화약세장, 중국·무역분절 충격장, 장기금리 부담장 기준 취약도를 낮추는 후보입니다.","{""NVDA"": 25.4106, ""005930.KS"": 35.8918, ""035420.KS"": 16.0577, ""035720.KS"": 12.64, ""BTAL"": 10.0}"
FXF,fx_etf,metadata_direct_match,0.776642,PASS,PASS,10.0,10.0,,,,,1,single_asset_budget,"{""FXF"": 10.0}",single candidate allocation,0.241523,0.217376,-0.470443,-0.427134,-0.032992,-0.029691,0.28602,0.265707,1.060023,1.084331,-0.004119,-0.003815,0.149971,0.172341,0.412686,0.392517,0.453714,0.427534,0.872503,0.869005,9.99804,9.206061,10.006492,0.000304,-0.02237,0.020169,0.020169,0.024309,2.293222,-0.020313,-7.101906,0.026179,0.003498,12866218139.350985,0.242632,0.435264,0.527701,0.44734,0.289154,0.0,0.550247,1.0,REFERENCE_ONLY,,annual return drag soft warning,DQ WARN non-blocking - FXF: fx_missing_warn,,0.1,집중위험 완화 중 - 005930.KS 39.88% -> 35.89% (기준 20.0% 초과); 집중위험 완화 중 - NVDA 28.23% -> 25.41% (기준 20.0% 초과),0.9,0.535533,0.485286,0.583,0.5247,-0.050247,-0.0583,0.550247,0.050247,0.0,0.0,1.0,growth_beta|korea_domestic_credit|korea_equity|krw_exposure|usdkrw_fx_korea|semiconductor_ai_cycle,fx_hedge|swiss_franc|usdkrw_fx_korea,N,N,N,C,scenario_vulnerability_reducer,hedge_candidate,FXF: 핵심 취약점 직접 완화 후보,"달러강세/원화약세장, 중국·무역분절 충격장, 장기금리 부담장 기준 취약도를 낮추는 후보입니다.",0.659004,"핵심 취약점 직접 완화, factor 집중 완화, 현재 장세 취약도 개선 / 달러강세/원화약세장, 중국·무역분절 충격장, 장기금리 부담장 기준 취약도를 낮추는 후보입니다.","{""NVDA"": 25.4106, ""005930.KS"": 35.8918, ""035420.KS"": 16.0577, ""035720.KS"": 12.64, ""FXF"": 10.0}"
FXE,fx_etf,usd_strength_krw_weakness,0.767326,PASS,PASS,10.0,10.0,,,,,1,single_asset_budget,"{""FXE"": 10.0}",single candidate allocation,0.241523,0.217912,-0.470443,-0.432678,-0.032992,-0.029799,0.28602,0.262065,1.060023,1.064948,-0.004119,-0.003785,0.149971,0.172434,0.412686,0.400428,0.453714,0.434789,0.872503,0.867692,9.776145,8.027649,9.678682,0.000333,-0.022463,0.012258,0.012258,0.004925,0.464656,-0.023956,-8.375489,0.018924,0.004811,36392128387.92442,0.233572,0.405513,0.537478,0.421935,0.266577,0.0,0.548813,1.0,REFERENCE_ONLY,,annual return drag soft warning,DQ WARN non-blocking - FXE: fx_missing_warn,,0.1,집중위험 완화 중 - 005930.KS 39.88% -> 35.89% (기준 20.0% 초과); 집중위험 완화 중 - NVDA 28.23% -> 25.41% (기준 20.0% 초과),0.9,0.535533,0.48672,0.583,0.5247,-0.048813,-0.0583,0.548813,0.048813,0.0,0.0,1.0,growth_beta|korea_domestic_credit|korea_equity|krw_exposure|usdkrw_fx_korea|semiconductor_ai_cycle,euro|fx_hedge|usdkrw_fx_korea,N,N,N,C,scenario_vulnerability_reducer,hedge_candidate,FXE: 핵심 취약점 직접 완화 후보,"달러강세/원화약세장, 중국·무역분절 충격장, 장기금리 부담장 기준 취약도를 낮추는 후보입니다.",0.656928,"핵심 취약점 직접 완화, factor 집중 완화, 현재 장세 취약도 개선 / 달러강세/원화약세장, 중국·무역분절 충격장, 장기금리 부담장 기준 취약도를 낮추는 후보입니다.","{""NVDA"": 25.4106, ""005930.KS"": 35.8918, ""035420.KS"": 16.0577, ""035720.KS"": 12.64, ""FXE"": 10.0}"
153130.KS,kr_etf,metadata_direct_match,0.746406,FAIL,FAIL: Stress 개선 미달,10.0,10.0,,,,,1,single_asset_budget,"{""153130.KS"": 10.0}",single candidate allocation,0.241523,0.205042,-0.470443,-0.428496,-0.032992,-0.027311,0.28602,0.295891,1.060023,1.296762,-0.004119,-0.005092,0.149971,0.150069,0.412686,0.41167,0.453714,0.500442,0.872503,0.872524,15.104533,8.91653,17.220084,-0.000974,-9.9e-05,0.001016,0.001016,0.236739,22.333374,0.009871,3.451096,-0.046729,-2.1e-05,4021733917.271337,0.441983,0.427955,0.106277,0.38583,0.53658,0.0,0.520701,1.0,FAIL_GATE,Stress 개선 미달,,DQ WARN non-blocking - 153130.KS: calendar_coverage_warn,,0.1,집중위험 완화 중 - 005930.KS 39.88% -> 35.89% (기준 20.0% 초과); 집중위험 완화 중 - NVDA 28.23% -> 25.41% (기준 20.0% 초과),0.9,0.535533,0.514832,0.583,0.566849,-0.020701,-0.01615,0.520701,0.020701,0.0,0.0,1.0,growth_beta|korea_domestic_credit|korea_equity|krw_exposure|usdkrw_fx_korea|semiconductor_ai_cycle,cash_like|korea_domestic_credit|kr_short_bond|rate_shock_growth_duration|usdkrw_fx_korea,Y,Y,Y,D,scenario_vulnerability_reducer,benchmark_candidate,153130.KS: 범용 방어 benchmark입니다,"달러강세/원화약세장, 중국·무역분절 충격장, 장기금리 부담장 기준 취약도를 낮추는 후보입니다.",0.595773,"핵심 취약점 직접 완화, factor 집중 완화, Sharpe 개선 / 달러강세/원화약세장, 중국·무역분절 충격장, 장기금리 부담장 기준 취약도를 낮추는 후보입니다.","{""NVDA"": 25.4106, ""005930.KS"": 35.8918, ""035420.KS"": 16.0577, ""035720.KS"": 12.64, ""153130.KS"": 10.0}"
132030.KS,kr_etf,metadata_direct_match,0.739351,FAIL,FAIL: Stress 개선 미달,10.0,10.0,,,,,1,single_asset_budget,"{""132030.KS"": 10.0}",single candidate allocation,0.241523,0.207901,-0.470443,-0.43519,-0.032992,-0.027579,0.28602,0.30599,1.060023,1.327503,-0.004119,-0.004292,0.149971,0.141833,0.412686,0.403512,0.453714,0.497736,0.872503,0.879043,13.920803,7.493513,16.407357,-0.000174,0.008138,0.009174,0.009174,0.267481,25.233467,0.019969,6.981843,-0.044023,-0.00654,5987808271.5,0.419523,0.392028,0.370195,0.412031,0.572386,0.0,0.526094,1.0,FAIL_GATE,Stress 개선 미달,,DQ WARN non-blocking - 132030.KS: calendar_coverage_warn,,0.1,집중위험 완화 중 - 005930.KS 39.88% -> 35.89% (기준 20.0% 초과); 집중위험 완화 중 - NVDA 28.23% -> 25.41% (기준 20.0% 초과),0.9,0.535533,0.509439,0.583,0.575628,-0.026094,-0.007371,0.526094,0.026094,0.0,0.0,1.0,growth_beta|korea_domestic_credit|korea_equity|krw_exposure|usdkrw_fx_korea|semiconductor_ai_cycle,geopolitical_supply_chain|gold|inflation_energy_shock|korea_domestic_credit|kr_listed|usdkrw_fx_korea,Y,N,Y,D,scenario_vulnerability_reducer,benchmark_candidate,132030.KS: 범용 방어 benchmark입니다,"달러강세/원화약세장, 중국·무역분절 충격장, 장기금리 부담장 기준 취약도를 낮추는 후보입니다.",0.646756,"핵심 취약점 직접 완화, factor 집중 완화, Sharpe 개선 / 달러강세/원화약세장, 중국·무역분절 충격장, 장기금리 부담장 기준 취약도를 낮추는 후보입니다.","{""NVDA"": 25.4106, ""005930.KS"": 35.8918, ""035420.KS"": 16.0577, ""035720.KS"": 12.64, ""132030.KS"": 10.0}"
SPLV,equity_etf,metadata_direct_match,0.699294,FAIL,FAIL: Stress 개선 미달; beta/corr 감소 미달; downside beta 증가 하드 게이트,10.0,10.0,,,,,1,single_asset_budget,"{""SPLV"": 10.0}",single candidate allocation,0.241523,0.209624,-0.470443,-0.430237,-0.032992,-0.028106,0.28602,0.304939,1.060023,1.311581,-0.004119,-0.00457,0.149971,0.175502,0.412686,0.482741,0.453714,0.578978,0.872503,0.86683,13.207655,8.546421,14.810788,-0.000451,-0.025531,-0.070055,-0.025531,0.251559,23.731432,0.018918,6.614353,-0.125264,0.005673,287491210110.17834,0.375401,0.418611,0.278608,0.300573,0.553841,0.0,0.518242,1.0,FAIL_GATE,Stress 개선 미달; beta/corr 감소 미달; downside beta 증가 하드 게이트,,,,0.0,집중위험 완화 중 - 005930.KS 39.88% -> 35.89% (기준 20.0% 초과); 집중위험 완화 중 - NVDA 28.23% -> 25.41% (기준 20.0% 초과),1.0,0.535533,0.517291,0.583,0.543563,-0.018242,-0.039437,0.518242,0.018242,0.0,0.0,1.0,growth_beta|korea_domestic_credit|korea_equity|krw_exposure|usdkrw_fx_korea|semiconductor_ai_cycle,defensive_equity|growth_beta_offset|low_volatility|rate_shock_growth_duration|recession_liquidity_stress|semiconductor_ai_cycle,N,N,N,C,scenario_vulnerability_reducer,hedge_candidate,SPLV: 핵심 취약점 직접 완화 후보,"달러강세/원화약세장, 중국·무역분절 충격장, 장기금리 부담장 기준 취약도를 낮추는 후보입니다.",0.659089,"핵심 취약점 직접 완화, factor 집중 완화, DQ confidence / 달러강세/원화약세장, 중국·무역분절 충격장, 장기금리 부담장 기준 취약도를 낮추는 후보입니다.","{""NVDA"": 25.4106, ""005930.KS"": 35.8918, ""035420.KS"": 16.0577, ""035720.KS"": 12.64, ""SPLV"": 10.0}"
USMV,equity_etf,usd_strength_krw_weakness,0.69632,FAIL,FAIL: Stress 개선 미달; beta/corr 감소 미달; downside beta 증가 하드 게이트,10.0,10.0,,,,,1,single_asset_budget,"{""USMV"": 10.0}",single candidate allocation,0.241523,0.209272,-0.470443,-0.433246,-0.032992,-0.028043,0.28602,0.312937,1.060023,1.352003,-0.004119,-0.005351,0.149971,0.180383,0.412686,0.484632,0.453714,0.575465,0.872503,0.864315,13.353143,7.906748,15.00132,-0.001233,-0.030412,-0.071946,-0.030412,0.29198,27.544673,0.026917,9.410719,-0.121751,0.008188,334602387749.069,0.380666,0.402461,0.020837,0.284897,0.600921,0.0,0.517507,1.0,FAIL_GATE,Stress 개선 미달; beta/corr 감소 미달; downside beta 증가 하드 게이트,,,,0.0,집중위험 완화 중 - 005930.KS 39.88% -> 35.89% (기준 20.0% 초과); 집중위험 완화 중 - NVDA 28.23% -> 25.41% (기준 20.0% 초과),1.0,0.535533,0.518027,0.583,0.543883,-0.017507,-0.039116,0.517507,0.017507,0.0,0.0,1.0,growth_beta|korea_domestic_credit|korea_equity|krw_exposure|usdkrw_fx_korea|semiconductor_ai_cycle,defensive_equity|growth_beta_offset|low_volatility|rate_shock_growth_duration|recession_liquidity_stress|semiconductor_ai_cycle,N,N,N,C,scenario_vulnerability_reducer,hedge_candidate,USMV: 핵심 취약점 직접 완화 후보,"달러강세/원화약세장, 중국·무역분절 충격장, 장기금리 부담장 기준 취약도를 낮추는 후보입니다.",0.608728,"핵심 취약점 직접 완화, factor 집중 완화, DQ confidence / 달러강세/원화약세장, 중국·무역분절 충격장, 장기금리 부담장 기준 취약도를 낮추는 후보입니다.","{""NVDA"": 25.4106, ""005930.KS"": 35.8918, ""035420.KS"": 16.0577, ""035720.KS"": 12.64, ""USMV"": 10.0}"
068270.KS,kr_stock,metadata_direct_match,0.695863,PASS,PASS,10.0,10.0,,,,,1,single_asset_budget,"{""068270.KS"": 10.0}",single candidate allocation,0.241523,0.232814,-0.470443,-0.449764,-0.032992,-0.032222,0.28602,0.293982,1.060023,1.133872,-0.004119,-0.003876,0.149971,0.122379,0.412686,0.367267,0.453714,0.408195,0.872503,0.887508,3.60581,4.395559,2.334243,0.000243,0.027591,0.045419,0.045419,0.073849,6.966775,0.007962,2.783581,0.045518,-0.015005,111929123781.6099,0.030605,0.313814,0.507635,0.528431,0.346856,0.0,0.514025,0.5,REFERENCE_ONLY,,068270.KS: 장세 해석용 자산으로 기본 헤지 후보에서 제외,DQ WARN non-blocking - 068270.KS: calendar_coverage_warn,,0.1,집중위험 완화 중 - 005930.KS 39.88% -> 35.89% (기준 20.0% 초과); 집중위험 완화 중 - NVDA 28.23% -> 25.41% (기준 20.0% 초과),0.9,0.535533,0.521508,0.583,0.576922,-0.014025,-0.006078,0.514025,0.014025,0.0,0.028234,1.0,growth_beta|korea_domestic_credit|korea_equity|krw_exposure|usdkrw_fx_korea|semiconductor_ai_cycle,korea_domestic_credit|korea_equity|quality_growth|rate_shock_growth_duration|usdkrw_fx_korea,N,N,N,C,scenario_vulnerability_reducer,diagnostic_only,068270.KS: 장세 해석용 자산으로 기본 헤지 후보에서 제외,"달러강세/원화약세장, 중국·무역분절 충격장, 장기금리 부담장 기준 취약도를 낮추는 후보입니다.",0.614337,"핵심 취약점 직접 완화, Downside beta reduction, 노출(beta/corr) 감소 / 달러강세/원화약세장, 중국·무역분절 충격장, 장기금리 부담장 기준 취약도를 낮추는 후보입니다.","{""NVDA"": 25.4106, ""005930.KS"": 35.8918, ""035420.KS"": 16.0577, ""035720.KS"": 12.64, ""068270.KS"": 10.0}"
