candidate_combo,candidate_bucket_combo,risk_bucket_match,status,message,hedge_budget_pct,hedge_budget_krw,hedge_invested_krw,hedge_cash_left_krw,hedge_share_counts,combo_size,allocation_method,allocation_weights,allocation_objective_reason,base_vol_annual,proposed_vol_annual,base_mdd,proposed_mdd,base_cvar_95,proposed_cvar_95,base_annual_return_krw,proposed_annual_return_krw,base_sharpe_krw_proxy,proposed_sharpe_krw_proxy,base_stress_avg_ret_krw,proposed_stress_avg_ret_krw,base_corr_sp500_krw,proposed_corr_sp500_krw,base_beta_sp500_krw,proposed_beta_sp500_krw,base_downside_beta_sp500_krw,proposed_downside_beta_sp500_krw,base_corr_kospi200_krw,proposed_corr_kospi200_krw,vol_improve_pct,mdd_improve_pct,cvar_improve_pct,stress_improve,corr_improve,beta_improve,exposure_improve,sharpe_improve,sharpe_improve_pct,annual_return_improve,annual_return_improve_pct,downside_beta_improve,kospi_corr_improve,combo_min_adv_60,score_component_cvar,score_component_mdd,score_component_stress,score_component_exposure,score_component_sharpe,score_component_liquidity,score_component_scenario,score_component_concentration,recommendation_status,gate_fail_reasons,reference_reason,dq_warning_reasons,dq_blocking_reasons,dq_penalty,concentration_warning,recommendation_confidence_score,base_scenario_vulnerability,proposed_scenario_vulnerability,base_gate_vulnerability,proposed_gate_vulnerability,scenario_vulnerability_delta,gate_vulnerability_delta,scenario_score_component,scenario_vulnerability_reduction,adverse_scenario_penalty,factor_concentration_penalty,direct_vulnerability_match_score,portfolio_vulnerability_tags,candidate_vulnerability_tags,generic_safe_asset_flag,cash_like_flag,benchmark_role_default,max_grade_without_direct_match,recommended_role,candidate_role,candidate_role_reason_ko,scenario_reason_ko,final_score,recommendation_reason,weights_snapshot
261240.KS + FXY,fx_etf|kr_etf,usd_strength_krw_weakness,FAIL,FAIL: Stress 개선 미달; beta/corr 감소 미달,9.296263,230332.0,197546.805305,32785.194695,"{""261240.KS"": 7, ""FXY"": 1}",2,exact_equal_shares,,exact KRW budget uses whole-share equal allocation,0.241037,0.220084,-0.46851,-0.431974,-0.03285,-0.02918,0.281841,0.330363,1.044824,1.364762,-0.004145,-0.004554,0.140141,0.150905,0.38676,0.429515,0.43176,0.475321,0.870224,0.86583,8.692855,7.798174,11.171628,-0.00041,-0.010765,-0.042755,-0.010765,0.319938,30.621247,0.048521,17.215748,-0.043562,0.004393,1934901095.5,0.151867,0.406214,0.831647,0.267076,0.85318,0.0,0.529064,0.5,FAIL_GATE,Stress 개선 미달; beta/corr 감소 미달,,DQ WARN non-blocking - 261240.KS: calendar_coverage_warn; DQ WARN non-blocking - FXY: fx_missing_warn,,0.1,집중위험 완화 중 - 005930.KS 39.84% -> 36.45% (기준 20.0% 초과); 집중위험 완화 중 - 035420.KS 20.62% -> 18.87% (기준 20.0% 초과); 집중위험 완화 중 - NVDA 26.54% -> 24.29% (기준 20.0% 초과),0.9,0.532551,0.503487,0.587345,0.559673,-0.029064,-0.027672,0.529064,0.029064,0.0,0.0,1.0,growth_beta|korea_domestic_credit|korea_equity|krw_exposure|usdkrw_fx_korea|semiconductor_ai_cycle,fx_hedge|korea_domestic_credit|krw_weakness|usd_hedge|usdkrw_fx_korea|yen,N,N,N,C,scenario_vulnerability_reducer,hedge_candidate,261240.KS: 핵심 취약점 직접 완화 후보 | FXY: 핵심 취약점 직접 완화 후보,"달러강세/원화약세장, 중국·무역분절 충격장, 장기금리 부담장 기준 취약도를 낮추는 후보입니다.",0.720422,"핵심 취약점 직접 완화, Return drag control, Sharpe 개선 / 달러강세/원화약세장, 중국·무역분절 충격장, 장기금리 부담장 기준 취약도를 낮추는 후보입니다.","{""NVDA"": 24.2866, ""005930.KS"": 36.4473, ""035420.KS"": 18.8699, ""035720.KS"": 11.8906, ""261240.KS"": 4.0544, ""FXY"": 3.2404, ""__CASH__"": 1.2107}"
261240.KS + BTAL,equity_etf|kr_etf,metadata_direct_match|usd_strength_krw_weakness,FAIL,FAIL: Stress 개선 미달; beta/corr 감소 미달,9.296263,230332.0,215464.397665,14867.602335,"{""261240.KS"": 7, ""BTAL"": 6}",2,exact_equal_shares,,exact KRW budget uses whole-share equal allocation,0.241037,0.218488,-0.46851,-0.421262,-0.03285,-0.029002,0.281841,0.330699,1.044824,1.376275,-0.004145,-0.00454,0.140141,0.142293,0.38676,0.419126,0.43176,0.466828,0.870224,0.863872,9.355102,10.084709,11.71561,-0.000395,-0.002152,-0.032366,-0.002152,0.331451,31.723122,0.048858,17.335268,-0.035068,0.006352,1934901095.5,0.234547,1.0,0.848252,0.627439,0.940949,0.0,0.525261,0.5,FAIL_GATE,Stress 개선 미달; beta/corr 감소 미달,,DQ WARN non-blocking - 261240.KS: calendar_coverage_warn; DQ WARN non-blocking - BTAL: extreme_return_outlier_warn,,0.1,집중위험 완화 중 - 005930.KS 39.84% -> 36.45% (기준 20.0% 초과); 집중위험 완화 중 - 035420.KS 20.62% -> 18.87% (기준 20.0% 초과); 집중위험 완화 중 - NVDA 26.54% -> 24.29% (기준 20.0% 초과),0.9,0.532551,0.507289,0.587345,0.559986,-0.025261,-0.027359,0.525261,0.025261,0.0,0.0,1.0,growth_beta|korea_domestic_credit|korea_equity|krw_exposure|usdkrw_fx_korea|semiconductor_ai_cycle,growth_beta_offset|korea_domestic_credit|krw_weakness|low_beta|market_neutral|rate_shock_growth_duration|recession_liquidity_stress|semiconductor_ai_cycle|usd_hedge|usdkrw_fx_korea,N,N,N,C,scenario_vulnerability_reducer,hedge_candidate,261240.KS: 핵심 취약점 직접 완화 후보 | BTAL: 핵심 취약점 직접 완화 후보,"달러강세/원화약세장, 중국·무역분절 충격장, 장기금리 부담장 기준 취약도를 낮추는 후보입니다.",0.776478,"핵심 취약점 직접 완화, MDD 개선, Downside beta reduction / 달러강세/원화약세장, 중국·무역분절 충격장, 장기금리 부담장 기준 취약도를 낮추는 후보입니다.","{""NVDA"": 24.2866, ""005930.KS"": 36.4473, ""035420.KS"": 18.8699, ""035720.KS"": 11.8906, ""261240.KS"": 4.0544, ""BTAL"": 3.9021, ""__CASH__"": 0.549}"
261240.KS + FXF,fx_etf|kr_etf,metadata_direct_match|usd_strength_krw_weakness,FAIL,FAIL: 예산 부족 - FXF 1주 매수 불가,9.296263,230332.0,,,,2,exact_equal_shares,,exact KRW budget uses whole-share equal allocation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FAIL_GATE,FAIL: 예산 부족 - FXF 1주 매수 불가,,,,0.0,집중위험 완화 중 - 005930.KS 39.84% -> 0.00% (기준 20.0% 초과); 집중위험 완화 중 - 035420.KS 20.62% -> 0.00% (기준 20.0% 초과); 집중위험 완화 중 - NVDA 26.54% -> 0.00% (기준 20.0% 초과),1.0,,,,,,,,,,,,,,,,,,,,,,0.2,"DQ confidence, 핵심 취약점 직접 완화",{}
261240.KS + FXE,fx_etf|kr_etf,usd_strength_krw_weakness,FAIL,FAIL: 예산 부족 - FXE 1주 매수 불가,9.296263,230332.0,,,,2,exact_equal_shares,,exact KRW budget uses whole-share equal allocation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FAIL_GATE,FAIL: 예산 부족 - FXE 1주 매수 불가,,,,0.0,집중위험 완화 중 - 005930.KS 39.84% -> 0.00% (기준 20.0% 초과); 집중위험 완화 중 - 035420.KS 20.62% -> 0.00% (기준 20.0% 초과); 집중위험 완화 중 - NVDA 26.54% -> 0.00% (기준 20.0% 초과),1.0,,,,,,,,,,,,,,,,,,,,,,0.2,"DQ confidence, 핵심 취약점 직접 완화",{}
261240.KS + SPLV,equity_etf|kr_etf,metadata_direct_match|usd_strength_krw_weakness,FAIL,FAIL: Stress 개선 미달; beta/corr 감소 미달; downside beta 증가 하드 게이트,9.296263,230332.0,220605.562312,9726.437688,"{""261240.KS"": 7, ""SPLV"": 1}",2,exact_equal_shares,,exact KRW budget uses whole-share equal allocation,0.241037,0.221831,-0.46851,-0.429202,-0.03285,-0.029509,0.281841,0.337019,1.044824,1.38402,-0.004145,-0.004626,0.140141,0.153999,0.38676,0.458006,0.43176,0.5088,0.870224,0.865147,7.968096,8.389916,10.172435,-0.000481,-0.013858,-0.071246,-0.013858,0.339196,32.464462,0.055177,19.57745,-0.07704,0.005077,1934901095.5,0.0,0.559883,0.75211,0.137648,1.0,0.0,0.519185,0.5,FAIL_GATE,Stress 개선 미달; beta/corr 감소 미달; downside beta 증가 하드 게이트,,DQ WARN non-blocking - 261240.KS: calendar_coverage_warn,,0.1,집중위험 완화 중 - 005930.KS 39.84% -> 36.45% (기준 20.0% 초과); 집중위험 완화 중 - 035420.KS 20.62% -> 18.87% (기준 20.0% 초과); 집중위험 완화 중 - NVDA 26.54% -> 24.29% (기준 20.0% 초과),0.9,0.532551,0.513366,0.587345,0.562637,-0.019185,-0.024708,0.519185,0.019185,0.0,0.0,1.0,growth_beta|korea_domestic_credit|korea_equity|krw_exposure|usdkrw_fx_korea|semiconductor_ai_cycle,defensive_equity|growth_beta_offset|korea_domestic_credit|krw_weakness|low_volatility|rate_shock_growth_duration|recession_liquidity_stress|semiconductor_ai_cycle|usd_hedge|usdkrw_fx_korea,N,N,N,C,scenario_vulnerability_reducer,hedge_candidate,261240.KS: 핵심 취약점 직접 완화 후보 | SPLV: 핵심 취약점 직접 완화 후보,"달러강세/원화약세장, 중국·무역분절 충격장, 장기금리 부담장 기준 취약도를 낮추는 후보입니다.",0.710998,"핵심 취약점 직접 완화, Sharpe 개선, Return drag control / 달러강세/원화약세장, 중국·무역분절 충격장, 장기금리 부담장 기준 취약도를 낮추는 후보입니다.","{""NVDA"": 24.2866, ""005930.KS"": 36.4473, ""035420.KS"": 18.8699, ""035720.KS"": 11.8906, ""261240.KS"": 4.0544, ""SPLV"": 4.0919, ""__CASH__"": 0.3592}"
FXY + BTAL,equity_etf|fx_etf,metadata_direct_match|usd_strength_krw_weakness,FAIL,FAIL: Stress 개선 미달,9.296263,230332.0,193421.20297,36910.79703,"{""FXY"": 1, ""BTAL"": 6}",2,exact_equal_shares,,exact KRW budget uses whole-share equal allocation,0.241037,0.206512,-0.46851,-0.431574,-0.03285,-0.027347,0.281841,0.302456,1.044824,1.319322,-0.004145,-0.005068,0.140141,0.145672,0.38676,0.385674,0.43176,0.475759,0.870224,0.865518,14.32362,7.883593,16.751813,-0.000923,-0.005532,0.001087,0.001087,0.274498,26.27221,0.020614,7.314175,-0.043999,0.004706,16328772448.794792,1.0,0.428396,0.258894,0.762948,0.50676,1.0,0.530707,0.5,FAIL_GATE,Stress 개선 미달,,DQ WARN non-blocking - FXY: fx_missing_warn; DQ WARN non-blocking - BTAL: extreme_return_outlier_warn,,0.1,집중위험 완화 중 - 005930.KS 39.84% -> 36.45% (기준 20.0% 초과); 집중위험 완화 중 - 035420.KS 20.62% -> 18.87% (기준 20.0% 초과); 집중위험 완화 중 - NVDA 26.54% -> 24.29% (기준 20.0% 초과),0.9,0.532551,0.501844,0.587345,0.548883,-0.030707,-0.038462,0.530707,0.030707,0.0,0.0,1.0,growth_beta|korea_domestic_credit|korea_equity|krw_exposure|usdkrw_fx_korea|semiconductor_ai_cycle,fx_hedge|growth_beta_offset|low_beta|market_neutral|rate_shock_growth_duration|recession_liquidity_stress|semiconductor_ai_cycle|usdkrw_fx_korea|yen,N,N,N,C,scenario_vulnerability_reducer,hedge_candidate,FXY: 핵심 취약점 직접 완화 후보 | BTAL: 핵심 취약점 직접 완화 후보,"달러강세/원화약세장, 중국·무역분절 충격장, 장기금리 부담장 기준 취약도를 낮추는 후보입니다.",0.680614,"핵심 취약점 직접 완화, CVaR 개선, 유동성 양호 / 달러강세/원화약세장, 중국·무역분절 충격장, 장기금리 부담장 기준 취약도를 낮추는 후보입니다.","{""NVDA"": 24.2866, ""005930.KS"": 36.4473, ""035420.KS"": 18.8699, ""035720.KS"": 11.8906, ""FXY"": 3.2404, ""BTAL"": 3.9021, ""__CASH__"": 1.363}"
FXY + 153130.KS,fx_etf|kr_etf,metadata_direct_match|usd_strength_krw_weakness,FAIL,FAIL: Stress 개선 미달; beta/corr 감소 미달; downside beta 증가 하드 게이트,9.296263,230332.0,201056.805305,29275.194695,"{""FXY"": 1, ""153130.KS"": 1}",2,exact_equal_shares,,exact KRW budget uses whole-share equal allocation,0.241037,0.207886,-0.46851,-0.436463,-0.03285,-0.027599,0.281841,0.291622,1.044824,1.258488,-0.004145,-0.005214,0.140141,0.147216,0.38676,0.396464,0.43176,0.486367,0.870224,0.868887,13.753483,6.840167,15.983874,-0.00107,-0.007075,-0.009703,-0.007075,0.213664,20.449726,0.009781,3.470303,-0.054607,0.001336,4021733917.271337,0.883281,0.157431,0.095124,0.42146,0.042973,0.144981,0.525754,0.5,FAIL_GATE,Stress 개선 미달; beta/corr 감소 미달; downside beta 증가 하드 게이트,,DQ WARN non-blocking - FXY: fx_missing_warn; DQ WARN non-blocking - 153130.KS: calendar_coverage_warn,,0.1,집중위험 완화 중 - 005930.KS 39.84% -> 36.45% (기준 20.0% 초과); 집중위험 완화 중 - 035420.KS 20.62% -> 18.87% (기준 20.0% 초과); 집중위험 완화 중 - NVDA 26.54% -> 24.29% (기준 20.0% 초과),0.9,0.532551,0.506796,0.587345,0.561089,-0.025754,-0.026256,0.525754,0.025754,0.0,0.0,1.0,growth_beta|korea_domestic_credit|korea_equity|krw_exposure|usdkrw_fx_korea|semiconductor_ai_cycle,cash_like|fx_hedge|korea_domestic_credit|kr_short_bond|rate_shock_growth_duration|usdkrw_fx_korea|yen,N,Y,N,C,scenario_vulnerability_reducer,mixed_candidate_roles,FXY: 핵심 취약점 직접 완화 후보 | 153130.KS: 범용 방어 benchmark입니다,"달러강세/원화약세장, 중국·무역분절 충격장, 장기금리 부담장 기준 취약도를 낮추는 후보입니다.",0.572227,"핵심 취약점 직접 완화, CVaR 개선, Downside beta reduction / 달러강세/원화약세장, 중국·무역분절 충격장, 장기금리 부담장 기준 취약도를 낮추는 후보입니다.","{""NVDA"": 24.2866, ""005930.KS"": 36.4473, ""035420.KS"": 18.8699, ""035720.KS"": 11.8906, ""FXY"": 3.2404, ""153130.KS"": 4.1841, ""__CASH__"": 1.0811}"
FXY + 132030.KS,fx_etf|kr_etf,metadata_direct_match|usd_strength_krw_weakness,FAIL,FAIL: Stress 개선 미달; beta/corr 감소 미달; downside beta 증가 하드 게이트,9.296263,230332.0,188731.805305,41600.194695,"{""FXY"": 1, ""132030.KS"": 4}",2,exact_equal_shares,,exact KRW budget uses whole-share equal allocation,0.241037,0.209092,-0.46851,-0.439038,-0.03285,-0.027726,0.281841,0.299846,1.044824,1.29056,-0.004145,-0.004404,0.140141,0.144265,0.38676,0.39223,0.43176,0.486343,0.870224,0.871807,13.253127,6.290546,15.599183,-0.000259,-0.004124,-0.00547,-0.004124,0.245736,23.519378,0.018005,6.388218,-0.054583,-0.001584,5987808271.5,0.824812,0.014701,1.0,0.544925,0.287484,0.281572,0.526973,0.5,FAIL_GATE,Stress 개선 미달; beta/corr 감소 미달; downside beta 증가 하드 게이트,,DQ WARN non-blocking - FXY: fx_missing_warn; DQ WARN non-blocking - 132030.KS: calendar_coverage_warn,,0.1,집중위험 완화 중 - 005930.KS 39.84% -> 36.45% (기준 20.0% 초과); 집중위험 완화 중 - 035420.KS 20.62% -> 18.87% (기준 20.0% 초과); 집중위험 완화 중 - NVDA 26.54% -> 24.29% (기준 20.0% 초과),0.9,0.532551,0.505578,0.587345,0.565059,-0.026973,-0.022286,0.526973,0.026973,0.0,0.0,1.0,growth_beta|korea_domestic_credit|korea_equity|krw_exposure|usdkrw_fx_korea|semiconductor_ai_cycle,fx_hedge|geopolitical_supply_chain|gold|inflation_energy_shock|korea_domestic_credit|kr_listed|usdkrw_fx_korea|yen,N,N,N,C,scenario_vulnerability_reducer,mixed_candidate_roles,FXY: 핵심 취약점 직접 완화 후보 | 132030.KS: 범용 방어 benchmark입니다,"달러강세/원화약세장, 중국·무역분절 충격장, 장기금리 부담장 기준 취약도를 낮추는 후보입니다.",0.753429,"핵심 취약점 직접 완화, Stress 방어, CVaR 개선 / 달러강세/원화약세장, 중국·무역분절 충격장, 장기금리 부담장 기준 취약도를 낮추는 후보입니다.","{""NVDA"": 24.2866, ""005930.KS"": 36.4473, ""035420.KS"": 18.8699, ""035720.KS"": 11.8906, ""FXY"": 3.2404, ""132030.KS"": 3.7289, ""__CASH__"": 1.5362}"
FXY + SPLV,equity_etf|fx_etf,metadata_direct_match|usd_strength_krw_weakness,FAIL,FAIL: Stress 개선 미달; beta/corr 감소 미달; downside beta 증가 하드 게이트,9.296263,230332.0,198562.367617,31769.632383,"{""FXY"": 1, ""SPLV"": 1}",2,exact_equal_shares,,exact KRW budget uses whole-share equal allocation,0.241037,0.210002,-0.46851,-0.439303,-0.03285,-0.027957,0.281841,0.293101,1.044824,1.252851,-0.004145,-0.004576,0.140141,0.157289,0.38676,0.422211,0.43176,0.517968,0.870224,0.866759,12.875858,6.233936,14.895677,-0.000431,-0.017148,-0.03545,-0.017148,0.208027,19.910234,0.011259,3.994882,-0.086208,0.003464,16328772448.794792,0.717886,0.0,0.807681,0.0,0.0,1.0,0.52457,0.5,FAIL_GATE,Stress 개선 미달; beta/corr 감소 미달; downside beta 증가 하드 게이트,,DQ WARN non-blocking - FXY: fx_missing_warn,,0.1,집중위험 완화 중 - 005930.KS 39.84% -> 36.45% (기준 20.0% 초과); 집중위험 완화 중 - 035420.KS 20.62% -> 18.87% (기준 20.0% 초과); 집중위험 완화 중 - NVDA 26.54% -> 24.29% (기준 20.0% 초과),0.9,0.532551,0.507981,0.587345,0.551578,-0.02457,-0.035767,0.52457,0.02457,0.0,0.0,1.0,growth_beta|korea_domestic_credit|korea_equity|krw_exposure|usdkrw_fx_korea|semiconductor_ai_cycle,defensive_equity|fx_hedge|growth_beta_offset|low_volatility|rate_shock_growth_duration|recession_liquidity_stress|semiconductor_ai_cycle|usdkrw_fx_korea|yen,N,N,N,C,scenario_vulnerability_reducer,hedge_candidate,FXY: 핵심 취약점 직접 완화 후보 | SPLV: 핵심 취약점 직접 완화 후보,"달러강세/원화약세장, 중국·무역분절 충격장, 장기금리 부담장 기준 취약도를 낮추는 후보입니다.",0.718649,"핵심 취약점 직접 완화, 유동성 양호, Stress 방어 / 달러강세/원화약세장, 중국·무역분절 충격장, 장기금리 부담장 기준 취약도를 낮추는 후보입니다.","{""NVDA"": 24.2866, ""005930.KS"": 36.4473, ""035420.KS"": 18.8699, ""035720.KS"": 11.8906, ""FXY"": 3.2404, ""SPLV"": 4.0919, ""__CASH__"": 1.1732}"
BTAL + FXF,equity_etf|fx_etf,metadata_direct_match,FAIL,FAIL: 예산 부족 - FXF 1주 매수 불가,9.296263,230332.0,,,,2,exact_equal_shares,,exact KRW budget uses whole-share equal allocation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FAIL_GATE,FAIL: 예산 부족 - FXF 1주 매수 불가,,,,0.0,집중위험 완화 중 - 005930.KS 39.84% -> 0.00% (기준 20.0% 초과); 집중위험 완화 중 - 035420.KS 20.62% -> 0.00% (기준 20.0% 초과); 집중위험 완화 중 - NVDA 26.54% -> 0.00% (기준 20.0% 초과),1.0,,,,,,,,,,,,,,,,,,,,,,0.2,"DQ confidence, 핵심 취약점 직접 완화",{}
