candidate_combo,candidate_bucket_combo,risk_bucket_match,status,message,hedge_budget_pct,hedge_budget_krw,hedge_invested_krw,hedge_cash_left_krw,hedge_share_counts,combo_size,allocation_method,allocation_weights,allocation_objective_reason,base_vol_annual,proposed_vol_annual,base_mdd,proposed_mdd,base_cvar_95,proposed_cvar_95,base_annual_return_krw,proposed_annual_return_krw,base_sharpe_krw_proxy,proposed_sharpe_krw_proxy,base_stress_avg_ret_krw,proposed_stress_avg_ret_krw,base_corr_sp500_krw,proposed_corr_sp500_krw,base_beta_sp500_krw,proposed_beta_sp500_krw,base_downside_beta_sp500_krw,proposed_downside_beta_sp500_krw,base_corr_kospi200_krw,proposed_corr_kospi200_krw,vol_improve_pct,mdd_improve_pct,cvar_improve_pct,stress_improve,corr_improve,beta_improve,exposure_improve,sharpe_improve,sharpe_improve_pct,annual_return_improve,annual_return_improve_pct,downside_beta_improve,kospi_corr_improve,combo_min_adv_60,score_component_cvar,score_component_mdd,score_component_stress,score_component_exposure,score_component_sharpe,score_component_liquidity,score_component_scenario,score_component_concentration,recommendation_status,gate_fail_reasons,reference_reason,dq_warning_reasons,dq_blocking_reasons,dq_penalty,concentration_warning,recommendation_confidence_score,base_scenario_vulnerability,proposed_scenario_vulnerability,base_gate_vulnerability,proposed_gate_vulnerability,scenario_vulnerability_delta,gate_vulnerability_delta,scenario_score_component,scenario_vulnerability_reduction,adverse_scenario_penalty,factor_concentration_penalty,direct_vulnerability_match_score,portfolio_vulnerability_tags,candidate_vulnerability_tags,generic_safe_asset_flag,cash_like_flag,benchmark_role_default,max_grade_without_direct_match,recommended_role,candidate_role,candidate_role_reason_ko,scenario_reason_ko,final_score,recommendation_reason,weights_snapshot,backtest_gate_status,backtest_total_evaluated_count,backtest_total_worsened_count,backtest_target_evaluated_count,backtest_target_improved_count,backtest_target_mixed_count,backtest_target_worsened_count,backtest_target_insufficient_history_count,backtest_target_beats_cash_count,backtest_target_mixed_cash_count,backtest_target_lags_cash_count,backtest_target_bootstrap_count,backtest_target_bootstrap_robust_count,backtest_target_bootstrap_uncertain_count,backtest_target_bootstrap_min_p_improve,backtest_target_bootstrap_avg_p_improve,backtest_target_cash_bootstrap_count,backtest_target_cash_bootstrap_robust_count,backtest_target_cash_bootstrap_uncertain_count,backtest_target_cash_bootstrap_min_p_improve,backtest_target_cash_bootstrap_avg_p_improve,backtest_target_avg_cash_net_stress_delta,backtest_target_min_cash_net_stress_delta,backtest_target_avg_cash_net_mdd_delta,backtest_target_min_cash_net_mdd_delta,backtest_target_avg_cash_net_cvar_delta,backtest_target_min_cash_net_cvar_delta,backtest_target_max_turnover,backtest_context_worsened_count,backtest_evaluated_count,backtest_improved_count,backtest_mixed_count,backtest_worsened_count,backtest_insufficient_history_count,backtest_reason,liquidity_order_notional_krw,liquidity_adv_usage_pct,liquidity_capacity_status,formal_gate_blockers,formal_gate_blocker_count,formal_gate_blocker_summary,user_recommendation_label,active_adverse_scenarios
261240.KS + 005380.KS,kr_etf|kr_stock,metadata_direct_match|usd_strength_krw_weakness,FAIL,FAIL: 예산 부족 - 005380.KS 1주 매수 불가,10.010133,230332.0,,,,2,exact_equal_shares,,exact KRW budget uses whole-share equal allocation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FAIL_GATE,FAIL: 예산 부족 - 005380.KS 1주 매수 불가,,,,0.0,집중위험 완화 중 - 005930.KS 39.44% -> 0.00% (기준 20.0% 초과); 집중위험 완화 중 - NVDA 27.57% -> 0.00% (기준 20.0% 초과),1.0,,,,,,,,,,,,,,,,,,,,,,0.2,"DQ confidence, 핵심 취약점 직접 완화",{},VALIDATION_NOT_ELIGIBLE,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,,,,,,,,,,0,0,0,0,0,0,candidate was not eligible for the bounded scenario backtest run,230332.0,,MISSING_ADV,fail_gate|validation_not_eligible|liquidity_below_formal,3,하드 게이트 실패 - Do not promote until the failing gate is resolved.; validation not eligible - Keep blocked or rebuild the candidate with valid backtest inputs.; 유동성 기준 미달 - Refresh ADV evidence or exclude the candidate from formal recommendations.,기준 미통과,metadata_direct_match|usd_strength_krw_weakness
261240.KS + 017670.KS,kr_etf|kr_stock,metadata_direct_match|usd_strength_krw_weakness,PASS,PASS,10.010133,230332.0,216670.0,13662.0,"{""261240.KS"": 7, ""017670.KS"": 1}",2,exact_equal_shares,,exact KRW budget uses whole-share equal allocation,0.263436,0.241486,-0.469198,-0.434325,-0.034772,-0.03178,0.319396,0.28509,1.098543,1.056336,-0.005529,-0.004977,0.282644,0.285853,0.476038,0.432467,0.505081,0.46282,0.862216,0.85973,8.332272,7.43248,8.604785,0.000552,-0.003209,0.043571,0.043571,-0.042207,-3.842113,-0.034306,-10.740813,0.042261,0.002486,1950302285.583333,0.370057,0.705184,0.223435,0.0,1.0,0.0,0.533135,0.5,REFERENCE_ONLY,,annual return drag soft warning; 261240.KS: 핵심 취약점 직접 완화 후보 | 017670.KS: 장세 해석용 자산으로 기본 헤지 후보에서 제외,DQ WARN non-blocking - 261240.KS: calendar_coverage_warn; DQ WARN non-blocking - 017670.KS: calendar_coverage_warn,,0.1,집중위험 완화 중 - 005930.KS 39.44% -> 35.85% (기준 20.0% 초과); 집중위험 완화 중 - NVDA 27.57% -> 25.06% (기준 20.0% 초과),0.9,0.614598,0.581463,0.623823,0.590055,-0.033135,-0.033767,0.533135,0.033135,0.0,0.0,1.0,growth_beta|korea_domestic_credit|korea_equity|krw_exposure|usdkrw_fx_korea|semiconductor_ai_cycle,defensive_equity|korea_domestic_credit|korea_equity|krw_weakness|recession_liquidity_stress|usd_hedge|usdkrw_fx_korea,N,N,N,C,scenario_vulnerability_reducer,mixed_candidate_roles,261240.KS: 핵심 취약점 직접 완화 후보 | 017670.KS: 장세 해석용 자산으로 기본 헤지 후보에서 제외,"달러강세/원화약세장, 중국·무역분절 충격장, 급성 리스크오프/유동성 경색장 기준 취약도를 낮추는 후보입니다.",0.64531,"핵심 취약점 직접 완화, Sharpe 개선, Return drag control / 달러강세/원화약세장, 중국·무역분절 충격장, 급성 리스크오프/유동성 경색장 기준 취약도를 낮추는 후보입니다.","{""NVDA"": 25.0576, ""005930.KS"": 35.8509, ""035420.KS"": 17.9353, ""035720.KS"": 12.0569, ""261240.KS"": 4.2891, ""017670.KS"": 4.2705, ""__CASH__"": 0.5397}",VALIDATION_THIN,9,0,1,1,0,0,0,1,0,0,1,0,1,0.95,0.95,1,0,1,0.605,0.605,0.001086,0.001086,0.001013,0.001013,0.00033,0.00033,0.090993,0,1,1,0,0,0,target-scenario backtest has only 1 evaluated stress case; 표본 부족,216670.0,0.0111,ORDER_SIZE_ADV_USAGE_OK,validation_thin|bootstrap_not_robust|cash_bootstrap_not_robust|return_drag_reference|reference_only,5,"검증 표본 부족 - Keep review-only until the stress sample is thick enough.; 부트스트랩 신뢰도 부족 - Increase sample coverage or downgrade fragile candidates.; 현금 기준 부트스트랩 부족 - Add stronger cash-baseline evidence before formal use.; 수익률 훼손 검토 필요 - Confirm risk reduction compensates for return drag before promotion.; 참고 후보 - Use as research context, not an execution recommendation.",참고용 후보,metadata_direct_match|usd_strength_krw_weakness
261240.KS + 000270.KS,kr_etf|kr_stock,metadata_direct_match|usd_strength_krw_weakness,FAIL,FAIL: 예산 부족 - 000270.KS 1주 매수 불가,10.010133,230332.0,,,,2,exact_equal_shares,,exact KRW budget uses whole-share equal allocation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FAIL_GATE,FAIL: 예산 부족 - 000270.KS 1주 매수 불가,,,,0.0,집중위험 완화 중 - 005930.KS 39.44% -> 0.00% (기준 20.0% 초과); 집중위험 완화 중 - NVDA 27.57% -> 0.00% (기준 20.0% 초과),1.0,,,,,,,,,,,,,,,,,,,,,,0.2,"DQ confidence, 핵심 취약점 직접 완화",{},VALIDATION_NOT_ELIGIBLE,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,,,,,,,,,,0,0,0,0,0,0,candidate was not eligible for the bounded scenario backtest run,230332.0,,MISSING_ADV,fail_gate|validation_not_eligible|liquidity_below_formal,3,하드 게이트 실패 - Do not promote until the failing gate is resolved.; validation not eligible - Keep blocked or rebuild the candidate with valid backtest inputs.; 유동성 기준 미달 - Refresh ADV evidence or exclude the candidate from formal recommendations.,기준 미통과,metadata_direct_match|usd_strength_krw_weakness
261240.KS + 105560.KS,kr_etf|kr_stock,metadata_direct_match|usd_strength_krw_weakness,FAIL,FAIL: 예산 부족 - 105560.KS 1주 매수 불가,10.010133,230332.0,,,,2,exact_equal_shares,,exact KRW budget uses whole-share equal allocation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FAIL_GATE,FAIL: 예산 부족 - 105560.KS 1주 매수 불가,,,,0.0,집중위험 완화 중 - 005930.KS 39.44% -> 0.00% (기준 20.0% 초과); 집중위험 완화 중 - NVDA 27.57% -> 0.00% (기준 20.0% 초과),1.0,,,,,,,,,,,,,,,,,,,,,,0.2,"DQ confidence, 핵심 취약점 직접 완화",{},VALIDATION_NOT_ELIGIBLE,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,,,,,,,,,,0,0,0,0,0,0,candidate was not eligible for the bounded scenario backtest run,230332.0,,MISSING_ADV,fail_gate|validation_not_eligible|liquidity_below_formal,3,하드 게이트 실패 - Do not promote until the failing gate is resolved.; validation not eligible - Keep blocked or rebuild the candidate with valid backtest inputs.; 유동성 기준 미달 - Refresh ADV evidence or exclude the candidate from formal recommendations.,기준 미통과,metadata_direct_match|usd_strength_krw_weakness
153130.KS + 005380.KS,kr_etf|kr_stock,metadata_direct_match,FAIL,FAIL: 예산 부족 - 005380.KS 1주 매수 불가,10.010133,230332.0,,,,2,exact_equal_shares,,exact KRW budget uses whole-share equal allocation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FAIL_GATE,FAIL: 예산 부족 - 005380.KS 1주 매수 불가,,,,0.0,집중위험 완화 중 - 005930.KS 39.44% -> 0.00% (기준 20.0% 초과); 집중위험 완화 중 - NVDA 27.57% -> 0.00% (기준 20.0% 초과),1.0,,,,,,,,,,,,,,,,,,,,,,0.2,"DQ confidence, 핵심 취약점 직접 완화",{},VALIDATION_NOT_ELIGIBLE,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,,,,,,,,,,0,0,0,0,0,0,candidate was not eligible for the bounded scenario backtest run,230332.0,,MISSING_ADV,fail_gate|validation_not_eligible|liquidity_below_formal,3,하드 게이트 실패 - Do not promote until the failing gate is resolved.; validation not eligible - Keep blocked or rebuild the candidate with valid backtest inputs.; 유동성 기준 미달 - Refresh ADV evidence or exclude the candidate from formal recommendations.,기준 미통과,metadata_direct_match
153130.KS + 017670.KS,kr_etf|kr_stock,metadata_direct_match,PASS,PASS,10.010133,230332.0,221395.0,8937.0,"{""153130.KS"": 1, ""017670.KS"": 1}",2,exact_equal_shares,,exact KRW budget uses whole-share equal allocation,0.263436,0.242884,-0.469198,-0.43905,-0.034772,-0.032,0.319396,0.280022,1.098543,1.02939,-0.005529,-0.00502,0.282644,0.282598,0.476038,0.427772,0.505081,0.458998,0.862216,0.862086,7.801582,6.425551,7.972629,0.000509,4.6e-05,0.048267,0.048267,-0.069154,-6.295042,-0.039374,-12.327584,0.046083,0.00013,3888598162.863109,0.227273,0.255128,0.097332,0.536637,0.349402,0.015038,0.532766,0.5,REFERENCE_ONLY,,Sharpe soft warning; annual return drag soft warning; 153130.KS: 범용 방어 benchmark입니다 | 017670.KS: 장세 해석용 자산으로 기본 헤지 후보에서 제외,DQ WARN non-blocking - 153130.KS: calendar_coverage_warn; DQ WARN non-blocking - 017670.KS: calendar_coverage_warn,,0.1,집중위험 완화 중 - 005930.KS 39.44% -> 35.85% (기준 20.0% 초과); 집중위험 완화 중 - NVDA 27.57% -> 25.06% (기준 20.0% 초과),0.9,0.614598,0.581832,0.623823,0.593991,-0.032766,-0.029832,0.532766,0.032766,0.0,0.0,1.0,growth_beta|korea_domestic_credit|korea_equity|krw_exposure|usdkrw_fx_korea|semiconductor_ai_cycle,cash_like|defensive_equity|korea_domestic_credit|korea_equity|kr_short_bond|rate_shock_growth_duration|recession_liquidity_stress|usdkrw_fx_korea,N,Y,N,C,scenario_vulnerability_reducer,mixed_candidate_roles,153130.KS: 범용 방어 benchmark입니다 | 017670.KS: 장세 해석용 자산으로 기본 헤지 후보에서 제외,"달러강세/원화약세장, 중국·무역분절 충격장, 급성 리스크오프/유동성 경색장 기준 취약도를 낮추는 후보입니다.",0.552461,"핵심 취약점 직접 완화, Return drag control, 노출(beta/corr) 감소 / 달러강세/원화약세장, 중국·무역분절 충격장, 급성 리스크오프/유동성 경색장 기준 취약도를 낮추는 후보입니다.","{""NVDA"": 25.0576, ""005930.KS"": 35.8509, ""035420.KS"": 17.9353, ""035720.KS"": 12.0569, ""153130.KS"": 4.4757, ""017670.KS"": 4.2705, ""__CASH__"": 0.3531}",VALIDATION_INSUFFICIENT,9,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,,,,,,,,,,0,0,0,0,0,0,target-scenario historical validation has insufficient history; 검증 부족,221395.0,0.0057,ORDER_SIZE_ADV_USAGE_OK,validation_insufficient|return_drag_reference|reference_only,3,"검증 이력 부족 - Add enough target stress validation history before formal promotion.; 수익률 훼손 검토 필요 - Confirm risk reduction compensates for return drag before promotion.; 참고 후보 - Use as research context, not an execution recommendation.",참고용 후보,metadata_direct_match
153130.KS + 000270.KS,kr_etf|kr_stock,metadata_direct_match,FAIL,FAIL: 예산 부족 - 000270.KS 1주 매수 불가,10.010133,230332.0,,,,2,exact_equal_shares,,exact KRW budget uses whole-share equal allocation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FAIL_GATE,FAIL: 예산 부족 - 000270.KS 1주 매수 불가,,,,0.0,집중위험 완화 중 - 005930.KS 39.44% -> 0.00% (기준 20.0% 초과); 집중위험 완화 중 - NVDA 27.57% -> 0.00% (기준 20.0% 초과),1.0,,,,,,,,,,,,,,,,,,,,,,0.2,"DQ confidence, 핵심 취약점 직접 완화",{},VALIDATION_NOT_ELIGIBLE,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,,,,,,,,,,0,0,0,0,0,0,candidate was not eligible for the bounded scenario backtest run,230332.0,,MISSING_ADV,fail_gate|validation_not_eligible|liquidity_below_formal,3,하드 게이트 실패 - Do not promote until the failing gate is resolved.; validation not eligible - Keep blocked or rebuild the candidate with valid backtest inputs.; 유동성 기준 미달 - Refresh ADV evidence or exclude the candidate from formal recommendations.,기준 미통과,metadata_direct_match
153130.KS + 105560.KS,kr_etf|kr_stock,metadata_direct_match,FAIL,FAIL: 예산 부족 - 105560.KS 1주 매수 불가,10.010133,230332.0,,,,2,exact_equal_shares,,exact KRW budget uses whole-share equal allocation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FAIL_GATE,FAIL: 예산 부족 - 105560.KS 1주 매수 불가,,,,0.0,집중위험 완화 중 - 005930.KS 39.44% -> 0.00% (기준 20.0% 초과); 집중위험 완화 중 - NVDA 27.57% -> 0.00% (기준 20.0% 초과),1.0,,,,,,,,,,,,,,,,,,,,,,0.2,"DQ confidence, 핵심 취약점 직접 완화",{},VALIDATION_NOT_ELIGIBLE,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,,,,,,,,,,0,0,0,0,0,0,candidate was not eligible for the bounded scenario backtest run,230332.0,,MISSING_ADV,fail_gate|validation_not_eligible|liquidity_below_formal,3,하드 게이트 실패 - Do not promote until the failing gate is resolved.; validation not eligible - Keep blocked or rebuild the candidate with valid backtest inputs.; 유동성 기준 미달 - Refresh ADV evidence or exclude the candidate from formal recommendations.,기준 미통과,metadata_direct_match
132030.KS + 005380.KS,kr_etf|kr_stock,metadata_direct_match,FAIL,FAIL: 예산 부족 - 005380.KS 1주 매수 불가,10.010133,230332.0,,,,2,exact_equal_shares,,exact KRW budget uses whole-share equal allocation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FAIL_GATE,FAIL: 예산 부족 - 005380.KS 1주 매수 불가,,,,0.0,집중위험 완화 중 - 005930.KS 39.44% -> 0.00% (기준 20.0% 초과); 집중위험 완화 중 - NVDA 27.57% -> 0.00% (기준 20.0% 초과),1.0,,,,,,,,,,,,,,,,,,,,,,0.2,"DQ confidence, 핵심 취약점 직접 완화",{},VALIDATION_NOT_ELIGIBLE,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,,,,,,,,,,0,0,0,0,0,0,candidate was not eligible for the bounded scenario backtest run,230332.0,,MISSING_ADV,fail_gate|validation_not_eligible|liquidity_below_formal,3,하드 게이트 실패 - Do not promote until the failing gate is resolved.; validation not eligible - Keep blocked or rebuild the candidate with valid backtest inputs.; 유동성 기준 미달 - Refresh ADV evidence or exclude the candidate from formal recommendations.,기준 미통과,metadata_direct_match
132030.KS + 017670.KS,kr_etf|kr_stock,metadata_direct_match,PASS,PASS,10.010133,230332.0,206200.0,24132.0,"{""132030.KS"": 4, ""017670.KS"": 1}",2,exact_equal_shares,,exact KRW budget uses whole-share equal allocation,0.263436,0.244454,-0.469198,-0.441728,-0.034772,-0.03235,0.319396,0.284327,1.098543,1.040389,-0.005529,-0.005053,0.282644,0.278026,0.476038,0.423717,0.505081,0.452887,0.862216,0.865559,7.205721,5.854745,6.966411,0.000476,0.004617,0.052321,0.052321,-0.058154,-5.293746,-0.035069,-10.979803,0.052193,-0.003343,5701084328.5,0.0,0.0,0.0,1.0,0.614979,0.029101,0.530542,0.5,REFERENCE_ONLY,,Sharpe soft warning; annual return drag soft warning; 132030.KS: 범용 방어 benchmark입니다 | 017670.KS: 장세 해석용 자산으로 기본 헤지 후보에서 제외,DQ WARN non-blocking - 132030.KS: calendar_coverage_warn; DQ WARN non-blocking - 017670.KS: calendar_coverage_warn,,0.1,집중위험 완화 중 - 005930.KS 39.44% -> 35.85% (기준 20.0% 초과); 집중위험 완화 중 - NVDA 27.57% -> 25.06% (기준 20.0% 초과),0.9,0.614598,0.584056,0.623823,0.593766,-0.030542,-0.030057,0.530542,0.030542,0.0,0.0,1.0,growth_beta|korea_domestic_credit|korea_equity|krw_exposure|usdkrw_fx_korea|semiconductor_ai_cycle,defensive_equity|geopolitical_supply_chain|gold|inflation_energy_shock|korea_domestic_credit|korea_equity|kr_listed|recession_liquidity_stress|usdkrw_fx_korea,N,N,N,C,scenario_vulnerability_reducer,mixed_candidate_roles,132030.KS: 범용 방어 benchmark입니다 | 017670.KS: 장세 해석용 자산으로 기본 헤지 후보에서 제외,"달러강세/원화약세장, 중국·무역분절 충격장, 급성 리스크오프/유동성 경색장 기준 취약도를 낮추는 후보입니다.",0.509956,"핵심 취약점 직접 완화, 노출(beta/corr) 감소, Downside beta reduction / 달러강세/원화약세장, 중국·무역분절 충격장, 급성 리스크오프/유동성 경색장 기준 취약도를 낮추는 후보입니다.","{""NVDA"": 25.0576, ""005930.KS"": 35.8509, ""035420.KS"": 17.9353, ""035720.KS"": 12.0569, ""132030.KS"": 3.8754, ""017670.KS"": 4.2705, ""__CASH__"": 0.9533}",VALIDATION_INSUFFICIENT,9,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,,,,,,,,,,0,0,0,0,0,0,target-scenario historical validation has insufficient history; 검증 부족,206200.0,0.0036,ORDER_SIZE_ADV_USAGE_OK,validation_insufficient|return_drag_reference|reference_only,3,"검증 이력 부족 - Add enough target stress validation history before formal promotion.; 수익률 훼손 검토 필요 - Confirm risk reduction compensates for return drag before promotion.; 참고 후보 - Use as research context, not an execution recommendation.",참고용 후보,metadata_direct_match
