candidate_combo,candidate_bucket_combo,risk_bucket_match,status,message,hedge_budget_pct,hedge_budget_krw,hedge_invested_krw,hedge_cash_left_krw,hedge_share_counts,combo_size,allocation_method,allocation_weights,allocation_objective_reason,base_vol_annual,proposed_vol_annual,base_mdd,proposed_mdd,base_cvar_95,proposed_cvar_95,base_annual_return_krw,proposed_annual_return_krw,base_sharpe_krw_proxy,proposed_sharpe_krw_proxy,base_stress_avg_ret_krw,proposed_stress_avg_ret_krw,base_corr_sp500_krw,proposed_corr_sp500_krw,base_beta_sp500_krw,proposed_beta_sp500_krw,base_downside_beta_sp500_krw,proposed_downside_beta_sp500_krw,base_corr_kospi200_krw,proposed_corr_kospi200_krw,vol_improve_pct,mdd_improve_pct,cvar_improve_pct,stress_improve,corr_improve,beta_improve,exposure_improve,sharpe_improve,sharpe_improve_pct,annual_return_improve,annual_return_improve_pct,downside_beta_improve,kospi_corr_improve,combo_min_adv_60,score_component_cvar,score_component_mdd,score_component_stress,score_component_exposure,score_component_sharpe,score_component_liquidity,score_component_scenario,score_component_concentration,recommendation_status,gate_fail_reasons,reference_reason,dq_warning_reasons,dq_blocking_reasons,dq_penalty,concentration_warning,recommendation_confidence_score,base_scenario_vulnerability,proposed_scenario_vulnerability,base_gate_vulnerability,proposed_gate_vulnerability,scenario_vulnerability_delta,gate_vulnerability_delta,scenario_score_component,scenario_vulnerability_reduction,adverse_scenario_penalty,factor_concentration_penalty,direct_vulnerability_match_score,portfolio_vulnerability_tags,candidate_vulnerability_tags,generic_safe_asset_flag,cash_like_flag,benchmark_role_default,max_grade_without_direct_match,recommended_role,candidate_role,candidate_role_reason_ko,scenario_reason_ko,final_score,recommendation_reason,weights_snapshot,backtest_gate_status,backtest_total_evaluated_count,backtest_total_worsened_count,backtest_target_evaluated_count,backtest_target_improved_count,backtest_target_mixed_count,backtest_target_worsened_count,backtest_target_insufficient_history_count,backtest_target_beats_cash_count,backtest_target_mixed_cash_count,backtest_target_lags_cash_count,backtest_target_bootstrap_count,backtest_target_bootstrap_robust_count,backtest_target_bootstrap_uncertain_count,backtest_target_bootstrap_min_p_improve,backtest_target_bootstrap_avg_p_improve,backtest_target_cash_bootstrap_count,backtest_target_cash_bootstrap_robust_count,backtest_target_cash_bootstrap_uncertain_count,backtest_target_cash_bootstrap_min_p_improve,backtest_target_cash_bootstrap_avg_p_improve,backtest_target_avg_cash_net_stress_delta,backtest_target_min_cash_net_stress_delta,backtest_target_avg_cash_net_mdd_delta,backtest_target_min_cash_net_mdd_delta,backtest_target_avg_cash_net_cvar_delta,backtest_target_min_cash_net_cvar_delta,backtest_target_max_turnover,backtest_context_worsened_count,backtest_evaluated_count,backtest_improved_count,backtest_mixed_count,backtest_worsened_count,backtest_insufficient_history_count,backtest_reason,liquidity_order_notional_krw,liquidity_adv_usage_pct,liquidity_capacity_status,formal_gate_blockers,formal_gate_blocker_count,formal_gate_blocker_summary,user_recommendation_label,active_adverse_scenarios
153130.KS + 017670.KS,kr_etf|kr_stock,metadata_direct_match,FAIL,FAIL: 예산 부족 - 153130.KS 1주 매수 불가,2.906201,167099.0,,,,2,exact_equal_shares,,exact KRW budget uses whole-share equal allocation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FAIL_GATE,FAIL: 예산 부족 - 153130.KS 1주 매수 불가,,,,0.0,집중위험 완화 중 - AAPL 38.29% -> 0.00% (기준 20.0% 초과); 집중위험 완화 중 - GLD 40.35% -> 0.00% (기준 20.0% 초과); 집중위험 완화 중 - MSFT 21.35% -> 0.00% (기준 20.0% 초과),1.0,,,,,,,,,,,,,,,,,,,,,,0.1,"DQ confidence, 핵심 취약점 직접 완화",{},VALIDATION_NOT_ELIGIBLE,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,,,,,,,,,,0,0,0,0,0,0,candidate was not eligible for the bounded scenario backtest run,167099.0,,MISSING_ADV,fail_gate|validation_not_eligible|liquidity_below_formal,3,하드 게이트 실패 - Do not promote until the failing gate is resolved.; validation not eligible - Keep blocked or rebuild the candidate with valid backtest inputs.; 유동성 기준 미달 - Refresh ADV evidence or exclude the candidate from formal recommendations.,기준 미통과,metadata_direct_match
153130.KS + 005930.KS,kr_etf|kr_stock,metadata_direct_match,FAIL,FAIL: 예산 부족 - 153130.KS 1주 매수 불가,2.906201,167099.0,,,,2,exact_equal_shares,,exact KRW budget uses whole-share equal allocation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FAIL_GATE,FAIL: 예산 부족 - 153130.KS 1주 매수 불가,,,,0.0,집중위험 완화 중 - AAPL 38.29% -> 0.00% (기준 20.0% 초과); 집중위험 완화 중 - GLD 40.35% -> 0.00% (기준 20.0% 초과); 집중위험 완화 중 - MSFT 21.35% -> 0.00% (기준 20.0% 초과),1.0,,,,,,,,,,,,,,,,,,,,,,0.1,"DQ confidence, 핵심 취약점 직접 완화",{},VALIDATION_NOT_ELIGIBLE,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,,,,,,,,,,0,0,0,0,0,0,candidate was not eligible for the bounded scenario backtest run,167099.0,,MISSING_ADV,fail_gate|validation_not_eligible|liquidity_below_formal,3,하드 게이트 실패 - Do not promote until the failing gate is resolved.; validation not eligible - Keep blocked or rebuild the candidate with valid backtest inputs.; 유동성 기준 미달 - Refresh ADV evidence or exclude the candidate from formal recommendations.,기준 미통과,metadata_direct_match
153130.KS + 105560.KS,kr_etf|kr_stock,metadata_direct_match,FAIL,FAIL: 예산 부족 - 153130.KS 1주 매수 불가,2.906201,167099.0,,,,2,exact_equal_shares,,exact KRW budget uses whole-share equal allocation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FAIL_GATE,FAIL: 예산 부족 - 153130.KS 1주 매수 불가,,,,0.0,집중위험 완화 중 - AAPL 38.29% -> 0.00% (기준 20.0% 초과); 집중위험 완화 중 - GLD 40.35% -> 0.00% (기준 20.0% 초과); 집중위험 완화 중 - MSFT 21.35% -> 0.00% (기준 20.0% 초과),1.0,,,,,,,,,,,,,,,,,,,,,,0.1,"DQ confidence, 핵심 취약점 직접 완화",{},VALIDATION_NOT_ELIGIBLE,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,,,,,,,,,,0,0,0,0,0,0,candidate was not eligible for the bounded scenario backtest run,167099.0,,MISSING_ADV,fail_gate|validation_not_eligible|liquidity_below_formal,3,하드 게이트 실패 - Do not promote until the failing gate is resolved.; validation not eligible - Keep blocked or rebuild the candidate with valid backtest inputs.; 유동성 기준 미달 - Refresh ADV evidence or exclude the candidate from formal recommendations.,기준 미통과,metadata_direct_match
153130.KS + 000810.KS,kr_etf|kr_stock,metadata_direct_match,FAIL,FAIL: 예산 부족 - 153130.KS 1주 매수 불가,2.906201,167099.0,,,,2,exact_equal_shares,,exact KRW budget uses whole-share equal allocation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FAIL_GATE,FAIL: 예산 부족 - 153130.KS 1주 매수 불가,,,,0.0,집중위험 완화 중 - AAPL 38.29% -> 0.00% (기준 20.0% 초과); 집중위험 완화 중 - GLD 40.35% -> 0.00% (기준 20.0% 초과); 집중위험 완화 중 - MSFT 21.35% -> 0.00% (기준 20.0% 초과),1.0,,,,,,,,,,,,,,,,,,,,,,0.1,"DQ confidence, 핵심 취약점 직접 완화",{},VALIDATION_NOT_ELIGIBLE,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,,,,,,,,,,0,0,0,0,0,0,candidate was not eligible for the bounded scenario backtest run,167099.0,,MISSING_ADV,fail_gate|validation_not_eligible|liquidity_below_formal,3,하드 게이트 실패 - Do not promote until the failing gate is resolved.; validation not eligible - Keep blocked or rebuild the candidate with valid backtest inputs.; 유동성 기준 미달 - Refresh ADV evidence or exclude the candidate from formal recommendations.,기준 미통과,metadata_direct_match
153130.KS + 032830.KS,kr_etf|kr_stock,metadata_direct_match,FAIL,FAIL: 예산 부족 - 153130.KS 1주 매수 불가,2.906201,167099.0,,,,2,exact_equal_shares,,exact KRW budget uses whole-share equal allocation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FAIL_GATE,FAIL: 예산 부족 - 153130.KS 1주 매수 불가,,,,0.0,집중위험 완화 중 - AAPL 38.29% -> 0.00% (기준 20.0% 초과); 집중위험 완화 중 - GLD 40.35% -> 0.00% (기준 20.0% 초과); 집중위험 완화 중 - MSFT 21.35% -> 0.00% (기준 20.0% 초과),1.0,,,,,,,,,,,,,,,,,,,,,,0.1,"DQ confidence, 핵심 취약점 직접 완화",{},VALIDATION_NOT_ELIGIBLE,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,,,,,,,,,,0,0,0,0,0,0,candidate was not eligible for the bounded scenario backtest run,167099.0,,MISSING_ADV,fail_gate|validation_not_eligible|liquidity_below_formal,3,하드 게이트 실패 - Do not promote until the failing gate is resolved.; validation not eligible - Keep blocked or rebuild the candidate with valid backtest inputs.; 유동성 기준 미달 - Refresh ADV evidence or exclude the candidate from formal recommendations.,기준 미통과,metadata_direct_match
132030.KS + 017670.KS,kr_etf|kr_stock,metadata_direct_match,FAIL,FAIL: 예산 부족 - 017670.KS 1주 매수 불가,2.906201,167099.0,,,,2,exact_equal_shares,,exact KRW budget uses whole-share equal allocation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FAIL_GATE,FAIL: 예산 부족 - 017670.KS 1주 매수 불가,,,,0.0,집중위험 완화 중 - AAPL 38.29% -> 0.00% (기준 20.0% 초과); 집중위험 완화 중 - GLD 40.35% -> 0.00% (기준 20.0% 초과); 집중위험 완화 중 - MSFT 21.35% -> 0.00% (기준 20.0% 초과),1.0,,,,,,,,,,,,,,,,,,,,,,0.1,"DQ confidence, 핵심 취약점 직접 완화",{},VALIDATION_NOT_ELIGIBLE,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,,,,,,,,,,0,0,0,0,0,0,candidate was not eligible for the bounded scenario backtest run,167099.0,,MISSING_ADV,fail_gate|validation_not_eligible|liquidity_below_formal,3,하드 게이트 실패 - Do not promote until the failing gate is resolved.; validation not eligible - Keep blocked or rebuild the candidate with valid backtest inputs.; 유동성 기준 미달 - Refresh ADV evidence or exclude the candidate from formal recommendations.,기준 미통과,metadata_direct_match
132030.KS + 005930.KS,kr_etf|kr_stock,metadata_direct_match,FAIL,FAIL: 예산 부족 - 005930.KS 1주 매수 불가,2.906201,167099.0,,,,2,exact_equal_shares,,exact KRW budget uses whole-share equal allocation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FAIL_GATE,FAIL: 예산 부족 - 005930.KS 1주 매수 불가,,,,0.0,집중위험 완화 중 - AAPL 38.29% -> 0.00% (기준 20.0% 초과); 집중위험 완화 중 - GLD 40.35% -> 0.00% (기준 20.0% 초과); 집중위험 완화 중 - MSFT 21.35% -> 0.00% (기준 20.0% 초과),1.0,,,,,,,,,,,,,,,,,,,,,,0.1,"DQ confidence, 핵심 취약점 직접 완화",{},VALIDATION_NOT_ELIGIBLE,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,,,,,,,,,,0,0,0,0,0,0,candidate was not eligible for the bounded scenario backtest run,167099.0,,MISSING_ADV,fail_gate|validation_not_eligible|liquidity_below_formal,3,하드 게이트 실패 - Do not promote until the failing gate is resolved.; validation not eligible - Keep blocked or rebuild the candidate with valid backtest inputs.; 유동성 기준 미달 - Refresh ADV evidence or exclude the candidate from formal recommendations.,기준 미통과,metadata_direct_match
132030.KS + 105560.KS,kr_etf|kr_stock,metadata_direct_match,FAIL,FAIL: 예산 부족 - 105560.KS 1주 매수 불가,2.906201,167099.0,,,,2,exact_equal_shares,,exact KRW budget uses whole-share equal allocation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FAIL_GATE,FAIL: 예산 부족 - 105560.KS 1주 매수 불가,,,,0.0,집중위험 완화 중 - AAPL 38.29% -> 0.00% (기준 20.0% 초과); 집중위험 완화 중 - GLD 40.35% -> 0.00% (기준 20.0% 초과); 집중위험 완화 중 - MSFT 21.35% -> 0.00% (기준 20.0% 초과),1.0,,,,,,,,,,,,,,,,,,,,,,0.1,"DQ confidence, 핵심 취약점 직접 완화",{},VALIDATION_NOT_ELIGIBLE,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,,,,,,,,,,0,0,0,0,0,0,candidate was not eligible for the bounded scenario backtest run,167099.0,,MISSING_ADV,fail_gate|validation_not_eligible|liquidity_below_formal,3,하드 게이트 실패 - Do not promote until the failing gate is resolved.; validation not eligible - Keep blocked or rebuild the candidate with valid backtest inputs.; 유동성 기준 미달 - Refresh ADV evidence or exclude the candidate from formal recommendations.,기준 미통과,metadata_direct_match
132030.KS + 000810.KS,kr_etf|kr_stock,metadata_direct_match,FAIL,FAIL: 예산 부족 - 000810.KS 1주 매수 불가,2.906201,167099.0,,,,2,exact_equal_shares,,exact KRW budget uses whole-share equal allocation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FAIL_GATE,FAIL: 예산 부족 - 000810.KS 1주 매수 불가,,,,0.0,집중위험 완화 중 - AAPL 38.29% -> 0.00% (기준 20.0% 초과); 집중위험 완화 중 - GLD 40.35% -> 0.00% (기준 20.0% 초과); 집중위험 완화 중 - MSFT 21.35% -> 0.00% (기준 20.0% 초과),1.0,,,,,,,,,,,,,,,,,,,,,,0.1,"DQ confidence, 핵심 취약점 직접 완화",{},VALIDATION_NOT_ELIGIBLE,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,,,,,,,,,,0,0,0,0,0,0,candidate was not eligible for the bounded scenario backtest run,167099.0,,MISSING_ADV,fail_gate|validation_not_eligible|liquidity_below_formal,3,하드 게이트 실패 - Do not promote until the failing gate is resolved.; validation not eligible - Keep blocked or rebuild the candidate with valid backtest inputs.; 유동성 기준 미달 - Refresh ADV evidence or exclude the candidate from formal recommendations.,기준 미통과,metadata_direct_match
132030.KS + 032830.KS,kr_etf|kr_stock,metadata_direct_match,FAIL,FAIL: 예산 부족 - 032830.KS 1주 매수 불가,2.906201,167099.0,,,,2,exact_equal_shares,,exact KRW budget uses whole-share equal allocation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FAIL_GATE,FAIL: 예산 부족 - 032830.KS 1주 매수 불가,,,,0.0,집중위험 완화 중 - AAPL 38.29% -> 0.00% (기준 20.0% 초과); 집중위험 완화 중 - GLD 40.35% -> 0.00% (기준 20.0% 초과); 집중위험 완화 중 - MSFT 21.35% -> 0.00% (기준 20.0% 초과),1.0,,,,,,,,,,,,,,,,,,,,,,0.1,"DQ confidence, 핵심 취약점 직접 완화",{},VALIDATION_NOT_ELIGIBLE,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,,,,,,,,,,0,0,0,0,0,0,candidate was not eligible for the bounded scenario backtest run,167099.0,,MISSING_ADV,fail_gate|validation_not_eligible|liquidity_below_formal,3,하드 게이트 실패 - Do not promote until the failing gate is resolved.; validation not eligible - Keep blocked or rebuild the candidate with valid backtest inputs.; 유동성 기준 미달 - Refresh ADV evidence or exclude the candidate from formal recommendations.,기준 미통과,metadata_direct_match
