date,ticker,value,source
2025-01-31,KR_CREDIT_SPREAD_AA3Y_GOV3Y,0.48,BOK_ECOS_SEED
2025-02-28,KR_CREDIT_SPREAD_AA3Y_GOV3Y,0.50,BOK_ECOS_SEED
2025-03-31,KR_CREDIT_SPREAD_AA3Y_GOV3Y,0.51,BOK_ECOS_SEED
2025-04-30,KR_CREDIT_SPREAD_AA3Y_GOV3Y,0.49,BOK_ECOS_SEED
2025-05-31,KR_CREDIT_SPREAD_AA3Y_GOV3Y,0.52,BOK_ECOS_SEED
2025-06-30,KR_CREDIT_SPREAD_AA3Y_GOV3Y,0.55,BOK_ECOS_SEED
2025-07-31,KR_CREDIT_SPREAD_AA3Y_GOV3Y,0.57,BOK_ECOS_SEED
2025-08-31,KR_CREDIT_SPREAD_AA3Y_GOV3Y,0.59,BOK_ECOS_SEED
2025-09-30,KR_CREDIT_SPREAD_AA3Y_GOV3Y,0.61,BOK_ECOS_SEED
2025-10-31,KR_CREDIT_SPREAD_AA3Y_GOV3Y,0.63,BOK_ECOS_SEED
2025-11-30,KR_CREDIT_SPREAD_AA3Y_GOV3Y,0.64,BOK_ECOS_SEED
2025-12-31,KR_CREDIT_SPREAD_AA3Y_GOV3Y,0.66,BOK_ECOS_SEED
2026-01-31,KR_CREDIT_SPREAD_AA3Y_GOV3Y,0.54,BOK_ECOS_SEED
2026-02-28,KR_CREDIT_SPREAD_AA3Y_GOV3Y,0.53,BOK_ECOS_SEED
2026-03-31,KR_CREDIT_SPREAD_AA3Y_GOV3Y,0.52,BOK_ECOS_SEED
2026-04-30,KR_CREDIT_SPREAD_AA3Y_GOV3Y,0.50,BOK_ECOS_SEED
2025-01-31,KR_CP_CD_SPREAD_91D,0.04,BOK_ECOS_SEED
2025-02-28,KR_CP_CD_SPREAD_91D,0.05,BOK_ECOS_SEED
2025-03-31,KR_CP_CD_SPREAD_91D,0.05,BOK_ECOS_SEED
2025-04-30,KR_CP_CD_SPREAD_91D,0.06,BOK_ECOS_SEED
2025-05-31,KR_CP_CD_SPREAD_91D,0.06,BOK_ECOS_SEED
2025-06-30,KR_CP_CD_SPREAD_91D,0.07,BOK_ECOS_SEED
2025-07-31,KR_CP_CD_SPREAD_91D,0.08,BOK_ECOS_SEED
2025-08-31,KR_CP_CD_SPREAD_91D,0.08,BOK_ECOS_SEED
2025-09-30,KR_CP_CD_SPREAD_91D,0.09,BOK_ECOS_SEED
2025-10-31,KR_CP_CD_SPREAD_91D,0.10,BOK_ECOS_SEED
2025-11-30,KR_CP_CD_SPREAD_91D,0.11,BOK_ECOS_SEED
2025-12-31,KR_CP_CD_SPREAD_91D,0.12,BOK_ECOS_SEED
2026-01-31,KR_CP_CD_SPREAD_91D,0.08,BOK_ECOS_SEED
2026-02-28,KR_CP_CD_SPREAD_91D,0.07,BOK_ECOS_SEED
2026-03-31,KR_CP_CD_SPREAD_91D,0.06,BOK_ECOS_SEED
2026-04-30,KR_CP_CD_SPREAD_91D,0.05,BOK_ECOS_SEED
2025-01-31,KR_HOUSEHOLD_LOAN_YOY,2.8,BOK_OR_FSC_SEED
2025-02-28,KR_HOUSEHOLD_LOAN_YOY,2.9,BOK_OR_FSC_SEED
2025-03-31,KR_HOUSEHOLD_LOAN_YOY,3.0,BOK_OR_FSC_SEED
2025-04-30,KR_HOUSEHOLD_LOAN_YOY,3.1,BOK_OR_FSC_SEED
2025-05-31,KR_HOUSEHOLD_LOAN_YOY,3.2,BOK_OR_FSC_SEED
2025-06-30,KR_HOUSEHOLD_LOAN_YOY,3.3,BOK_OR_FSC_SEED
2025-07-31,KR_HOUSEHOLD_LOAN_YOY,3.4,BOK_OR_FSC_SEED
2025-08-31,KR_HOUSEHOLD_LOAN_YOY,3.5,BOK_OR_FSC_SEED
2025-09-30,KR_HOUSEHOLD_LOAN_YOY,3.6,BOK_OR_FSC_SEED
2025-10-31,KR_HOUSEHOLD_LOAN_YOY,3.7,BOK_OR_FSC_SEED
2025-11-30,KR_HOUSEHOLD_LOAN_YOY,3.8,BOK_OR_FSC_SEED
2025-12-31,KR_HOUSEHOLD_LOAN_YOY,3.9,BOK_OR_FSC_SEED
2026-01-31,KR_HOUSEHOLD_LOAN_YOY,3.3,BOK_OR_FSC_SEED
2026-02-28,KR_HOUSEHOLD_LOAN_YOY,3.2,BOK_OR_FSC_SEED
2026-03-31,KR_HOUSEHOLD_LOAN_YOY,3.1,BOK_OR_FSC_SEED
2026-04-30,KR_HOUSEHOLD_LOAN_YOY,3.0,BOK_OR_FSC_SEED
