date,scenario_code,structured_confidence,structured_coverage,event_overlay_confidence,event_count,overlay_applied,final_confidence,merge_engine_version
2021-08-18,usd_strength_krw_weakness,26.086957,0.26087,,0,N,26.086957,phase6_final_market_state_v1
2021-08-19,usd_strength_krw_weakness,26.086957,0.26087,,0,N,26.086957,phase6_final_market_state_v1
2021-08-22,usd_strength_krw_weakness,26.086957,0.26087,,0,N,26.086957,phase6_final_market_state_v1
2021-08-23,acute_global_stress_liquidity_crunch,11.00304,0.25,,0,N,11.00304,phase6_final_market_state_v1
2021-08-23,geopolitical_escalation_supply_shock,6.601824,0.15,,0,N,6.601824,phase6_final_market_state_v1
2021-08-23,semiconductor_ai_cycle_shock,2.200608,0.05,,0,N,2.200608,phase6_final_market_state_v1
2021-08-23,usd_strength_krw_weakness,23.557544,0.26087,,0,N,23.557544,phase6_final_market_state_v1
2021-08-24,acute_global_stress_liquidity_crunch,10.659521,0.25,,0,N,10.659521,phase6_final_market_state_v1
2021-08-24,geopolitical_escalation_supply_shock,6.395712,0.15,,0,N,6.395712,phase6_final_market_state_v1
2021-08-24,semiconductor_ai_cycle_shock,2.131904,0.05,,0,N,2.131904,phase6_final_market_state_v1
2021-08-24,usd_strength_krw_weakness,21.388036,0.26087,,0,N,21.388036,phase6_final_market_state_v1
2021-08-25,acute_global_stress_liquidity_crunch,12.7306,0.25,,0,N,12.7306,phase6_final_market_state_v1
2021-08-25,geopolitical_escalation_supply_shock,7.63836,0.15,,0,N,7.63836,phase6_final_market_state_v1
2021-08-25,semiconductor_ai_cycle_shock,2.54612,0.05,,0,N,2.54612,phase6_final_market_state_v1
2021-08-25,usd_strength_krw_weakness,21.082116,0.26087,,0,N,21.082116,phase6_final_market_state_v1
2021-08-26,acute_global_stress_liquidity_crunch,17.262873,0.25,,0,N,17.262873,phase6_final_market_state_v1
2021-08-26,geopolitical_escalation_supply_shock,10.357724,0.15,,0,N,10.357724,phase6_final_market_state_v1
2021-08-26,semiconductor_ai_cycle_shock,3.452575,0.05,,0,N,3.452575,phase6_final_market_state_v1
2021-08-26,usd_strength_krw_weakness,23.695458,0.26087,,0,N,23.695458,phase6_final_market_state_v1
2021-08-27,acute_global_stress_liquidity_crunch,14.767907,0.25,,0,N,14.767907,phase6_final_market_state_v1
2021-08-27,geopolitical_escalation_supply_shock,8.860744,0.15,,0,N,8.860744,phase6_final_market_state_v1
2021-08-27,semiconductor_ai_cycle_shock,2.953581,0.05,,0,N,2.953581,phase6_final_market_state_v1
2021-08-29,usd_strength_krw_weakness,19.678278,0.26087,,0,N,19.678278,phase6_final_market_state_v1
2021-08-30,acute_global_stress_liquidity_crunch,55.10044,0.916667,,0,N,55.10044,phase6_final_market_state_v1
2021-08-30,geopolitical_escalation_supply_shock,38.541052,0.6,,0,N,38.541052,phase6_final_market_state_v1
2021-08-30,semiconductor_ai_cycle_shock,3.138919,0.05,,0,N,3.138919,phase6_final_market_state_v1
2021-08-30,usd_strength_krw_weakness,21.268018,0.26087,,0,N,21.268018,phase6_final_market_state_v1
2021-08-31,acute_global_stress_liquidity_crunch,49.711711,0.916667,,0,N,49.711711,phase6_final_market_state_v1
2021-08-31,geopolitical_escalation_supply_shock,30.825061,0.6,,0,N,30.825061,phase6_final_market_state_v1
2021-08-31,semiconductor_ai_cycle_shock,2.8409,0.05,,0,N,2.8409,phase6_final_market_state_v1
2021-08-31,usd_strength_krw_weakness,18.087016,0.26087,,0,N,18.087016,phase6_final_market_state_v1
2021-09-01,acute_global_stress_liquidity_crunch,51.162734,0.916667,,0,N,51.162734,phase6_final_market_state_v1
2021-09-01,geopolitical_escalation_supply_shock,31.509799,0.6,,0,N,31.509799,phase6_final_market_state_v1
2021-09-01,semiconductor_ai_cycle_shock,3.197626,0.05,,0,N,3.197626,phase6_final_market_state_v1
2021-09-01,usd_strength_krw_weakness,16.677629,0.26087,,0,N,16.677629,phase6_final_market_state_v1
2021-09-02,acute_global_stress_liquidity_crunch,58.180495,0.916667,,0,N,58.180495,phase6_final_market_state_v1
2021-09-02,geopolitical_escalation_supply_shock,36.302215,0.6,,0,N,36.302215,phase6_final_market_state_v1
2021-09-02,semiconductor_ai_cycle_shock,2.886605,0.05,,0,N,2.886605,phase6_final_market_state_v1
2021-09-02,usd_strength_krw_weakness,17.37847,0.26087,,0,N,17.37847,phase6_final_market_state_v1
2021-09-03,acute_global_stress_liquidity_crunch,49.427188,0.916667,,0,N,49.427188,phase6_final_market_state_v1
2021-09-03,geopolitical_escalation_supply_shock,29.466915,0.6,,0,N,29.466915,phase6_final_market_state_v1
2021-09-03,semiconductor_ai_cycle_shock,2.877999,0.05,,0,N,2.877999,phase6_final_market_state_v1
2021-09-05,usd_strength_krw_weakness,16.297679,0.26087,,0,N,16.297679,phase6_final_market_state_v1
2021-09-06,usd_strength_krw_weakness,16.56675,0.26087,,0,N,16.56675,phase6_final_market_state_v1
2021-09-07,acute_global_stress_liquidity_crunch,56.792911,0.916667,,0,N,56.792911,phase6_final_market_state_v1
2021-09-07,geopolitical_escalation_supply_shock,32.018286,0.6,,0,N,32.018286,phase6_final_market_state_v1
2021-09-07,semiconductor_ai_cycle_shock,2.857941,0.05,,0,N,2.857941,phase6_final_market_state_v1
2021-09-07,usd_strength_krw_weakness,18.796618,0.26087,,0,N,18.796618,phase6_final_market_state_v1
2021-09-08,acute_global_stress_liquidity_crunch,51.633831,0.916667,,0,N,51.633831,phase6_final_market_state_v1
2021-09-08,geopolitical_escalation_supply_shock,31.628561,0.6,,0,N,31.628561,phase6_final_market_state_v1
2021-09-08,semiconductor_ai_cycle_shock,2.669356,0.05,,0,N,2.669356,phase6_final_market_state_v1
2021-09-08,usd_strength_krw_weakness,20.985078,0.26087,,0,N,20.985078,phase6_final_market_state_v1
2021-09-09,acute_global_stress_liquidity_crunch,55.940049,0.916667,,0,N,55.940049,phase6_final_market_state_v1
2021-09-09,geopolitical_escalation_supply_shock,34.678645,0.6,,0,N,34.678645,phase6_final_market_state_v1
2021-09-09,semiconductor_ai_cycle_shock,3.511553,0.05,,0,N,3.511553,phase6_final_market_state_v1
2021-09-09,usd_strength_krw_weakness,21.895175,0.26087,,0,N,21.895175,phase6_final_market_state_v1
2021-09-10,acute_global_stress_liquidity_crunch,76.24049,0.916667,,0,N,76.24049,phase6_final_market_state_v1
2021-09-10,geopolitical_escalation_supply_shock,42.013822,0.6,,0,N,42.013822,phase6_final_market_state_v1
2021-09-10,semiconductor_ai_cycle_shock,5.0,0.05,,0,N,5.0,phase6_final_market_state_v1
2021-09-12,usd_strength_krw_weakness,21.767894,0.26087,,0,N,21.767894,phase6_final_market_state_v1
2021-09-13,acute_global_stress_liquidity_crunch,66.994268,0.916667,,0,N,66.994268,phase6_final_market_state_v1
2021-09-13,geopolitical_escalation_supply_shock,40.904359,0.6,,0,N,40.904359,phase6_final_market_state_v1
2021-09-13,semiconductor_ai_cycle_shock,3.952461,0.05,,0,N,3.952461,phase6_final_market_state_v1
2021-09-13,usd_strength_krw_weakness,22.258613,0.26087,,0,N,22.258613,phase6_final_market_state_v1
2021-09-14,acute_global_stress_liquidity_crunch,74.199567,0.916667,,0,N,74.199567,phase6_final_market_state_v1
2021-09-14,geopolitical_escalation_supply_shock,41.792966,0.6,,0,N,41.792966,phase6_final_market_state_v1
2021-09-14,semiconductor_ai_cycle_shock,4.005284,0.05,,0,N,4.005284,phase6_final_market_state_v1
2021-09-14,usd_strength_krw_weakness,21.889524,0.26087,,0,N,21.889524,phase6_final_market_state_v1
2021-09-15,acute_global_stress_liquidity_crunch,56.868143,0.916667,,0,N,56.868143,phase6_final_market_state_v1
2021-09-15,china_trade_fragmentation_shock,12.5,0.125,,0,N,12.5,phase6_final_market_state_v1
2021-09-15,geopolitical_escalation_supply_shock,47.117443,0.7,,0,N,47.117443,phase6_final_market_state_v1
2021-09-15,higher_for_longer_long_rate_shock,12.0,0.12,,0,N,12.0,phase6_final_market_state_v1
2021-09-15,korea_domestic_financial_stress,10.0,0.1,,0,N,10.0,phase6_final_market_state_v1
2021-09-15,semiconductor_ai_cycle_shock,12.730157,0.15,,0,N,12.730157,phase6_final_market_state_v1
2021-09-15,soft_landing_goldilocks,13.043478,0.130435,,0,N,13.043478,phase6_final_market_state_v1
2021-09-15,usd_strength_krw_weakness,41.14098,0.478261,,0,N,41.14098,phase6_final_market_state_v1
2021-09-16,acute_global_stress_liquidity_crunch,54.743794,0.916667,,0,N,54.743794,phase6_final_market_state_v1
2021-09-16,china_trade_fragmentation_shock,11.927842,0.125,,0,N,11.927842,phase6_final_market_state_v1
2021-09-16,geopolitical_escalation_supply_shock,53.18099,0.7,,0,N,53.18099,phase6_final_market_state_v1
2021-09-16,higher_for_longer_long_rate_shock,11.450728,0.12,,0,N,11.450728,phase6_final_market_state_v1
2021-09-16,korea_domestic_financial_stress,9.542273,0.1,,0,N,9.542273,phase6_final_market_state_v1
2021-09-16,semiconductor_ai_cycle_shock,12.762677,0.15,,0,N,12.762677,phase6_final_market_state_v1
2021-09-16,soft_landing_goldilocks,12.446444,0.130435,,0,N,12.446444,phase6_final_market_state_v1
2021-09-16,usd_strength_krw_weakness,43.747089,0.478261,,0,N,43.747089,phase6_final_market_state_v1
2021-09-17,acute_global_stress_liquidity_crunch,64.511239,0.916667,,0,N,64.511239,phase6_final_market_state_v1
2021-09-17,china_trade_fragmentation_shock,7.59755,0.083333,,0,N,7.59755,phase6_final_market_state_v1
2021-09-17,geopolitical_escalation_supply_shock,43.537322,0.6,,0,N,43.537322,phase6_final_market_state_v1
2021-09-17,korea_domestic_financial_stress,9.11706,0.1,,0,N,9.11706,phase6_final_market_state_v1
2021-09-17,semiconductor_ai_cycle_shock,5.0,0.05,,0,N,5.0,phase6_final_market_state_v1
2021-09-17,usd_strength_krw_weakness,7.927879,0.086957,,0,N,7.927879,phase6_final_market_state_v1
2021-09-19,china_trade_fragmentation_shock,8.535709,0.125,,0,N,8.535709,phase6_final_market_state_v1
2021-09-19,geopolitical_escalation_supply_shock,6.828567,0.1,,0,N,6.828567,phase6_final_market_state_v1
2021-09-19,higher_for_longer_long_rate_shock,8.194281,0.12,,0,N,8.194281,phase6_final_market_state_v1
2021-09-19,korea_domestic_financial_stress,6.828567,0.1,,0,N,6.828567,phase6_final_market_state_v1
2021-09-19,semiconductor_ai_cycle_shock,6.828567,0.1,,0,N,6.828567,phase6_final_market_state_v1
2021-09-19,soft_landing_goldilocks,8.906827,0.130435,,0,N,8.906827,phase6_final_market_state_v1
2021-09-19,usd_strength_krw_weakness,40.263033,0.478261,,0,N,40.263033,phase6_final_market_state_v1
2021-09-20,acute_global_stress_liquidity_crunch,78.237659,0.916667,,0,N,78.237659,phase6_final_market_state_v1
2021-09-20,china_trade_fragmentation_shock,6.32576,0.125,,0,N,6.32576,phase6_final_market_state_v1
2021-09-20,geopolitical_escalation_supply_shock,47.439875,0.7,,0,N,47.439875,phase6_final_market_state_v1
2021-09-20,higher_for_longer_long_rate_shock,6.072729,0.12,,0,N,6.072729,phase6_final_market_state_v1
2021-09-20,korea_domestic_financial_stress,5.060608,0.1,,0,N,5.060608,phase6_final_market_state_v1
2021-09-20,semiconductor_ai_cycle_shock,10.060608,0.15,,0,N,10.060608,phase6_final_market_state_v1
2021-09-20,soft_landing_goldilocks,6.600793,0.130435,,0,N,6.600793,phase6_final_market_state_v1
2021-09-20,usd_strength_krw_weakness,37.088277,0.478261,,0,N,37.088277,phase6_final_market_state_v1
2021-09-21,acute_global_stress_liquidity_crunch,77.176839,0.916667,,0,N,77.176839,phase6_final_market_state_v1
2021-09-21,china_trade_fragmentation_shock,48.850353,0.833333,,0,N,48.850353,phase6_final_market_state_v1
2021-09-21,geopolitical_escalation_supply_shock,68.606184,0.95,,0,N,68.606184,phase6_final_market_state_v1
2021-09-21,higher_for_longer_long_rate_shock,63.87191,1.0,,0,N,63.87191,phase6_final_market_state_v1
2021-09-21,korea_domestic_financial_stress,14.170615,0.2,,0,N,14.170615,phase6_final_market_state_v1
