as_of_utc,as_of_kst,nowcast_code,signal_name,signal_label,metric_type,ticker,tickers,direction,weight,threshold,raw_value,normalized_value,aligned_value,unit_score,contribution,freshness_score,is_available
2026-06-05T12:01:06+00:00,2026-06-05T21:01:06+09:00,kr_risk_on_intraday,ks200_3h,KOSPI200 3h return,ticker,^KS200,^KS200,positive,0.25,0.012,-0.009455,-0.787893,-0.787893,10.605352,2.651338,0.45,1.0
2026-06-05T12:01:06+00:00,2026-06-05T21:01:06+09:00,kr_risk_on_intraday,kr_breadth_session,KR large-cap session breadth,breadth,,"^KS200,069500.KS,005930.KS,000660.KS,035420.KS,035720.KS,051910.KS,006400.KS,373220.KS,005380.KS,000270.KS,068270.KS,207940.KS,105560.KS",positive,0.25,0.25,0.928571,1.714286,1.714286,100.0,25.0,0.45,1.0
2026-06-05T12:01:06+00:00,2026-06-05T21:01:06+09:00,kr_risk_on_intraday,semis_3h,Samsung/SK Hynix 3h basket,basket,,"005930.KS,000660.KS",positive,0.25,0.015,-0.020197,-1.34646,-1.34646,0.0,0.0,0.45,1.0
2026-06-05T12:01:06+00:00,2026-06-05T21:01:06+09:00,kr_risk_on_intraday,krw_3h,USD/KRW 3h return,ticker,KRW=X,KRW=X,negative,0.15,0.004,0.002276,0.568965,-0.568965,21.551747,3.232762,1.0,1.0
2026-06-05T12:01:06+00:00,2026-06-05T21:01:06+09:00,kr_risk_on_intraday,global_risk_3h,EWY/SOXX/QQQ/SPY 3h basket,basket,,"EWY,SOXX,QQQ,SPY",positive,0.1,0.012,-0.005142,-0.428479,-0.428479,28.576062,2.857606,0.15,1.0
2026-06-05T12:01:06+00:00,2026-06-05T21:01:06+09:00,kr_semiconductor_pressure_intraday,samsung_3h,Samsung Electronics 3h return,ticker,005930.KS,005930.KS,negative,0.3,0.015,-0.01497,-0.998004,0.998004,99.9002,29.97006,0.45,1.0
2026-06-05T12:01:06+00:00,2026-06-05T21:01:06+09:00,kr_semiconductor_pressure_intraday,hynix_3h,SK Hynix 3h return,ticker,000660.KS,000660.KS,negative,0.3,0.018,-0.025424,-1.412429,1.412429,100.0,30.0,0.45,1.0
2026-06-05T12:01:06+00:00,2026-06-05T21:01:06+09:00,kr_semiconductor_pressure_intraday,soxx_3h,SOXX 3h return,ticker,SOXX,SOXX,negative,0.15,0.015,-0.01041,-0.693969,0.693969,84.698425,12.704764,0.15,1.0
2026-06-05T12:01:06+00:00,2026-06-05T21:01:06+09:00,kr_semiconductor_pressure_intraday,ks200_3h,KOSPI200 3h return,ticker,^KS200,^KS200,negative,0.15,0.012,-0.009455,-0.787893,0.787893,89.394648,13.409197,0.45,1.0
2026-06-05T12:01:06+00:00,2026-06-05T21:01:06+09:00,kr_semiconductor_pressure_intraday,krw_3h,USD/KRW 3h return,ticker,KRW=X,KRW=X,positive,0.1,0.004,0.002276,0.568965,0.568965,78.448253,7.844825,1.0,1.0
2026-06-05T12:01:06+00:00,2026-06-05T21:01:06+09:00,krw_weakness_intraday,krw_1h,USD/KRW 1h return,ticker,KRW=X,KRW=X,positive,0.3,0.0025,-6.5e-05,-0.025943,-0.025943,48.702862,14.610859,1.0,1.0
2026-06-05T12:01:06+00:00,2026-06-05T21:01:06+09:00,krw_weakness_intraday,krw_3h,USD/KRW 3h return,ticker,KRW=X,KRW=X,positive,0.35,0.004,0.002276,0.568965,0.568965,78.448253,27.456889,1.0,1.0
2026-06-05T12:01:06+00:00,2026-06-05T21:01:06+09:00,krw_weakness_intraday,ks200_3h,KOSPI200 3h return,ticker,^KS200,^KS200,negative,0.2,0.012,-0.009455,-0.787893,0.787893,89.394648,17.87893,0.45,1.0
2026-06-05T12:01:06+00:00,2026-06-05T21:01:06+09:00,krw_weakness_intraday,ewy_3h,EWY 3h return,ticker,EWY,EWY,negative,0.15,0.012,-0.005776,-0.481342,0.481342,74.067119,11.110068,0.15,1.0
2026-06-05T12:01:06+00:00,2026-06-05T21:01:06+09:00,kr_defensive_rotation_intraday,defensive_relative_session,Defensive basket vs KOSPI200 session,relative,,"068270.KS,207940.KS,105560.KS,^KS200",positive,0.35,0.01,-0.001946,-0.194552,-0.194552,40.272393,14.095337,0.45,1.0
2026-06-05T12:01:06+00:00,2026-06-05T21:01:06+09:00,kr_defensive_rotation_intraday,growth_3h,KR growth/battery 3h basket,basket,,"035420.KS,035720.KS,051910.KS,006400.KS,373220.KS",negative,0.25,0.015,0.00707,0.471339,-0.471339,26.433026,6.608256,0.45,1.0
2026-06-05T12:01:06+00:00,2026-06-05T21:01:06+09:00,kr_defensive_rotation_intraday,semis_3h,Samsung/SK Hynix 3h basket,basket,,"005930.KS,000660.KS",negative,0.2,0.015,-0.020197,-1.34646,1.34646,100.0,20.0,0.45,1.0
