date,factor_code,factor_name,factor_group,factor_polarity,factor_score,coverage_ratio,breadth_score,confidence,factor_state,interpretation
2007-04-30,growth_risk_appetite,Growth / Risk Appetite,risk_sentiment,positive,77.552549,0.7,0.551051,51.144141,ELEVATED,주식·신용·시장 breadth가 함께 좋아지는지 확인합니다.
2007-05-01,growth_risk_appetite,Growth / Risk Appetite,risk_sentiment,positive,78.685539,0.7,0.573711,52.095853,ELEVATED,주식·신용·시장 breadth가 함께 좋아지는지 확인합니다.
2007-05-02,growth_risk_appetite,Growth / Risk Appetite,risk_sentiment,positive,73.283978,0.7,0.46568,47.558542,ELEVATED,주식·신용·시장 breadth가 함께 좋아지는지 확인합니다.
2007-05-03,growth_risk_appetite,Growth / Risk Appetite,risk_sentiment,positive,73.871862,0.7,0.477437,48.052364,ELEVATED,주식·신용·시장 breadth가 함께 좋아지는지 확인합니다.
2007-05-04,growth_risk_appetite,Growth / Risk Appetite,risk_sentiment,positive,73.366556,0.7,0.467331,47.627907,ELEVATED,주식·신용·시장 breadth가 함께 좋아지는지 확인합니다.
2007-05-07,growth_risk_appetite,Growth / Risk Appetite,risk_sentiment,positive,72.820096,0.7,0.456402,47.168881,ELEVATED,주식·신용·시장 breadth가 함께 좋아지는지 확인합니다.
2007-05-08,growth_risk_appetite,Growth / Risk Appetite,risk_sentiment,positive,72.020212,0.7,0.440404,46.496978,ELEVATED,주식·신용·시장 breadth가 함께 좋아지는지 확인합니다.
2007-05-09,growth_risk_appetite,Growth / Risk Appetite,risk_sentiment,positive,77.546472,0.7,0.550929,51.139037,ELEVATED,주식·신용·시장 breadth가 함께 좋아지는지 확인합니다.
2007-05-10,growth_risk_appetite,Growth / Risk Appetite,risk_sentiment,positive,64.149302,0.7,0.282986,39.885413,NEUTRAL,주식·신용·시장 breadth가 함께 좋아지는지 확인합니다.
2007-05-11,growth_risk_appetite,Growth / Risk Appetite,risk_sentiment,positive,72.355077,0.7,0.447102,46.778265,ELEVATED,주식·신용·시장 breadth가 함께 좋아지는지 확인합니다.
2007-05-14,growth_risk_appetite,Growth / Risk Appetite,risk_sentiment,positive,59.376074,0.7,0.187521,35.875902,NEUTRAL,주식·신용·시장 breadth가 함께 좋아지는지 확인합니다.
2007-05-15,growth_risk_appetite,Growth / Risk Appetite,risk_sentiment,positive,55.872582,0.7,0.117452,32.932969,NEUTRAL,주식·신용·시장 breadth가 함께 좋아지는지 확인합니다.
2007-05-16,growth_risk_appetite,Growth / Risk Appetite,risk_sentiment,positive,58.839299,0.7,0.176786,35.425011,NEUTRAL,주식·신용·시장 breadth가 함께 좋아지는지 확인합니다.
