date,scenario_code,scenario_name,scenario_name_ko,lens,related_lenses,source_quality,event_or_seed_dependent,phase,layer,structured_score,coverage_ratio,breadth_score,confidence,raw_state,display_state,state_label,top_positive_drivers,top_negative_drivers,market_interpretation_ko
2021-09-15,soft_landing_goldilocks,Soft Landing / Goldilocks,우호적 위험선호장,us_global,korea_market,market,N,V1,macro_regime,100.0,0.130435,1.0,13.043478,STRESS,PROVISIONAL,STRESS,"USD/KRW 20d return (+0.1500, z=-2.35)",,성장은 버티고 물가 부담은 완화되어 미국/글로벌 위험자산과 성장자산에 우호적인 장세입니다. 한국장은 글로벌 위험선호의 수혜 여부를 별도 확인합니다.
2021-09-16,soft_landing_goldilocks,Soft Landing / Goldilocks,우호적 위험선호장,us_global,korea_market,market,N,V1,macro_regime,96.185611,0.130435,0.923712,12.446444,STRESS,PROVISIONAL,STRESS,"USD/KRW 20d return (+0.1386, z=-1.85)",,성장은 버티고 물가 부담은 완화되어 미국/글로벌 위험자산과 성장자산에 우호적인 장세입니다. 한국장은 글로벌 위험선호의 수혜 여부를 별도 확인합니다.
2021-09-19,soft_landing_goldilocks,Soft Landing / Goldilocks,우호적 위험선호장,us_global,korea_market,market,N,V1,macro_regime,73.571396,0.130435,0.471428,8.906827,STRESS,PROVISIONAL,STRESS,"USD/KRW 20d return (+0.0707, z=-0.94)",,성장은 버티고 물가 부담은 완화되어 미국/글로벌 위험자산과 성장자산에 우호적인 장세입니다. 한국장은 글로벌 위험선호의 수혜 여부를 별도 확인합니다.
2021-09-20,soft_landing_goldilocks,Soft Landing / Goldilocks,우호적 위험선호장,us_global,korea_market,market,N,V1,macro_regime,41.161603,0.130435,0.176768,6.600793,OFF,OFF,OFF,,"USD/KRW 20d return (-0.0265, z=+0.35)",성장은 버티고 물가 부담은 완화되어 미국/글로벌 위험자산과 성장자산에 우호적인 장세입니다. 한국장은 글로벌 위험선호의 수혜 여부를 별도 확인합니다.
2021-09-21,soft_landing_goldilocks,Soft Landing / Goldilocks,우호적 위험선호장,us_global,korea_market,market,N,V1,macro_regime,19.76355,0.869565,0.676719,70.089679,OFF,OFF,OFF,,"SPY 20d return (-0.3000, z=-4.30) | QQQ 20d return (-0.2500, z=-2.67) | TLT 20d return (-0.0578, z=-0.77)",성장은 버티고 물가 부담은 완화되어 미국/글로벌 위험자산과 성장자산에 우호적인 장세입니다. 한국장은 글로벌 위험선호의 수혜 여부를 별도 확인합니다.
2021-09-22,soft_landing_goldilocks,Soft Landing / Goldilocks,우호적 위험선호장,us_global,korea_market,market,N,V1,macro_regime,21.76312,0.869565,0.584247,65.265061,OFF,OFF,OFF,,"SPY 20d return (-0.3000, z=-3.11) | QQQ 20d return (-0.2500, z=-2.21) | USD/KRW 20d return (-0.0182, z=+0.24)",성장은 버티고 물가 부담은 완화되어 미국/글로벌 위험자산과 성장자산에 우호적인 장세입니다. 한국장은 글로벌 위험선호의 수혜 여부를 별도 확인합니다.
2021-09-23,soft_landing_goldilocks,Soft Landing / Goldilocks,우호적 위험선호장,us_global,korea_market,market,N,V1,macro_regime,27.235096,0.869565,0.70105,71.359133,OFF,OFF,OFF,"USD/KRW 20d return (+0.0900, z=-1.20)","SPY 20d return (-0.3000, z=-2.15) | QQQ 20d return (-0.2179, z=-1.74)",성장은 버티고 물가 부담은 완화되어 미국/글로벌 위험자산과 성장자산에 우호적인 장세입니다. 한국장은 글로벌 위험선호의 수혜 여부를 별도 확인합니다.
2021-09-24,soft_landing_goldilocks,Soft Landing / Goldilocks,우호적 위험선호장,us_global,korea_market,market,N,V1,macro_regime,22.240464,0.73913,0.631855,57.586631,OFF,OFF,OFF,,"SPY 20d return (-0.2289, z=-1.53) | QQQ 20d return (-0.1698, z=-1.36) | TLT 20d return (-0.1058, z=-1.41)",성장은 버티고 물가 부담은 완화되어 미국/글로벌 위험자산과 성장자산에 우호적인 장세입니다. 한국장은 글로벌 위험선호의 수혜 여부를 별도 확인합니다.
2021-09-26,soft_landing_goldilocks,Soft Landing / Goldilocks,우호적 위험선호장,us_global,korea_market,market,N,V1,macro_regime,43.003751,0.130435,0.139925,6.312456,OFF,OFF,OFF,,"USD/KRW 20d return (-0.0210, z=+0.28)",성장은 버티고 물가 부담은 완화되어 미국/글로벌 위험자산과 성장자산에 우호적인 장세입니다. 한국장은 글로벌 위험선호의 수혜 여부를 별도 확인합니다.
2021-09-27,soft_landing_goldilocks,Soft Landing / Goldilocks,우호적 위험선호장,us_global,korea_market,market,N,V1,macro_regime,16.643721,0.869565,0.733273,73.040319,OFF,OFF,OFF,,"SPY 20d return (-0.3000, z=-2.31) | QQQ 20d return (-0.2500, z=-2.12) | TLT 20d return (-0.1412, z=-1.88)",성장은 버티고 물가 부담은 완화되어 미국/글로벌 위험자산과 성장자산에 우호적인 장세입니다. 한국장은 글로벌 위험선호의 수혜 여부를 별도 확인합니다.
