date,scenario_code,scenario_name,driver_rank,signal_name,signal_label,metric_type,driver_effect,contribution,raw_value,normalized_value,aligned_value,unit_score
2021-09-15,soft_landing_goldilocks,Soft Landing / Goldilocks,1,usdkrw_ret_20d,USD/KRW 20d return,ret_z,supporting,0.15,-0.003813,-2.350344,2.350344,1.0
2021-09-16,soft_landing_goldilocks,Soft Landing / Goldilocks,1,usdkrw_ret_20d,USD/KRW 20d return,ret_z,supporting,0.138557,-0.000825,-1.847424,1.847424,0.961856
2021-09-19,soft_landing_goldilocks,Soft Landing / Goldilocks,1,usdkrw_ret_20d,USD/KRW 20d return,ret_z,supporting,0.070714,0.005851,-0.942856,0.942856,0.735714
2021-09-20,soft_landing_goldilocks,Soft Landing / Goldilocks,1,usdkrw_ret_20d,USD/KRW 20d return,ret_z,offsetting,-0.026515,0.016024,0.353536,-0.353536,0.411616
2021-09-21,soft_landing_goldilocks,Soft Landing / Goldilocks,1,spy_ret_20d,SPY 20d return,ret_z,offsetting,-0.3,-0.027368,-4.304842,-4.304842,0.0
2021-09-21,soft_landing_goldilocks,Soft Landing / Goldilocks,2,qqq_ret_20d,QQQ 20d return,ret_z,offsetting,-0.25,-0.017882,-2.667646,-2.667646,0.0
2021-09-21,soft_landing_goldilocks,Soft Landing / Goldilocks,3,tlt_ret_20d,TLT 20d return,ret_z,offsetting,-0.057841,0.0042,-0.771208,-0.771208,0.307198
2021-09-22,soft_landing_goldilocks,Soft Landing / Goldilocks,1,spy_ret_20d,SPY 20d return,ret_z,offsetting,-0.3,-0.019437,-3.114358,-3.114358,0.0
2021-09-22,soft_landing_goldilocks,Soft Landing / Goldilocks,2,qqq_ret_20d,QQQ 20d return,ret_z,offsetting,-0.25,-0.011727,-2.210234,-2.210234,0.0
2021-09-22,soft_landing_goldilocks,Soft Landing / Goldilocks,3,usdkrw_ret_20d,USD/KRW 20d return,ret_z,offsetting,-0.018191,0.015215,0.242546,-0.242546,0.439363
2021-09-23,soft_landing_goldilocks,Soft Landing / Goldilocks,1,spy_ret_20d,SPY 20d return,ret_z,offsetting,-0.3,-0.009601,-2.152112,-2.152112,0.0
2021-09-23,soft_landing_goldilocks,Soft Landing / Goldilocks,2,qqq_ret_20d,QQQ 20d return,ret_z,offsetting,-0.217904,-0.003752,-1.743231,-1.743231,0.064192
2021-09-23,soft_landing_goldilocks,Soft Landing / Goldilocks,3,usdkrw_ret_20d,USD/KRW 20d return,ret_z,supporting,0.090027,0.004017,-1.200363,1.200363,0.800091
2021-09-24,soft_landing_goldilocks,Soft Landing / Goldilocks,1,spy_ret_20d,SPY 20d return,ret_z,offsetting,-0.228892,-0.002079,-1.525949,-1.525949,0.118513
2021-09-24,soft_landing_goldilocks,Soft Landing / Goldilocks,2,qqq_ret_20d,QQQ 20d return,ret_z,offsetting,-0.16976,0.003555,-1.358078,-1.358078,0.160481
2021-09-24,soft_landing_goldilocks,Soft Landing / Goldilocks,3,tlt_ret_20d,TLT 20d return,ret_z,offsetting,-0.105842,-0.009115,-1.411233,-1.411233,0.147192
2021-09-26,soft_landing_goldilocks,Soft Landing / Goldilocks,1,usdkrw_ret_20d,USD/KRW 20d return,ret_z,offsetting,-0.020989,0.015388,0.27985,-0.27985,0.430038
2021-09-27,soft_landing_goldilocks,Soft Landing / Goldilocks,1,spy_ret_20d,SPY 20d return,ret_z,offsetting,-0.3,-0.013752,-2.306831,-2.306831,0.0
2021-09-27,soft_landing_goldilocks,Soft Landing / Goldilocks,2,qqq_ret_20d,QQQ 20d return,ret_z,offsetting,-0.25,-0.014039,-2.119164,-2.119164,0.0
2021-09-27,soft_landing_goldilocks,Soft Landing / Goldilocks,3,tlt_ret_20d,TLT 20d return,ret_z,offsetting,-0.141207,-0.019429,-1.882765,-1.882765,0.029309
2021-09-28,soft_landing_goldilocks,Soft Landing / Goldilocks,1,spy_ret_20d,SPY 20d return,ret_z,offsetting,-0.3,-0.037858,-3.839331,-3.839331,0.0
2021-09-28,soft_landing_goldilocks,Soft Landing / Goldilocks,2,qqq_ret_20d,QQQ 20d return,ret_z,offsetting,-0.25,-0.052572,-3.720504,-3.720504,0.0
2021-09-28,soft_landing_goldilocks,Soft Landing / Goldilocks,3,tlt_ret_20d,TLT 20d return,ret_z,offsetting,-0.15,-0.037216,-2.671575,-2.671575,0.0
2021-09-29,soft_landing_goldilocks,Soft Landing / Goldilocks,1,spy_ret_20d,SPY 20d return,ret_z,offsetting,-0.3,-0.034808,-3.2516,-3.2516,0.0
2021-09-29,soft_landing_goldilocks,Soft Landing / Goldilocks,2,qqq_ret_20d,QQQ 20d return,ret_z,offsetting,-0.25,-0.053353,-3.3841,-3.3841,0.0
2021-09-29,soft_landing_goldilocks,Soft Landing / Goldilocks,3,tlt_ret_20d,TLT 20d return,ret_z,offsetting,-0.15,-0.028935,-2.137131,-2.137131,0.0
2021-09-30,soft_landing_goldilocks,Soft Landing / Goldilocks,1,spy_ret_20d,SPY 20d return,ret_z,offsetting,-0.3,-0.047112,-3.708798,-3.708798,0.0
2021-09-30,soft_landing_goldilocks,Soft Landing / Goldilocks,2,qqq_ret_20d,QQQ 20d return,ret_z,offsetting,-0.25,-0.058393,-3.288659,-3.288659,0.0
2021-09-30,soft_landing_goldilocks,Soft Landing / Goldilocks,3,tlt_ret_20d,TLT 20d return,ret_z,offsetting,-0.15,-0.030694,-2.130148,-2.130148,0.0
2021-10-01,soft_landing_goldilocks,Soft Landing / Goldilocks,1,spy_ret_20d,SPY 20d return,ret_z,offsetting,-0.3,-0.038745,-2.90902,-2.90902,0.0
2021-10-01,soft_landing_goldilocks,Soft Landing / Goldilocks,2,qqq_ret_20d,QQQ 20d return,ret_z,offsetting,-0.25,-0.052105,-2.810201,-2.810201,0.0
2021-10-01,soft_landing_goldilocks,Soft Landing / Goldilocks,3,tlt_ret_20d,TLT 20d return,ret_z,offsetting,-0.14071,-0.026785,-1.876137,-1.876137,0.030966
2021-10-03,soft_landing_goldilocks,Soft Landing / Goldilocks,1,usdkrw_ret_20d,USD/KRW 20d return,ret_z,offsetting,-0.077499,0.021866,1.033319,-1.033319,0.24167
2021-10-04,soft_landing_goldilocks,Soft Landing / Goldilocks,1,spy_ret_20d,SPY 20d return,ret_z,offsetting,-0.3,-0.050911,-3.337759,-3.337759,0.0
2021-10-04,soft_landing_goldilocks,Soft Landing / Goldilocks,2,qqq_ret_20d,QQQ 20d return,ret_z,offsetting,-0.25,-0.074846,-3.396624,-3.396624,0.0
